"1992 - 1993 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"California Inflows",
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
California,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
06,001,00,001,Ca,Alameda,34281,58604,1047846
06,001,06,013,Ca,"Contra Costa",4749,7815,171252
06,001,06,085,Ca,"Santa Clara",4249,7775,165759
06,001,06,075,Ca,"San Francisco",4122,6404,126137
06,001,06,081,Ca,"San Mateo",2422,4708,89959
06,001,06,037,Ca,"Los Angeles",1803,2896,49352
06,001,57,001,FR,"Foreign / Overseas",872,1134,13203
06,001,06,073,Ca,"San Diego",838,1424,20707
06,001,57,005,FR,"APO / FPO Zip Code",826,1664,17432
06,001,06,077,Ca,"San Joaquin",726,1404,21189
06,001,06,067,Ca,Sacramento,612,999,15410
06,001,06,095,Ca,Solano,597,1105,17823
06,001,06,059,Ca,Orange,578,1023,20242
06,001,06,099,Ca,Stanislaus,394,841,10951
06,001,06,041,Ca,Marin,371,543,12847
06,001,06,097,Ca,Sonoma,295,447,7169
06,001,17,031,Il,Cook,251,394,7267
06,001,06,087,Ca,"Santa Cruz",245,358,5154
06,001,53,033,Wa,King,237,369,7040
06,001,04,013,Az,Maricopa,228,401,6217
06,001,06,019,Ca,Fresno,220,376,4494
06,001,06,053,Ca,Monterey,214,401,4996
06,001,15,003,Hi,Honolulu,209,396,5236
06,001,06,071,Ca,"San Bernardino",201,389,4415
06,001,06,113,Ca,Yolo,200,278,3783
06,001,25,017,Ma,Middlesex,180,244,7302
06,001,06,083,Ca,"Santa Barbara",164,245,3663
06,001,06,065,Ca,Riverside,157,330,4721
06,001,36,061,NY,"New York",150,197,6225
06,001,06,111,Ca,Ventura,144,300,4484
06,001,06,007,Ca,Butte,130,187,2044
06,001,06,079,Ca,"San Luis Obispo",120,165,2251
06,001,11,001,DC,"Wash.,D.C.",107,139,2776
06,001,48,201,Tx,Harris,107,172,3174
06,001,32,031,Nv,Washoe,102,153,2129
06,001,06,055,Ca,Napa,99,193,3147
06,001,48,113,Tx,Dallas,97,189,3476
06,001,32,003,Nv,Clark,88,150,1718
06,001,53,035,Wa,Kitsap,87,273,2189
06,001,06,029,Ca,Kern,85,157,1947
06,001,06,061,Ca,Placer,79,123,1922
06,001,41,051,Or,Multnomah,78,111,1670
06,001,25,025,Ma,Suffolk,74,94,2125
06,001,06,017,Ca,"El Dorado",73,124,1798
06,001,51,059,Va,Fairfax,73,130,2754
06,001,24,031,Md,Montgomery,68,108,1964
06,001,06,047,Ca,Merced,66,138,1811
06,001,49,035,Ut,"Salt Lake",65,127,1993
06,001,47,157,Tn,Shelby,62,111,1510
