"1992 - 1993 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Idaho Inflows",
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Idaho,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
16,001,00,001,Id,Ada,8020,16829,231232
16,001,16,027,Id,Canyon,682,1329,17826
16,001,06,037,Ca,"Los Angeles",279,613,9585
16,001,53,033,Wa,King,219,445,7537
16,001,16,039,Id,Elmore,214,473,5636
16,001,16,083,Id,"Twin Falls",194,342,4992
16,001,06,073,Ca,"San Diego",168,363,4329
16,001,16,005,Id,Bannock,161,339,4161
16,001,06,085,Ca,"Santa Clara",144,355,8818
16,001,04,013,Az,Maricopa,131,273,3814
16,001,16,019,Id,Bonneville,125,262,3026
16,001,49,035,Ut,"Salt Lake",123,286,3252
16,001,06,059,Ca,Orange,120,261,3713
16,001,06,067,Ca,Sacramento,111,257,3555
16,001,57,005,FR,"APO / FPO Zip Code",107,254,2806
16,001,06,071,Ca,"San Bernardino",105,263,3063
16,001,16,045,Id,Gem,101,197,1955
16,001,16,057,Id,Latah,92,151,1430
16,001,41,051,Or,Multnomah,85,159,2163
16,001,06,065,Ca,Riverside,77,184,1813
16,001,16,013,Id,Blaine,77,149,1563
16,001,06,001,Ca,Alameda,72,168,3472
16,001,41,045,Or,Malheur,70,121,1209
16,001,41,067,Or,Washington,69,153,2603
16,001,53,063,Wa,Spokane,68,157,1845
16,001,53,061,Wa,Snohomish,60,135,2236
16,001,16,085,Id,Valley,59,94,1417
16,001,16,075,Id,Payette,58,102,1109
16,001,53,053,Wa,Pierce,58,135,1943
16,001,06,097,Ca,Sonoma,54,138,2421
16,001,06,013,Ca,"Contra Costa",52,126,2283
16,001,16,015,Id,Boise,51,94,1065
16,001,32,003,Nv,Clark,50,101,1130
16,001,06,111,Ca,Ventura,49,114,1907
16,001,32,031,Nv,Washoe,49,86,1154
16,001,08,041,Co,"El Paso",48,127,1621
16,001,49,049,Ut,Utah,47,137,1117
16,001,41,039,Or,Lane,45,71,1308
16,001,02,020,Ak,"Anchorage Borough",43,93,1678
16,001,16,047,Id,Gooding,42,70,728
16,001,16,055,Id,Kootenai,40,70,819
16,001,06,081,Ca,"San Mateo",40,80,1925
16,001,32,007,Nv,Elko,40,81,804
16,001,16,067,Id,Minidoka,39,61,529
16,001,16,069,Id,"Nez Perce",37,54,688
16,001,16,053,Id,Jerome,37,73,843
16,001,16,031,Id,Cassia,36,73,809
16,001,16,011,Id,Bingham,34,78,589
16,001,41,001,Or,Baker,34,57,527
16,001,06,019,Ca,Fresno,34,72,785
16,001,08,069,Co,Larimer,33,82,1570
16,001,53,011,Wa,Clark,32,64,1008
16,001,57,001,FR,"Foreign / Overseas",31,60,1216
16,001,16,087,Id,Washington,31,67,675
16,001,06,075,Ca,"San Francisco",29,50,1044
16,001,15,003,Hi,Honolulu,29,65,1082
16,001,41,005,Or,Clackamas,29,48,756
16,001,30,111,Mt,Yellowstone,28,69,579
16,001,16,073,Id,Owyhee,27,53,351
16,001,53,005,Wa,Benton,27,53,978
16,001,06,061,Ca,Placer,26,62,1111
16,001,16,049,Id,Idaho,26,44,439
16,001,06,077,Ca,"San Joaquin",26,66,737
16,001,49,011,Ut,Davis,25,94,998
16,001,41,047,Or,Marion,25,53,687
16,001,35,001,NM,Bernalillo,24,47,802
16,001,30,063,Mt,Missoula,23,43,576
16,001,49,057,Ut,Weber,23,49,656
16,001,41,061,Or,Union,23,39,432
16,001,06,029,Ca,Kern,23,56,757
16,001,08,005,Co,Arapahoe,23,56,781
