"1992 - 1993 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Oklahoma Inflows",
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Oklahoma,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
40,001,00,001,Ok,Adair,439,1036,7319
40,001,05,007,Ar,Benton,79,164,1252
40,001,40,021,Ok,Cherokee,60,137,1206
40,001,05,143,Ar,Washington,38,104,469
40,001,40,041,Ok,Delaware,21,52,308
40,001,40,135,Ok,Sequoyah,16,38,211
40,001,40,143,Ok,Tulsa,12,21,188
40,001,63,020,XX,"Same State",67,167,1280
40,001,63,021,XX,"Same Region, Diff. State",68,170,1101
40,001,63,022,XX,"Different Region",78,183,1304
40,001,63,050,Ok,"County Non-Migrant",5543,13990,107091
40,003,00,001,Ok,Alfalfa,130,285,2551
40,003,40,047,Ok,Garfield,20,41,389
40,003,40,109,Ok,Oklahoma,11,20,205
40,003,40,151,Ok,Woods,11,23,131
40,003,63,020,XX,"Same State",36,85,810
40,003,63,021,XX,"Same Region, Diff. State",17,41,298
40,003,63,022,XX,"Different Region",35,75,718
40,003,63,050,Ok,"County Non-Migrant",1922,4322,45099
40,005,00,001,Ok,Atoka,239,539,4561
40,005,40,013,Ok,Bryan,25,59,411
40,005,40,109,Ok,Oklahoma,18,36,211
40,005,40,029,Ok,Coal,13,26,195
40,005,63,020,XX,"Same State",81,181,1499
40,005,63,021,XX,"Same Region, Diff. State",57,141,1193
40,005,63,022,XX,"Different Region",45,96,1052
40,005,63,050,Ok,"County Non-Migrant",3062,7494,60754
40,007,00,001,Ok,Beaver,170,453,3713
40,007,20,175,Ks,Seward,36,103,944
40,007,40,139,Ok,Texas,18,50,386
40,007,40,059,Ok,Harper,10,22,221
40,007,63,010,XX,"Same State",32,74,527
40,007,63,012,XX,"Region 2: Midwest",22,71,591
40,007,63,013,XX,"Region 3: South",40,100,838
40,007,63,014,XX,"Region 4: West",12,33,206
40,007,63,050,Ok,"County Non-Migrant",1831,4498,54097
40,009,00,001,Ok,Beckham,441,979,8956
40,009,40,149,Ok,Washita,39,87,671
40,009,40,109,Ok,Oklahoma,31,63,725
40,009,40,039,Ok,Custer,26,45,442
40,009,40,129,Ok,"Roger Mills",17,35,243
40,009,40,027,Ok,Cleveland,11,18,140
40,009,63,020,XX,"Same State",120,269,3041
40,009,63,021,XX,"Same Region, Diff. State",104,256,2088
40,009,63,022,XX,"Different Region",93,206,1606
40,009,63,050,Ok,"County Non-Migrant",5546,13309,135837
40,011,00,001,Ok,Blaine,229,538,3934
40,011,40,017,Ok,Canadian,22,43,248
40,011,40,093,Ok,Major,19,52,526
40,011,40,109,Ok,Oklahoma,18,41,366
40,011,40,039,Ok,Custer,14,31,256
40,011,40,043,Ok,Dewey,10,23,154
40,011,63,020,XX,"Same State",71,169,1217
40,011,63,021,XX,"Same Region, Diff. State",31,69,478
40,011,63,022,XX,"Different Region",44,110,689
40,011,63,050,Ok,"County Non-Migrant",3587,8463,87471
40,013,00,001,Ok,Bryan,844,1955,16105
40,013,48,181,Tx,Grayson,125,284,2171
40,013,48,113,Tx,Dallas,50,110,884
40,013,40,005,Ok,Atoka,42,109,586
40,013,40,069,Ok,Johnston,31,75,418
40,013,48,439,Tx,Tarrant,26,54,399
40,013,40,109,Ok,Oklahoma,24,56,532
40,013,40,095,Ok,Marshall,24,60,391
40,013,40,023,Ok,Choctaw,18,41,222
40,013,40,089,Ok,McCurtain,16,31,224
40,013,40,121,Ok,Pittsburg,15,29,159
40,013,40,143,Ok,Tulsa,13,34,330
40,013,40,019,Ok,Carter,13,21,212
40,013,48,085,Tx,Collin,11,23,201
40,013,40,127,Ok,Pushmataha,11,27,271
40,013,40,077,Ok,Latimer,10,25,65
40,013,40,027,Ok,Cleveland,10,23,316
40,013,48,121,Tx,Denton,10,21,203
40,013,63,020,XX,"Same State",109,250,2287
40,013,63,021,XX,"Same Region, Diff. State",161,403,3868
40,013,63,022,XX,"Different Region",125,279,2366
40,013,63,050,Ok,"County Non-Migrant",8859,20625,195992
40,015,00,001,Ok,Caddo,562,1309,9319
40,015,40,031,Ok,Comanche,76,183,1367
40,015,40,109,Ok,Oklahoma,64,128,876
40,015,40,039,Ok,Custer,35,81,748
40,015,40,051,Ok,Grady,35,85,647
40,015,40,017,Ok,Canadian,22,48,383
40,015,57,005,FR,"APO / FPO Zip Code",12,30,244
40,015,04,013,Az,Maricopa,12,35,107
40,015,40,027,Ok,Cleveland,11,24,196
40,015,40,137,Ok,Stephens,10,23,187
40,015,63,020,XX,"Same State",113,271,1930
40,015,63,021,XX,"Same Region, Diff. State",73,176,1144
40,015,63,022,XX,"Different Region",99,225,1490
40,015,63,050,Ok,"County Non-Migrant",8521,20936,196783
40,017,00,001,Ok,Canadian,2378,5473,64649
40,017,40,109,Ok,Oklahoma,1118,2542,31867
40,017,40,027,Ok,Cleveland,118,277,3199
40,017,40,051,Ok,Grady,45,86,996
40,017,40,119,Ok,Payne,32,55,600
40,017,40,143,Ok,Tulsa,31,76,798
40,017,48,439,Tx,Tarrant,29,76,1014
40,017,40,039,Ok,Custer,29,71,841
40,017,40,011,Ok,Blaine,28,69,466
40,017,48,113,Tx,Dallas,26,45,688
40,017,48,201,Tx,Harris,26,65,837
40,017,40,073,Ok,Kingfisher,24,57,600
40,017,40,015,Ok,Caddo,22,44,458
40,017,57,005,FR,"APO / FPO Zip Code",20,51,444
40,017,40,047,Ok,Garfield,17,38,332
40,017,06,059,Ca,Orange,15,41,484
40,017,06,037,Ca,"Los Angeles",15,24,336
40,017,40,083,Ok,Logan,14,28,310
40,017,20,173,Ks,Sedgwick,14,33,319
40,017,40,031,Ok,Comanche,13,33,381
40,017,06,071,Ca,"San Bernardino",11,22,185
40,017,40,125,Ok,Pottawatomie,11,24,174
40,017,40,087,Ok,McClain,11,21,231
40,017,06,073,Ca,"San Diego",11,26,249
40,017,40,123,Ok,Pontotoc,10,25,236
40,017,08,041,Co,"El Paso",10,18,238
40,017,63,010,XX,"Same State",156,363,3035
40,017,63,011,XX,"Region 1: Northeast",28,71,1035
40,017,63,012,XX,"Region 2: Midwest",112,267,3212
40,017,63,013,XX,"Region 3: South",236,586,7612
40,017,63,014,XX,"Region 4: West",146,339,3472
40,017,63,050,Ok,"County Non-Migrant",21859,55204,767463
40,019,00,001,Ok,Carter,971,2283,23117
40,019,40,109,Ok,Oklahoma,77,148,1691
40,019,40,085,Ok,Love,59,151,1156
40,019,40,137,Ok,Stephens,36,81,596
40,019,40,027,Ok,Cleveland,34,68,551
40,019,48,113,Tx,Dallas,32,72,968
40,019,48,439,Tx,Tarrant,30,63,631
40,019,40,099,Ok,Murray,26,59,399
40,019,40,049,Ok,Garvin,23,71,553
40,019,40,095,Ok,Marshall,22,52,360
40,019,40,123,Ok,Pontotoc,22,46,352
40,019,40,069,Ok,Johnston,21,44,1176
40,019,48,097,Tx,Cooke,18,49,293
40,019,40,143,Ok,Tulsa,17,29,368
40,019,40,013,Ok,Bryan,14,32,315
40,019,48,121,Tx,Denton,12,39,395
40,019,40,067,Ok,Jefferson,12,23,308
40,019,48,201,Tx,Harris,12,33,361
40,019,40,017,Ok,Canadian,11,23,284
40,019,40,125,Ok,Pottawatomie,10,24,319
40,019,63,020,XX,"Same State",115,280,2407
40,019,63,021,XX,"Same Region, Diff. State",193,522,5074
40,019,63,022,XX,"Different Region",175,374,4560
40,019,63,050,Ok,"County Non-Migrant",13132,31281,388494
40,021,00,001,Ok,Cherokee,911,1916,16727
40,021,40,143,Ok,Tulsa,99,188,1671
40,021,40,101,Ok,Muskogee,78,160,1517
40,021,40,001,Ok,Adair,71,157,874
40,021,40,145,Ok,Wagoner,47,113,798
40,021,40,109,Ok,Oklahoma,30,67,759
40,021,40,097,Ok,Mayes,30,76,527
40,021,40,135,Ok,Sequoyah,29,57,518
40,021,40,041,Ok,Delaware,21,43,245
40,021,40,147,Ok,Washington,15,24,205
40,021,40,037,Ok,Creek,15,35,298
40,021,40,079,Ok,"Le Flore",14,29,159
40,021,40,131,Ok,Rogers,14,23,255
40,021,40,027,Ok,Cleveland,13,25,332
40,021,40,111,Ok,Okmulgee,12,22,212
40,021,48,113,Tx,Dallas,11,26,320
40,021,40,115,Ok,Ottawa,10,15,51
40,021,05,007,Ar,Benton,10,19,218
40,021,63,010,XX,"Same State",89,217,1443
40,021,63,011,XX,"Region 1: Northeast",15,24,202
40,021,63,012,XX,"Region 2: Midwest",70,137,1289
40,021,63,013,XX,"Region 3: South",121,264,2887
