"1992 - 1993 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"RhodeIsland Inflows",
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
RhodeIsland,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
44,001,00,001,RI,Bristol,1140,2069,46058
44,001,44,007,RI,Providence,437,802,18235
44,001,25,005,Ma,Bristol,127,232,4060
44,001,44,005,RI,Newport,110,201,3195
44,001,44,003,RI,Kent,50,85,1666
44,001,25,017,Ma,Middlesex,26,44,2101
44,001,44,009,RI,Washington,21,34,583
44,001,25,021,Ma,Norfolk,17,26,574
44,001,57,005,FR,"APO / FPO Zip Code",12,19,260
44,001,09,009,Ct,"New Haven",10,22,656
44,001,63,011,XX,"Region 1: Northeast",174,289,6824
44,001,63,012,XX,"Region 2: Midwest",30,61,2220
44,001,63,013,XX,"Region 3: South",81,160,4165
44,001,63,014,XX,"Region 4: West",45,94,1519
44,001,63,050,RI,"County Non-Migrant",17275,38403,789961
44,003,00,001,RI,Kent,3908,7006,129710
44,003,44,007,RI,Providence,2127,3818,61884
44,003,44,009,RI,Washington,478,877,15796
44,003,25,005,Ma,Bristol,84,149,2755
44,003,44,005,RI,Newport,56,86,1956
44,003,44,001,RI,Bristol,52,101,1777
44,003,25,017,Ma,Middlesex,36,46,1152
44,003,25,025,Ma,Suffolk,33,45,1291
44,003,09,003,Ct,Hartford,32,49,1335
44,003,09,011,Ct,"New London",29,49,1001
44,003,25,027,Ma,Worcester,28,55,1166
44,003,25,021,Ma,Norfolk,24,38,1557
44,003,57,005,FR,"APO / FPO Zip Code",22,35,571
44,003,09,009,Ct,"New Haven",20,31,874
44,003,06,037,Ca,"Los Angeles",18,33,934
44,003,09,001,Ct,Fairfield,16,43,1813
44,003,25,023,Ma,Plymouth,15,20,631
44,003,09,015,Ct,Windham,14,17,275
44,003,06,073,Ca,"San Diego",14,23,423
44,003,12,099,Fl,"Palm Beach",13,22,464
44,003,17,031,Il,Cook,13,20,651
44,003,36,061,NY,"New York",12,15,516
44,003,33,011,NH,Hillsborough,12,21,541
44,003,12,011,Fl,Broward,12,17,191
44,003,06,059,Ca,Orange,11,20,405
44,003,25,013,Ma,Hampden,11,25,323
44,003,33,015,NH,Rockingham,10,21,411
44,003,12,103,Fl,Pinellas,10,17,269
44,003,63,011,XX,"Region 1: Northeast",293,531,13439
44,003,63,012,XX,"Region 2: Midwest",89,180,4683
44,003,63,013,XX,"Region 3: South",238,440,8025
44,003,63,014,XX,"Region 4: West",86,162,2601
44,003,63,050,RI,"County Non-Migrant",60095,129042,2253062
44,005,00,001,RI,Newport,3055,6592,112747
44,005,25,005,Ma,Bristol,294,547,9347
44,005,57,005,FR,"APO / FPO Zip Code",245,570,7336
44,005,44,007,RI,Providence,187,295,8367
44,005,44,009,RI,Washington,137,244,4132
44,005,44,001,RI,Bristol,114,226,3966
44,005,06,073,Ca,"San Diego",112,322,4867
44,005,51,810,Va,"Virginia Beach city",69,222,2820
44,005,06,053,Ca,Monterey,61,175,2550
44,005,44,003,RI,Kent,60,101,9363
44,005,25,017,Ma,Middlesex,50,72,2187
44,005,51,059,Va,Fairfax,45,136,2392
44,005,12,031,Fl,Duval,44,123,1555
44,005,51,710,Va,"Norfolk city",43,119,1447
44,005,42,101,Pa,Philadelphia,36,124,1137
44,005,15,003,Hi,Honolulu,34,86,1377
44,005,25,021,Ma,Norfolk,33,54,888
44,005,06,037,Ca,"Los Angeles",29,84,1226
44,005,09,001,Ct,Fairfield,29,42,1884
44,005,09,011,Ct,"New London",26,52,947
44,005,24,003,Md,"Anne Arundel",24,49,680
44,005,09,003,Ct,Hartford,24,39,1077
44,005,25,025,Ma,Suffolk,22,32,676
44,005,12,095,Fl,Orange,21,37,382
44,005,09,009,Ct,"New Haven",20,29,495
44,005,12,099,Fl,"Palm Beach",20,34,565
44,005,25,023,Ma,Plymouth,19,38,705
44,005,23,005,Me,Cumberland,18,48,448
44,005,17,097,Il,Lake,17,49,409
44,005,25,009,Ma,Essex,17,31,586
44,005,36,061,NY,"New York",16,24,1001
44,005,37,133,NC,Onslow,16,44,638
44,005,45,015,SC,Berkeley,15,50,362
44,005,06,059,Ca,Orange,14,30,462
44,005,45,019,SC,Charleston,13,39,519
44,005,48,029,Tx,Bexar,13,34,457
44,005,33,015,NH,Rockingham,13,31,313
44,005,51,013,Va,Arlington,12,19,1649
44,005,12,011,Fl,Broward,12,17,203
44,005,25,027,Ma,Worcester,12,14,683
44,005,36,119,NY,Westchester,11,15,278
44,005,24,033,Md,"Prince George's",11,28,881
44,005,36,047,NY,Kings,11,16,318
44,005,09,007,Ct,Middlesex,11,23,420
44,005,53,035,Wa,Kitsap,11,40,408
44,005,17,031,Il,Cook,10,10,158
44,005,36,103,NY,Suffolk,10,18,316
44,005,10,003,De,"New Castle",10,28,257
44,005,53,033,Wa,King,10,14,299
44,005,25,001,Ma,Barnstable,10,18,300
44,005,12,103,Fl,Pinellas,10,10,110
44,005,33,011,NH,Hillsborough,10,13,486
44,005,63,011,XX,"Region 1: Northeast",283,562,9250
44,005,63,012,XX,"Region 2: Midwest",152,290,3964
44,005,63,013,XX,"Region 3: South",371,904,10908
44,005,63,014,XX,"Region 4: West",123,290,3852
44,005,63,015,XX,Foreign,15,31,444
44,005,63,050,RI,"County Non-Migrant",29333,61209,1053333
44,007,00,001,RI,Providence,7930,12907,228692
44,007,44,003,RI,Kent,1550,2561,47601
44,007,25,005,Ma,Bristol,782,1320,19874
44,007,44,009,RI,Washington,393,624,11436
44,007,44,001,RI,Bristol,391,628,15143
44,007,57,001,FR,"Foreign / Overseas",298,328,2158
44,007,25,025,Ma,Suffolk,295,426,15389
44,007,25,027,Ma,Worcester,221,396,6088
44,007,25,021,Ma,Norfolk,221,367,7452
44,007,25,017,Ma,Middlesex,212,340,7824
44,007,36,055,NY,Monroe,175,219,9785
44,007,44,005,RI,Newport,167,255,3732
44,007,36,061,NY,"New York",95,143,2269
44,007,09,003,Ct,Hartford,89,128,2822
44,007,06,037,Ca,"Los Angeles",74,138,1862
44,007,57,005,FR,"APO / FPO Zip Code",65,101,1243
44,007,09,001,Ct,Fairfield,60,85,1807
44,007,12,011,Fl,Broward,59,81,1063
44,007,09,009,Ct,"New Haven",52,88,2163
44,007,25,009,Ma,Essex,51,77,1499
44,007,25,023,Ma,Plymouth,51,92,1419
44,007,09,015,Ct,Windham,50,89,1570
44,007,25,001,Ma,Barnstable,45,67,1088
44,007,23,005,Me,Cumberland,42,66,1827
44,007,09,011,Ct,"New London",41,58,940
44,007,12,025,Fl,Dade,41,75,536
44,007,36,047,NY,Kings,41,93,631
