"1992 - 1993 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Wyoming Inflows",
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Wyoming,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
56,001,00,001,Wy,Albany,1561,2682,27507
56,001,56,021,Wy,Laramie,135,212,2777
56,001,56,025,Wy,Natrona,82,142,1222
56,001,57,001,FR,"Foreign / Overseas",70,77,362
56,001,56,037,Wy,Sweetwater,49,73,591
56,001,08,069,Co,Larimer,44,77,771
56,001,56,007,Wy,Carbon,42,77,779
56,001,56,013,Wy,Fremont,40,75,586
56,001,56,033,Wy,Sheridan,30,48,408
56,001,56,005,Wy,Campbell,26,39,307
56,001,56,029,Wy,Park,23,42,356
56,001,57,005,FR,"APO / FPO Zip Code",20,44,455
56,001,56,003,Wy,"Big Horn",18,32,166
56,001,56,039,Wy,Teton,18,27,402
56,001,08,005,Co,Arapahoe,17,39,347
56,001,08,031,Co,Denver,17,29,266
56,001,56,041,Wy,Uinta,15,31,268
56,001,56,009,Wy,Converse,15,28,193
56,001,06,073,Ca,"San Diego",13,26,308
56,001,04,013,Az,Maricopa,13,24,263
56,001,56,043,Wy,Washakie,12,21,121
56,001,56,015,Wy,Goshen,12,29,225
56,001,08,041,Co,"El Paso",12,19,154
56,001,56,031,Wy,Platte,11,15,146
56,001,56,045,Wy,Weston,11,13,99
56,001,08,013,Co,Boulder,11,16,223
56,001,08,123,Co,Weld,11,23,240
56,001,56,017,Wy,"Hot Springs",10,15,108
56,001,06,037,Ca,"Los Angeles",10,19,358
56,001,06,059,Ca,Orange,10,23,328
56,001,53,033,Wa,King,10,22,262
56,001,08,059,Co,Jefferson,10,18,232
56,001,08,001,Co,Adams,10,17,182
56,001,63,010,XX,"Same State",28,48,370
56,001,63,011,XX,"Region 1: Northeast",72,113,1463
56,001,63,012,XX,"Region 2: Midwest",222,376,3503
56,001,63,013,XX,"Region 3: South",138,245,3181
56,001,63,014,XX,"Region 4: West",274,508,5485
56,001,63,050,Wy,"County Non-Migrant",9384,20095,286036
56,003,00,001,Wy,"Big Horn",273,636,5551
56,003,56,029,Wy,Park,41,91,576
56,003,56,025,Wy,Natrona,13,27,260
56,003,30,111,Mt,Yellowstone,10,26,181
56,003,63,020,XX,"Same State",57,110,1109
56,003,63,021,XX,"Same Region, Diff. State",91,245,1967
56,003,63,022,XX,"Different Region",61,137,1458
56,003,63,050,Wy,"County Non-Migrant",3241,8305,84120
56,005,00,001,Wy,Campbell,777,1774,20442
