"1992 - 1993 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Alabama Outflows",
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Alabama,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
01,001,00,001,Al,Autauga,1132,2726,30123
01,001,01,101,Al,Montgomery,290,625,6425
01,001,01,051,Al,Elmore,185,465,4344
01,001,01,021,Al,Chilton,44,112,824
01,001,01,047,Al,Dallas,34,96,705
01,001,01,073,Al,Jefferson,33,69,1146
01,001,57,005,FR,"APO / FPO Zip Code",30,76,876
01,001,01,097,Al,Mobile,19,47,371
01,001,01,081,Al,Lee,14,34,265
01,001,01,125,Al,Tuscaloosa,12,25,290
01,001,01,003,Al,Baldwin,12,27,310
01,001,01,117,Al,Shelby,10,26,254
01,001,63,010,XX,"Same State",83,189,2132
01,001,63,011,XX,"Region 1: Northeast",16,42,1005
01,001,63,012,XX,"Region 2: Midwest",35,78,856
01,001,63,013,XX,"Region 3: South",256,662,8550
01,001,63,014,XX,"Region 4: West",59,153,1770
01,001,63,050,Al,"County Non-Migrant",11196,27704,353364
01,003,00,001,Al,Baldwin,2034,4071,51576
01,003,01,097,Al,Mobile,463,831,11705
01,003,12,033,Fl,Escambia,146,299,3172
01,003,01,073,Al,Jefferson,73,135,1608
01,003,01,053,Al,Escambia,40,87,783
01,003,01,101,Al,Montgomery,30,49,675
01,003,12,113,Fl,"Santa Rosa",26,61,742
01,003,57,005,FR,"APO / FPO Zip Code",26,52,422
01,003,01,081,Al,Lee,24,29,352
01,003,48,201,Tx,Harris,22,53,1066
01,003,01,099,Al,Monroe,19,42,519
01,003,13,121,Ga,Fulton,18,28,352
01,003,01,125,Al,Tuscaloosa,18,25,240
01,003,22,051,La,Jefferson,17,27,473
01,003,12,031,Fl,Duval,17,46,611
01,003,28,059,Ms,Jackson,17,48,466
01,003,01,089,Al,Madison,16,36,409
01,003,28,047,Ms,Harrison,16,37,353
01,003,13,067,Ga,Cobb,14,27,311
01,003,01,039,Al,Covington,13,32,306
01,003,13,089,Ga,"De Kalb",12,21,275
01,003,12,091,Fl,Okaloosa,11,22,299
01,003,12,057,Fl,Hillsborough,11,31,269
01,003,22,033,La,"East Baton Rouge",10,18,226
01,003,47,157,Tn,Shelby,10,24,213
01,003,57,001,FR,"Foreign / Overseas",10,22,491
01,003,63,010,XX,"Same State",154,344,3295
01,003,63,011,XX,"Region 1: Northeast",56,113,1572
01,003,63,012,XX,"Region 2: Midwest",113,261,3072
01,003,63,013,XX,"Region 3: South",509,1041,14512
01,003,63,014,XX,"Region 4: West",123,230,2787
01,003,63,050,Al,"County Non-Migrant",34822,80760,1039066
01,005,00,001,Al,Barbour,515,1111,9572
01,005,01,045,Al,Dale,41,92,630
01,005,01,101,Al,Montgomery,37,60,647
01,005,01,067,Al,Henry,34,80,584
01,005,01,069,Al,Houston,27,65,587
01,005,01,109,Al,Pike,23,58,411
01,005,01,073,Al,Jefferson,21,43,660
01,005,13,239,Ga,Quitman,15,32,352
01,005,01,113,Al,Russell,15,35,351
01,005,01,081,Al,Lee,12,24,165
01,005,01,011,Al,Bullock,10,24,154
01,005,63,010,XX,"Same State",86,197,1699
01,005,63,011,XX,"Region 1: Northeast",17,31,208
01,005,63,012,XX,"Region 2: Midwest",19,43,195
01,005,63,013,XX,"Region 3: South",142,300,2741
01,005,63,014,XX,"Region 4: West",16,27,188
01,005,63,050,Al,"County Non-Migrant",7733,18632,201238
01,007,00,001,Al,Bibb,337,789,6600
01,007,01,073,Al,Jefferson,81,176,1518
01,007,01,125,Al,Tuscaloosa,54,137,1509
01,007,01,117,Al,Shelby,53,149,1067
01,007,01,021,Al,Chilton,14,33,235
01,007,01,105,Al,Perry,10,23,94
01,007,63,020,XX,"Same State",58,131,1053
01,007,63,021,XX,"Same Region, Diff. State",53,107,911
01,007,63,022,XX,"Different Region",14,33,213
01,007,63,050,Al,"County Non-Migrant",5439,13600,135001
01,009,00,001,Al,Blount,696,1581,14953
01,009,01,073,Al,Jefferson,245,517,6052
01,009,01,095,Al,Marshall,73,178,1407
01,009,01,055,Al,Etowah,70,161,1328
01,009,01,043,Al,Cullman,45,97,673
01,009,01,115,Al,"St. Clair",30,88,626
01,009,01,127,Al,Walker,16,39,234
01,009,01,103,Al,Morgan,13,30,185
01,009,01,117,Al,Shelby,11,26,192
01,009,63,020,XX,"Same State",65,147,1564
01,009,63,021,XX,"Same Region, Diff. State",92,205,2024
01,009,63,022,XX,"Different Region",36,93,668
01,009,63,050,Al,"County Non-Migrant",11226,27610,348409
01,011,00,001,Al,Bullock,231,514,3679
01,011,01,109,Al,Pike,56,125,1089
01,011,01,101,Al,Montgomery,33,69,533
01,011,01,087,Al,Macon,22,55,272
01,011,01,005,Al,Barbour,14,38,240
01,011,63,020,XX,"Same State",45,104,807
01,011,63,021,XX,"Same Region, Diff. State",35,73,410
01,011,63,022,XX,"Different Region",26,50,328
01,011,63,050,Al,"County Non-Migrant",3199,7703,60838
01,013,00,001,Al,Butler,344,763,6750
01,013,01,101,Al,Montgomery,42,83,726
01,013,01,041,Al,Crenshaw,32,88,622
01,013,01,039,Al,Covington,23,53,438
01,013,01,085,Al,Lowndes,20,54,292
01,013,01,073,Al,Jefferson,16,34,356
01,013,01,035,Al,Conecuh,11,26,128
01,013,63,020,XX,"Same State",85,219,2009
01,013,63,021,XX,"Same Region, Diff. State",78,136,1643
01,013,63,022,XX,"Different Region",37,70,536
01,013,63,050,Al,"County Non-Migrant",6496,15884,146976
01,015,00,001,Al,Calhoun,2932,6789,68961
01,015,57,005,FR,"APO / FPO Zip Code",231,657,5661
01,015,01,055,Al,Etowah,229,511,4337
01,015,01,121,Al,Talladega,182,449,3823
01,015,01,073,Al,Jefferson,129,223,2666
01,015,01,029,Al,Cleburne,64,160,1217
01,015,01,089,Al,Madison,57,112,1258
01,015,15,003,Hi,Honolulu,46,136,1132
01,015,01,115,Al,"St. Clair",44,97,1043
01,015,37,051,NC,Cumberland,42,106,1118
01,015,48,027,Tx,Bell,34,104,729
01,015,01,101,Al,Montgomery,34,60,802
01,015,01,019,Al,Cherokee,33,58,556
01,015,01,095,Al,Marshall,33,70,1115
01,015,13,067,Ga,Cobb,30,67,721
01,015,01,027,Al,Clay,29,64,775
01,015,01,081,Al,Lee,28,58,542
01,015,13,121,Ga,Fulton,25,42,417
01,015,01,125,Al,Tuscaloosa,24,40,388
01,015,01,049,Al,"De Kalb",23,39,333
01,015,48,029,Tx,Bexar,22,63,639
01,015,13,089,Ga,"De Kalb",19,36,517
01,015,01,103,Al,Morgan,19,43,532
01,015,13,045,Ga,Carroll,19,44,339
01,015,01,111,Al,Randolph,18,42,494
01,015,12,033,Fl,Escambia,17,36,395
01,015,48,201,Tx,Harris,17,27,311
01,015,01,117,Al,Shelby,17,35,594
01,015,01,097,Al,Mobile,16,31,434
01,015,13,215,Ga,Muscogee,16,33,385
01,015,01,123,Al,Tallapoosa,16,31,241
01,015,13,115,Ga,Floyd,16,33,387
01,015,13,179,Ga,Liberty,15,38,268
01,015,02,090,Ak,"Fairbanks North Star Bor",14,45,395
01,015,51,059,Va,Fairfax,14,39,520
01,015,12,031,Fl,Duval,14,28,239
