"1992 - 1993 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Florida Outflows",
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Florida,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
12,001,00,001,Fl,Alachua,6402,11044,143026
12,001,12,031,Fl,Duval,291,443,5721
12,001,12,095,Fl,Orange,285,416,5254
12,001,12,057,Fl,Hillsborough,264,388,5157
12,001,12,083,Fl,Marion,252,489,5494
12,001,12,103,Fl,Pinellas,224,340,3948
12,001,12,011,Fl,Broward,209,290,3818
12,001,12,025,Fl,Dade,195,286,3056
12,001,12,099,Fl,"Palm Beach",178,255,3197
12,001,12,075,Fl,Levy,148,313,2881
12,001,12,023,Fl,Columbia,127,256,2316
12,001,12,107,Fl,Putnam,122,240,2736
12,001,12,073,Fl,Leon,112,175,2307
12,001,12,019,Fl,Clay,98,212,2466
12,001,12,009,Fl,Brevard,91,147,2124
12,001,12,127,Fl,Volusia,90,150,1871
12,001,12,007,Fl,Bradford,88,168,2092
12,001,12,117,Fl,Seminole,82,131,1659
12,001,12,041,Fl,Gilchrist,71,189,1671
12,001,57,001,FR,"Foreign / Overseas",65,134,1355
12,001,13,121,Ga,Fulton,62,91,1537
12,001,13,067,Ga,Cobb,61,87,1267
12,001,12,109,Fl,"St. Johns",53,88,1324
12,001,12,033,Fl,Escambia,50,95,1105
12,001,13,089,Ga,"De Kalb",50,72,1022
12,001,12,115,Fl,Sarasota,47,72,903
12,001,12,081,Fl,Manatee,47,69,787
12,001,12,071,Fl,Lee,46,63,993
12,001,57,005,FR,"APO / FPO Zip Code",46,84,941
12,001,12,105,Fl,Polk,44,60,854
12,001,12,069,Fl,Lake,40,75,930
12,001,12,101,Fl,Pasco,39,67,693
12,001,12,021,Fl,Collier,36,57,728
12,001,12,121,Fl,Suwannee,35,60,675
12,001,17,031,Il,Cook,34,49,564
12,001,06,037,Ca,"Los Angeles",30,38,403
12,001,12,091,Fl,Okaloosa,28,45,533
12,001,12,017,Fl,Citrus,27,43,484
12,001,12,125,Fl,Union,27,65,607
12,001,12,085,Fl,Martin,26,36,683
12,001,51,059,Va,Fairfax,26,33,610
12,001,13,135,Ga,Gwinnett,26,40,501
12,001,12,111,Fl,"St. Lucie",26,60,739
12,001,37,119,NC,Mecklenburg,26,38,631
12,001,47,037,Tn,Davidson,25,47,2115
12,001,36,061,NY,"New York",24,25,452
12,001,53,033,Wa,King,24,33,389
12,001,48,113,Tx,Dallas,23,34,512
12,001,12,097,Fl,Osceola,23,40,390
12,001,24,031,Md,Montgomery,22,39,840
12,001,06,073,Ca,"San Diego",22,39,492
12,001,48,453,Tx,Travis,21,32,413
12,001,15,003,Hi,Honolulu,21,34,500
12,001,12,029,Fl,Dixie,21,45,460
12,001,11,001,DC,"Wash.,D.C.",21,26,424
12,001,47,093,Tn,Knox,21,33,488
12,001,37,183,NC,Wake,21,40,967
12,001,25,017,Ma,Middlesex,21,34,486
12,001,12,053,Fl,Hernando,19,31,298
12,001,06,085,Ca,"Santa Clara",19,33,579
12,001,13,059,Ga,Clarke,18,31,424
12,001,48,201,Tx,Harris,18,28,384
12,001,13,051,Ga,Chatham,18,31,315
12,001,04,013,Az,Maricopa,18,24,359
