"1992 - 1993 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Louisiana Outflows",
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Louisiana,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
22,001,00,001,La,Acadia,814,1799,15472
22,001,22,055,La,Lafayette,254,539,5417
22,001,22,097,La,"St. Landry",77,216,1186
22,001,22,053,La,"Jefferson Davis",63,159,1007
22,001,22,019,La,Calcasieu,39,81,684
22,001,22,033,La,"East Baton Rouge",37,77,1235
22,001,22,113,La,Vermilion,32,70,674
22,001,48,201,Tx,Harris,22,35,406
22,001,22,039,La,Evangeline,19,49,276
22,001,57,005,FR,"APO / FPO Zip Code",11,20,169
22,001,63,020,XX,"Same State",83,175,1772
22,001,63,021,XX,"Same Region, Diff. State",121,258,1911
22,001,63,022,XX,"Different Region",56,120,735
22,001,63,050,La,"County Non-Migrant",15881,41151,379632
22,003,00,001,La,Allen,395,934,8348
22,003,22,019,La,Calcasieu,61,121,1250
22,003,22,079,La,Rapides,43,104,852
22,003,22,011,La,Beauregard,25,68,538
22,003,22,115,La,Vernon,20,42,400
22,003,22,053,La,"Jefferson Davis",20,50,430
22,003,22,039,La,Evangeline,19,42,307
22,003,22,033,La,"East Baton Rouge",11,18,161
22,003,63,010,XX,"Same State",52,125,1188
22,003,63,011,XX,"Region 1: Northeast",19,43,504
22,003,63,012,XX,"Region 2: Midwest",11,25,234
22,003,63,013,XX,"Region 3: South",98,251,2058
22,003,63,014,XX,"Region 4: West",16,45,426
22,003,63,050,La,"County Non-Migrant",5350,14110,127517
22,005,00,001,La,Ascension,1144,2525,27716
22,005,22,033,La,"East Baton Rouge",323,676,9587
22,005,22,063,La,Livingston,115,266,2766
22,005,22,007,La,Assumption,50,125,933
22,005,22,051,La,Jefferson,37,72,711
22,005,22,093,La,"St. James",37,100,763
22,005,22,047,La,Iberville,33,69,529
22,005,48,201,Tx,Harris,23,46,581
22,005,22,095,La,"St. John the Baptist",22,56,475
22,005,22,071,La,Orleans,20,36,224
22,005,22,105,La,Tangipahoa,17,36,343
22,005,22,121,La,"West Baton Rouge",12,28,215
22,005,63,010,XX,"Same State",125,310,2835
22,005,63,011,XX,"Region 1: Northeast",17,37,315
22,005,63,012,XX,"Region 2: Midwest",32,67,820
22,005,63,013,XX,"Region 3: South",230,504,5646
22,005,63,014,XX,"Region 4: West",39,78,694
22,005,63,015,XX,Foreign,12,19,279
22,005,63,050,La,"County Non-Migrant",18867,49446,596592
22,007,00,001,La,Assumption,380,850,7080
22,007,22,057,La,Lafourche,72,182,1401
22,007,22,005,La,Ascension,60,169,1160
22,007,22,101,La,"St. Mary",53,121,943
22,007,22,033,La,"East Baton Rouge",26,41,593
22,007,22,047,La,Iberville,16,35,326
22,007,22,109,La,Terrebonne,16,30,228
22,007,22,051,La,Jefferson,12,21,228
22,007,22,071,La,Orleans,11,26,119
22,007,63,020,XX,"Same State",45,102,901
22,007,63,021,XX,"Same Region, Diff. State",48,91,874
22,007,63,022,XX,"Different Region",21,32,307
22,007,63,050,La,"County Non-Migrant",6483,17017,163495
22,009,00,001,La,Avoyelles,533,1203,9452
22,009,22,079,La,Rapides,111,266,1861
22,009,22,033,La,"East Baton Rouge",61,109,969
22,009,22,055,La,Lafayette,33,53,763
22,009,22,097,La,"St. Landry",26,75,595
22,009,22,077,La,"Pointe Coupee",17,37,272
22,009,48,201,Tx,Harris,15,27,163
22,009,57,005,FR,"APO / FPO Zip Code",14,30,163
22,009,22,051,La,Jefferson,13,25,261
22,009,22,039,La,Evangeline,11,28,211
22,009,48,113,Tx,Dallas,11,20,156
22,009,63,020,XX,"Same State",94,227,1863
22,009,63,021,XX,"Same Region, Diff. State",93,219,1454
22,009,63,022,XX,"Different Region",34,87,721
22,009,63,050,La,"County Non-Migrant",10777,27419,235078
22,011,00,001,La,Beauregard,1075,2782,26866
22,011,22,115,La,Vernon,172,442,3544
22,011,22,019,La,Calcasieu,143,330,3253
22,011,48,027,Tx,Bell,110,333,3164
22,011,57,005,FR,"APO / FPO Zip Code",40,133,1249
22,011,48,201,Tx,Harris,24,61,575
22,011,22,003,La,Allen,22,59,564
22,011,22,079,La,Rapides,16,40,372
22,011,48,099,Tx,Coryell,12,45,404
22,011,22,055,La,Lafayette,12,23,233
22,011,48,113,Tx,Dallas,11,23,222
22,011,48,029,Tx,Bexar,10,22,273
22,011,63,010,XX,"Same State",102,245,2156
22,011,63,011,XX,"Region 1: Northeast",22,51,800
22,011,63,012,XX,"Region 2: Midwest",50,149,1339
22,011,63,013,XX,"Region 3: South",274,702,7350
22,011,63,014,XX,"Region 4: West",55,124,1368
22,011,63,050,La,"County Non-Migrant",8202,21409,231775
22,013,00,001,La,Bienville,313,735,5628
22,013,22,017,La,Caddo,39,74,813
22,013,22,119,La,Webster,39,103,729
22,013,22,061,La,Lincoln,28,59,540
22,013,22,049,La,Jackson,23,58,404
22,013,22,015,La,Bossier,21,48,355
22,013,22,081,La,"Red River",18,57,408
22,013,22,027,La,Claiborne,11,25,128
22,013,22,069,La,Natchitoches,10,19,195
22,013,63,020,XX,"Same State",26,67,486
22,013,63,021,XX,"Same Region, Diff. State",71,172,1231
22,013,63,022,XX,"Different Region",27,53,339
22,013,63,050,La,"County Non-Migrant",4448,11338,103819
22,015,00,001,La,Bossier,3459,7954,84685
22,015,22,017,La,Caddo,1203,2511,26202
22,015,57,005,FR,"APO / FPO Zip Code",204,464,4410
22,015,22,119,La,Webster,109,258,2079
22,015,48,113,Tx,Dallas,62,126,1566
22,015,22,073,La,Ouachita,49,98,1022
22,015,48,201,Tx,Harris,42,96,1481
22,015,48,439,Tx,Tarrant,37,85,1114
22,015,48,029,Tx,Bexar,31,83,976
22,015,22,033,La,"East Baton Rouge",27,46,590
22,015,17,163,Il,"St. Clair",26,99,1183
22,015,22,069,La,Natchitoches,26,64,379
22,015,05,119,Ar,Pulaski,25,64,723
22,015,12,091,Fl,Okaloosa,25,69,642
22,015,22,031,La,"De Soto",22,47,483
22,015,22,061,La,Lincoln,22,35,293
22,015,22,079,La,Rapides,21,50,593
22,015,48,183,Tx,Gregg,20,41,579
22,015,08,041,Co,"El Paso",17,45,557
22,015,48,203,Tx,Harrison,17,45,413
22,015,40,109,Ok,Oklahoma,17,61,672
22,015,22,013,La,Bienville,16,36,553
22,015,22,027,La,Claiborne,15,40,405
22,015,48,037,Tx,Bowie,14,40,262
22,015,22,055,La,Lafayette,14,33,338
22,015,32,003,Nv,Clark,14,22,192
22,015,22,051,La,Jefferson,13,24,333
22,015,22,103,La,"St. Tammany",13,29,386
22,015,48,423,Tx,Smith,13,34,443
22,015,48,453,Tx,Travis,12,34,429
22,015,22,071,La,Orleans,12,23,310
22,015,01,097,Al,Mobile,11,37,353
22,015,04,013,Az,Maricopa,11,26,314
22,015,28,047,Ms,Harrison,11,26,290
22,015,48,121,Tx,Denton,11,25,376
22,015,06,065,Ca,Riverside,11,26,396
22,015,47,037,Tn,Davidson,10,17,212
22,015,40,143,Ok,Tulsa,10,23,338
22,015,12,005,Fl,Bay,10,26,169
22,015,05,027,Ar,Columbia,10,17,115
22,015,63,010,XX,"Same State",86,181,1591
22,015,63,011,XX,"Region 1: Northeast",79,181,2069
22,015,63,012,XX,"Region 2: Midwest",206,512,5214
22,015,63,013,XX,"Region 3: South",671,1661,17733
22,015,63,014,XX,"Region 4: West",173,463,5457
22,015,63,015,XX,Foreign,11,31,450
22,015,63,050,La,"County Non-Migrant",26094,64141,781396
22,017,00,001,La,Caddo,5341,11491,147580
22,017,22,015,La,Bossier,1239,2862,31015
22,017,48,113,Tx,Dallas,278,534,5572
22,017,22,031,La,"De Soto",190,435,4493
22,017,48,201,Tx,Harris,159,335,6219
22,017,22,033,La,"East Baton Rouge",116,188,3033
22,017,22,119,La,Webster,102,228,2418
22,017,48,439,Tx,Tarrant,99,195,2601
22,017,57,005,FR,"APO / FPO Zip Code",84,167,1377
