"1992 - 1993 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,"Montana Outflows",
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Montana,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
30,001,00,001,Mt,Beaverhead,293,612,5463
30,001,30,093,Mt,"Silver Bow",32,75,509
30,001,30,063,Mt,Missoula,21,39,273
30,001,30,031,Mt,Gallatin,15,28,198
30,001,30,049,Mt,"Lewis and Clark",13,27,142
30,001,30,057,Mt,Madison,13,27,137
30,001,30,111,Mt,Yellowstone,10,19,243
30,001,63,020,XX,"Same State",55,123,968
30,001,63,021,XX,"Same Region, Diff. State",95,203,2200
30,001,63,022,XX,"Different Region",39,71,793
30,001,63,050,Mt,"County Non-Migrant",2610,6190,66425
30,003,00,001,Mt,"Big Horn",236,517,4626
30,003,30,111,Mt,Yellowstone,70,162,1379
30,003,56,033,Wy,Sheridan,19,39,397
30,003,30,087,Mt,Rosebud,17,48,289
30,003,63,020,XX,"Same State",46,98,810
30,003,63,021,XX,"Same Region, Diff. State",52,111,1225
30,003,63,022,XX,"Different Region",32,59,526
30,003,63,050,Mt,"County Non-Migrant",2972,8277,69533
30,005,00,001,Mt,Blaine,156,368,3602
30,005,30,041,Mt,Hill,34,79,686
30,005,30,111,Mt,Yellowstone,12,27,170
30,005,63,020,XX,"Same State",54,140,1354
30,005,63,021,XX,"Same Region, Diff. State",32,72,767
30,005,63,022,XX,"Different Region",24,50,625
30,005,63,050,Mt,"County Non-Migrant",2055,5179,46596
30,007,00,001,Mt,Broadwater,103,241,1779
30,007,30,049,Mt,"Lewis and Clark",29,64,438
30,007,63,020,XX,"Same State",32,68,693
30,007,63,021,XX,"Same Region, Diff. State",31,81,539
30,007,63,022,XX,"Different Region",11,28,109
30,007,63,050,Mt,"County Non-Migrant",1036,2539,26142
30,009,00,001,Mt,Carbon,250,499,4643
30,009,30,111,Mt,Yellowstone,92,185,1749
30,009,30,095,Mt,Stillwater,12,32,228
30,009,30,031,Mt,Gallatin,11,15,141
30,009,63,020,XX,"Same State",34,60,480
30,009,63,021,XX,"Same Region, Diff. State",65,137,1097
30,009,63,022,XX,"Different Region",36,70,948
30,009,63,050,Mt,"County Non-Migrant",2598,6008,64113
30,011,00,001,Mt,Carter,46,91,561
30,011,63,030,XX,"Suppress All Flows",46,91,561
30,011,63,050,Mt,"County Non-Migrant",484,1154,9528
30,013,00,001,Mt,Cascade,2635,5873,59836
30,013,57,005,FR,"APO / FPO Zip Code",213,507,3971
30,013,30,063,Mt,Missoula,123,196,2021
30,013,30,049,Mt,"Lewis and Clark",103,200,2017
30,013,30,111,Mt,Yellowstone,97,203,2250
30,013,30,031,Mt,Gallatin,68,111,1033
30,013,30,029,Mt,Flathead,52,100,1232
30,013,53,033,Wa,King,50,76,987
30,013,30,099,Mt,Teton,41,107,1016
30,013,30,041,Mt,Hill,41,83,582
30,013,53,063,Wa,Spokane,40,85,780
30,013,04,013,Az,Maricopa,30,63,695
30,013,02,020,Ak,"Anchorage Borough",24,64,458
30,013,32,003,Nv,Clark,24,50,653
30,013,30,015,Mt,Chouteau,22,56,335
30,013,30,047,Mt,Lake,22,46,522
30,013,06,073,Ca,"San Diego",21,39,410
30,013,30,093,Mt,"Silver Bow",21,38,487
30,013,06,037,Ca,"Los Angeles",20,36,506
30,013,30,027,Mt,Fergus,19,50,258
30,013,06,083,Ca,"Santa Barbara",18,58,614
30,013,48,029,Tx,Bexar,18,42,489
30,013,30,035,Mt,Glacier,17,35,238
30,013,53,053,Wa,Pierce,17,45,653
30,013,53,061,Wa,Snohomish,16,32,332
30,013,30,073,Mt,Pondera,15,34,249
30,013,16,001,Id,Ada,15,22,336
30,013,41,051,Or,Multnomah,15,23,204
30,013,08,005,Co,Arapahoe,14,21,540
30,013,49,035,Ut,"Salt Lake",13,35,403
30,013,02,090,Ak,"Fairbanks North Star Bor",12,38,223
30,013,08,041,Co,"El Paso",12,29,304
30,013,31,153,Ne,Sarpy,12,38,319
30,013,30,101,Mt,Toole,11,22,152
30,013,06,071,Ca,"San Bernardino",11,30,181
30,013,30,081,Mt,Ravalli,11,26,228
30,013,17,031,Il,Cook,10,18,367
30,013,06,065,Ca,Riverside,10,24,261
30,013,56,033,Wy,Sheridan,10,25,313
30,013,15,003,Hi,Honolulu,10,22,181
30,013,04,019,Az,Pima,10,19,162
30,013,49,049,Ut,Utah,10,30,285
30,013,17,163,Il,"St. Clair",10,39,431
30,013,30,053,Mt,Lincoln,10,29,263
30,013,63,010,XX,"Same State",109,206,1925
30,013,63,011,XX,"Region 1: Northeast",100,201,2220
30,013,63,012,XX,"Region 2: Midwest",278,634,6968
30,013,63,013,XX,"Region 3: South",397,1016,10650
30,013,63,014,XX,"Region 4: West",400,933,9866
30,013,63,015,XX,Foreign,13,37,266
30,013,63,050,Mt,"County Non-Migrant",26847,61153,789147
30,015,00,001,Mt,Chouteau,147,342,2531
30,015,30,013,Mt,Cascade,36,95,750
30,015,30,041,Mt,Hill,12,32,162
30,015,63,020,XX,"Same State",62,133,989
30,015,63,021,XX,"Same Region, Diff. State",13,29,218
30,015,63,022,XX,"Different Region",24,53,412
30,015,63,050,Mt,"County Non-Migrant",1781,4252,52356
