"1993 - 1994 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
California,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
6,1,0,1,Ca,"Alameda (Total Migrant)",32525,55995,1031087
6,1,6,13,Ca,"Contra Costa",4603,7723,164880
6,1,6,85,Ca,"Santa Clara",4368,8121,171659
6,1,6,75,Ca,"San Francisco",3994,6189,128579
6,1,6,81,Ca,"San Mateo",2221,4235,81208
6,1,6,37,Ca,"Los Angeles",1742,3030,49595
6,1,57,1,FR,"Foreign / Overseas",801,993,11670
6,1,6,73,Ca,"San Diego",733,1306,17564
6,1,6,77,Ca,"San Joaquin",728,1431,22855
6,1,6,67,Ca,Sacramento,664,1065,17175
6,1,6,95,Ca,Solano,552,1142,17207
6,1,57,5,FR,"APO / FPO Zip Code",547,995,11448
6,1,6,59,Ca,Orange,507,891,17687
6,1,6,99,Ca,Stanislaus,432,863,12507
6,1,6,41,Ca,Marin,379,537,12660
6,1,6,97,Ca,Sonoma,287,447,7446
6,1,53,33,Wa,King,271,410,8578
6,1,6,87,Ca,"Santa Cruz",233,328,5424
6,1,15,3,Hi,Honolulu,201,358,5447
6,1,17,31,Il,Cook,197,338,6803
6,1,6,19,Ca,Fresno,194,353,4995
6,1,4,13,Az,Maricopa,189,351,6433
6,1,6,71,Ca,"San Bernardino",181,347,5042
6,1,6,53,Ca,Monterey,179,341,4361
6,1,6,113,Ca,Yolo,163,215,3628
6,1,6,83,Ca,"Santa Barbara",157,228,3712
6,1,6,111,Ca,Ventura,144,305,4747
6,1,6,65,Ca,Riverside,138,281,3416
6,1,25,17,Ma,Middlesex,132,188,4977
6,1,36,61,NY,"New York",132,178,4755
6,1,6,79,Ca,"San Luis Obispo",120,164,2074
6,1,6,7,Ca,Butte,105,151,1632
6,1,48,201,Tx,Harris,103,172,3058
6,1,11,1,DC,"Wash.,D.C.",98,123,2380
6,1,6,55,Ca,Napa,96,155,3096
6,1,6,29,Ca,Kern,94,185,2112
6,1,32,31,Nv,Washoe,91,155,2304
6,1,48,113,Tx,Dallas,85,154,2962
6,1,53,35,Wa,Kitsap,80,232,1922
6,1,6,61,Ca,Placer,78,125,4907
6,1,24,31,Md,Montgomery,70,105,2340
6,1,51,59,Va,Fairfax,69,157,3683
6,1,32,3,Nv,Clark,67,110,1758
6,1,6,47,Ca,Merced,64,136,1331
6,1,6,23,Ca,Humboldt,63,97,1037
6,1,36,81,NY,Queens,63,110,1220
6,1,41,51,Or,Multnomah,62,103,1823
6,1,36,47,NY,Kings,62,86,1477
6,1,6,17,Ca,"El Dorado",60,83,1349
6,1,25,25,Ma,Suffolk,60,68,1530
