"1993 - 1994 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
California,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
6,1,0,1,Ca,"Alameda (Total Migrant)",37982,70071,1337454
6,1,6,13,Ca,"Contra Costa",6230,11714,261869
6,1,6,85,Ca,"Santa Clara",3523,6200,132185
6,1,6,75,Ca,"San Francisco",3198,4333,89179
6,1,6,77,Ca,"San Joaquin",1714,4024,64546
6,1,6,81,Ca,"San Mateo",1667,2959,64890
6,1,6,37,Ca,"Los Angeles",1135,1790,30050
6,1,6,67,Ca,Sacramento,959,1821,29485
6,1,6,73,Ca,"San Diego",833,1537,24531
6,1,6,95,Ca,Solano,720,1547,23067
6,1,6,99,Ca,Stanislaus,689,1714,22330
6,1,6,41,Ca,Marin,546,810,19620
6,1,4,13,Az,Maricopa,481,947,20037
6,1,6,97,Ca,Sonoma,431,754,14605
6,1,6,59,Ca,Orange,420,733,16166
6,1,53,33,Wa,King,407,695,13156
6,1,57,1,FR,"Foreign / Overseas",391,684,14309
6,1,57,5,FR,"APO / FPO Zip Code",332,612,7671
6,1,32,31,Nv,Washoe,271,486,7576
6,1,6,87,Ca,"Santa Cruz",266,394,7171
6,1,32,3,Nv,Clark,244,445,5905
6,1,17,31,Il,Cook,223,383,7783
6,1,6,19,Ca,Fresno,223,448,5925
6,1,6,113,Ca,Yolo,203,303,4467
6,1,15,3,Hi,Honolulu,201,358,5771
6,1,6,53,Ca,Monterey,189,346,6877
6,1,6,7,Ca,Butte,187,327,5050
6,1,6,61,Ca,Placer,180,364,7096
6,1,41,51,Or,Multnomah,174,265,4560
6,1,36,61,NY,"New York",165,190,5353
6,1,48,201,Tx,Harris,149,298,5535
6,1,6,17,Ca,"El Dorado",149,286,5192
6,1,25,17,Ma,Middlesex,137,215,5072
6,1,6,65,Ca,Riverside,134,245,4172
6,1,6,83,Ca,"Santa Barbara",133,188,3075
6,1,6,71,Ca,"San Bernardino",132,242,3106
6,1,48,113,Tx,Dallas,120,211,4019
6,1,6,55,Ca,Napa,119,237,4167
6,1,49,35,Ut,"Salt Lake",113,239,4282
6,1,6,111,Ca,Ventura,111,249,4357
6,1,6,109,Ca,Tuolumne,109,201,3654
6,1,8,13,Co,Boulder,107,167,3909
6,1,6,9,Ca,Calaveras,105,228,3924
6,1,41,67,Or,Washington,104,223,4488
6,1,6,47,Ca,Merced,104,238,3084
6,1,6,79,Ca,"San Luis Obispo",103,156,3752
6,1,48,453,Tx,Travis,102,191,4389
6,1,11,1,DC,"Wash.,D.C.",101,126,3446
6,1,48,29,Tx,Bexar,100,210,2607
