"1993 - 1994 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
NorthCarolina,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
37,1,0,1,NC,"Alamance (Total Migrant)",2069,4009,53050
37,1,37,81,NC,Guilford,422,795,11311
37,1,37,135,NC,Orange,184,372,4133
37,1,37,183,NC,Wake,112,197,3083
37,1,37,63,NC,Durham,68,116,1525
37,1,37,151,NC,Randolph,66,137,1609
37,1,37,33,NC,Caswell,57,153,1399
37,1,37,157,NC,Rockingham,50,112,1032
37,1,37,119,NC,Mecklenburg,45,86,1635
37,1,37,67,NC,Forsyth,44,84,1381
37,1,37,129,NC,"New Hanover",33,55,633
37,1,37,37,NC,Chatham,32,65,815
37,1,57,5,FR,"APO / FPO Zip Code",22,33,343
37,1,37,57,NC,Davidson,19,46,569
37,1,37,147,NC,Pitt,14,18,203
37,1,37,145,NC,Person,14,27,257
37,1,51,810,Va,"Virginia Beach city",12,24,231
37,1,45,51,SC,Horry,11,15,194
37,1,37,155,NC,Robeson,11,18,232
37,1,37,19,NC,Brunswick,10,16,225
37,1,6,73,Ca,"San Diego",10,16,129
37,1,63,10,XX,"Same State",222,438,5734
37,1,63,11,XX,"Region 1: Northeast",75,137,1694
37,1,63,12,XX,"Region 2: Midwest",75,167,2579
37,1,63,13,XX,"Region 3: South",403,786,11119
37,1,63,14,XX,"Region 4: West",58,96,985
37,1,63,50,NC,"County Non-Migrant",43959,94814,1398315
37,3,0,1,NC,"Alexander (Total Migrant)",641,1263,13625
37,3,37,35,NC,Catawba,212,432,5290
37,3,37,97,NC,Iredell,91,184,2058
37,3,37,27,NC,Caldwell,55,101,1011
37,3,37,23,NC,Burke,37,72,798
37,3,37,193,NC,Wilkes,27,46,365
37,3,63,10,XX,"Same State",108,193,2315
37,3,63,11,XX,"Region 1: Northeast",14,25,188
37,3,63,12,XX,"Region 2: Midwest",19,41,312
37,3,63,13,XX,"Region 3: South",67,143,1112
37,3,63,14,XX,"Region 4: West",11,26,176
37,3,63,50,NC,"County Non-Migrant",10174,22586,298905
37,5,0,1,NC,"Alleghany (Total Migrant)",158,298,2855
37,5,51,77,Va,Grayson,15,24,258
37,5,37,9,NC,Ashe,15,32,255
37,5,37,193,NC,Wilkes,14,30,260
37,5,63,20,XX,"Same State",62,110,1163
37,5,63,21,XX,"Same Region, Diff. State",36,71,637
37,5,63,22,XX,"Different Region",16,31,282
37,5,63,50,NC,"County Non-Migrant",3286,7250,71978
37,7,0,1,NC,"Anson (Total Migrant)",410,850,7119
37,7,37,179,NC,Union,88,215,1540
37,7,37,119,NC,Mecklenburg,54,97,779
37,7,37,153,NC,Richmond,34,72,600
37,7,37,167,NC,Stanly,29,62,586
37,7,45,25,SC,Chesterfield,28,64,364
37,7,37,81,NC,Guilford,16,32,229
37,7,37,67,NC,Forsyth,12,19,164
37,7,63,20,XX,"Same State",67,128,1320
37,7,63,21,XX,"Same Region, Diff. State",63,127,1086
37,7,63,22,XX,"Different Region",19,34,451
37,7,63,50,NC,"County Non-Migrant",8287,19252,194066
37,9,0,1,NC,"Ashe (Total Migrant)",337,617,6741
37,9,37,189,NC,Watauga,47,76,834
37,9,37,193,NC,Wilkes,46,88,1231
37,9,37,5,NC,Alleghany,18,42,220
