"1993 - 1994 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
NewHampshire,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
33,1,0,1,NH,"Belknap (Total Migrant)",1597,2950,38672
33,1,33,13,NH,Merrimack,497,982,12116
33,1,33,9,NH,Grafton,113,210,2618
33,1,33,11,NH,Hillsborough,96,158,2302
33,1,33,17,NH,Strafford,75,124,1404
33,1,33,3,NH,Carroll,73,155,1847
33,1,33,15,NH,Rockingham,61,121,1660
33,1,25,17,Ma,Middlesex,45,67,1194
33,1,25,9,Ma,Essex,29,50,592
33,1,12,115,Fl,Sarasota,13,18,208
33,1,57,5,FR,"APO / FPO Zip Code",12,15,112
33,1,25,21,Ma,Norfolk,12,23,428
33,1,25,25,Ma,Suffolk,12,17,168
33,1,25,15,Ma,Hampshire,10,12,181
33,1,33,19,NH,Sullivan,10,22,243
33,1,63,10,XX,"Same State",17,24,288
33,1,63,11,XX,"Region 1: Northeast",168,311,3967
33,1,63,12,XX,"Region 2: Midwest",45,78,1208
33,1,63,13,XX,"Region 3: South",223,413,5642
33,1,63,14,XX,"Region 4: West",86,150,2494
33,1,63,50,NH,"County Non-Migrant",18263,39973,598960
33,3,0,1,NH,"Carroll (Total Migrant)",1128,1942,28691
33,3,33,17,NH,Strafford,131,226,2746
33,3,33,15,NH,Rockingham,71,134,3198
33,3,33,1,NH,Belknap,60,129,1465
33,3,25,17,Ma,Middlesex,49,76,1571
33,3,23,31,Me,York,41,84,1002
33,3,33,11,NH,Hillsborough,41,80,1389
33,3,23,17,Me,Oxford,40,77,757
33,3,23,5,Me,Cumberland,35,54,667
33,3,33,13,NH,Merrimack,34,52,768
33,3,25,9,Ma,Essex,26,52,665
33,3,33,7,NH,Coos,23,41,389
33,3,33,9,NH,Grafton,22,30,1245
33,3,25,21,Ma,Norfolk,18,22,430
33,3,25,25,Ma,Suffolk,14,15,284
33,3,25,23,Ma,Plymouth,13,24,330
33,3,12,103,Fl,Pinellas,11,15,158
33,3,25,5,Ma,Bristol,10,27,271
33,3,12,99,Fl,"Palm Beach",10,18,233
33,3,63,30,XX,"Suppress All Flows",479,786,11123
33,3,63,50,NH,"County Non-Migrant",14590,30958,463621
33,5,0,1,NH,"Cheshire (Total Migrant)",1758,3087,42074
33,5,33,11,NH,Hillsborough,274,466,6606
33,5,50,25,Vt,Windham,129,240,2511
33,5,33,19,NH,Sullivan,86,159,1928
33,5,25,27,Ma,Worcester,73,140,2099
33,5,25,17,Ma,Middlesex,54,89,1467
33,5,25,11,Ma,Franklin,45,81,929
33,5,33,13,NH,Merrimack,44,80,1473
33,5,33,15,NH,Rockingham,43,64,1025
33,5,33,17,NH,Strafford,34,49,482
33,5,33,9,NH,Grafton,27,48,556
33,5,50,27,Vt,Windsor,22,42,439
33,5,25,25,Ma,Suffolk,21,28,993
33,5,25,15,Ma,Hampshire,20,26,319
33,5,25,21,Ma,Norfolk,17,25,460
33,5,25,9,Ma,Essex,16,32,404
33,5,9,3,Ct,Hartford,15,25,423
33,5,45,45,SC,Greenville,14,37,239
33,5,9,1,Ct,Fairfield,14,25,653
33,5,36,61,NY,"New York",12,14,351
33,5,57,1,FR,"Foreign / Overseas",12,27,568
33,5,4,13,Az,Maricopa,11,12,128
33,5,9,9,Ct,"New Haven",11,12,150
33,5,33,1,NH,Belknap,11,21,361
33,5,57,5,FR,"APO / FPO Zip Code",10,14,127
33,5,23,31,Me,York,10,17,200
33,5,63,30,XX,"Suppress All Flows",733,1314,17183
33,5,63,50,NH,"County Non-Migrant",24819,54775,846015
33,7,0,1,NH,"Coos (Total Migrant)",689,1156,14414
33,7,33,9,NH,Grafton,83,135,2047
33,7,33,11,NH,Hillsborough,55,95,1182
33,7,33,13,NH,Merrimack,40,75,856
33,7,50,9,Vt,Essex,37,78,820
33,7,33,3,NH,Carroll,30,46,468
33,7,33,17,NH,Strafford,26,34,439
33,7,33,15,NH,Rockingham,21,34,511
33,7,33,1,NH,Belknap,14,23,307
33,7,25,17,Ma,Middlesex,13,20,374
33,7,25,9,Ma,Essex,11,23,192
33,7,25,27,Ma,Worcester,10,12,167
33,7,23,17,Me,Oxford,10,19,325
33,7,57,5,FR,"APO / FPO Zip Code",10,11,107
33,7,63,10,XX,"Same State",17,37,426
33,7,63,11,XX,"Region 1: Northeast",129,222,2852
33,7,63,12,XX,"Region 2: Midwest",20,33,406
33,7,63,13,XX,"Region 3: South",116,189,2087
33,7,63,14,XX,"Region 4: West",47,70,848
33,7,63,50,NH,"County Non-Migrant",12273,27303,336849
33,9,0,1,NH,"Grafton (Total Migrant)",2410,3981,61838
33,9,50,27,Vt,Windsor,187,330,5107
33,9,33,13,NH,Merrimack,124,209,2968
33,9,33,1,NH,Belknap,119,224,2476
33,9,33,19,NH,Sullivan,110,190,3454
33,9,33,11,NH,Hillsborough,92,154,2060
33,9,25,17,Ma,Middlesex,92,131,2350
33,9,50,17,Vt,Orange,74,125,1843
33,9,33,7,NH,Coos,63,126,1294
33,9,33,15,NH,Rockingham,62,101,1265
33,9,25,25,Ma,Suffolk,52,58,2248
