"1993 - 1994 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Texas,,,,,,of,of,total
State,County,State,County,State,"State totals, county totals,",returns,exemptions,money
"FIPS Code",,,,,"and county by county detail",,,income
48,1,0,1,Tx,"Anderson (Total Migrant)",962,2178,22278
48,1,48,423,Tx,Smith,101,203,1829
48,1,48,113,Tx,Dallas,68,134,1342
48,1,48,213,Tx,Henderson,66,180,1408
48,1,48,201,Tx,Harris,65,147,1979
48,1,48,73,Tx,Cherokee,36,94,694
48,1,48,439,Tx,Tarrant,30,58,507
48,1,48,225,Tx,Houston,29,83,636
48,1,48,289,Tx,Leon,20,49,361
48,1,48,27,Tx,Bell,16,31,539
48,1,48,41,Tx,Brazos,13,27,375
48,1,48,183,Tx,Gregg,12,30,306
48,1,48,5,Tx,Angelina,12,34,286
48,1,48,245,Tx,Jefferson,11,19,229
48,1,48,471,Tx,Walker,11,25,273
48,1,48,339,Tx,Montgomery,10,21,321
48,1,48,453,Tx,Travis,10,18,207
48,1,48,161,Tx,Freestone,10,25,268
48,1,48,29,Tx,Bexar,10,25,247
48,1,48,309,Tx,McLennan,10,30,265
48,1,63,10,XX,"Same State",229,523,5523
48,1,63,11,XX,"Region 1: Northeast",20,33,409
48,1,63,12,XX,"Region 2: Midwest",28,78,752
48,1,63,13,XX,"Region 3: South",94,200,2660
48,1,63,14,XX,"Region 4: West",51,111,862
48,1,63,50,Tx,"County Non-Migrant",11758,28930,322169
48,3,0,1,Tx,"Andrews (Total Migrant)",338,841,8276
48,3,48,135,Tx,Ector,52,125,1172
48,3,48,329,Tx,Midland,31,71,905
48,3,48,113,Tx,Dallas,12,28,192
48,3,35,25,NM,Lea,12,32,289
48,3,63,20,XX,"Same State",172,439,4605
48,3,63,21,XX,"Same Region, Diff. State",10,29,146
48,3,63,22,XX,"Different Region",49,117,967
48,3,63,50,Tx,"County Non-Migrant",4126,11350,133292
48,5,0,1,Tx,"Angelina (Total Migrant)",1474,3217,31332
48,5,48,201,Tx,Harris,140,300,3525
48,5,48,347,Tx,Nacogdoches,135,305,2377
48,5,48,113,Tx,Dallas,72,111,1116
48,5,48,373,Tx,Polk,53,136,908
48,5,48,423,Tx,Smith,42,100,978
48,5,48,73,Tx,Cherokee,37,82,584
48,5,48,439,Tx,Tarrant,37,66,766
48,5,48,455,Tx,Trinity,35,80,596
48,5,48,453,Tx,Travis,33,59,1022
48,5,48,339,Tx,Montgomery,26,61,615
48,5,48,245,Tx,Jefferson,25,50,545
48,5,48,405,Tx,"San Augustine",24,52,435
48,5,48,167,Tx,Galveston,21,36,508
48,5,48,183,Tx,Gregg,21,45,895
48,5,48,29,Tx,Bexar,20,61,301
48,5,57,5,FR,"APO / FPO Zip Code",19,24,178
48,5,48,419,Tx,Shelby,18,41,345
48,5,48,39,Tx,Brazoria,18,42,491
48,5,48,403,Tx,Sabine,17,44,283
48,5,48,41,Tx,Brazos,16,29,267
48,5,48,291,Tx,Liberty,15,33,382
48,5,48,225,Tx,Houston,15,41,268
48,5,48,309,Tx,McLennan,15,28,313
48,5,48,1,Tx,Anderson,14,30,479
48,5,48,241,Tx,Jasper,14,32,258
48,5,48,361,Tx,Orange,11,24,114
48,5,48,157,Tx,"Fort Bend",11,25,168
48,5,48,457,Tx,Tyler,10,31,170
48,5,48,199,Tx,Hardin,10,21,208
48,5,48,215,Tx,Hidalgo,10,31,169
