"1994-1995 County To County Migration Inflows",,,,,,Connecticut,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate
Connecticut,,,,,,of,of,Total
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Money
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
09,001,00,001,Ct,Fairfield,15246,27834,1076179
09,001,09,009,Ct,"New Haven",2027,3552,81479
09,001,36,119,NY,Westchester,1558,2985,126085
09,001,36,061,NY,"New York",1266,2294,171072
09,001,09,005,Ct,Litchfield,462,798,16233
09,001,09,003,Ct,Hartford,442,692,25496
09,001,57,001,FR,"Foreign / Overseas",420,775,39510
09,001,36,081,NY,Queens,321,627,18060
09,001,06,037,Ca,"Los Angeles",283,570,28772
09,001,36,047,NY,Kings,283,576,23193
09,001,36,059,NY,Nassau,264,549,21395
09,001,36,005,NY,Bronx,254,565,12569
09,001,36,079,NY,Putnam,205,359,9091
09,001,36,103,NY,Suffolk,202,356,22590
09,001,25,017,Ma,Middlesex,198,337,12814
09,001,34,003,NJ,Bergen,171,337,18526
09,001,17,031,Il,Cook,157,306,15776
09,001,25,025,Ma,Suffolk,128,161,6344
09,001,12,099,Fl,"Palm Beach",119,202,12260
09,001,36,027,NY,Dutchess,107,188,4770
09,001,09,007,Ct,Middlesex,107,157,4820
09,001,34,017,NJ,Hudson,98,156,9166
09,001,25,021,Ma,Norfolk,92,165,6546
09,001,36,087,NY,Rockland,91,166,5735
09,001,12,011,Fl,Broward,84,143,3262
09,001,12,025,Fl,Dade,79,142,5123
09,001,34,027,NJ,Morris,79,150,7883
09,001,09,011,Ct,"New London",79,115,2929
09,001,34,013,NJ,Essex,77,171,10053
09,001,48,201,Tx,Harris,75,168,6552
09,001,06,059,Ca,Orange,73,166,5849
09,001,11,001,DC,"Wash.,D.C.",71,103,3494
09,001,09,013,Ct,Tolland,69,93,1757
09,001,24,031,Md,Montgomery,68,132,4225
09,001,06,075,Ca,"San Francisco",68,92,4862
09,001,42,003,Pa,Allegheny,66,116,4285
09,001,06,073,Ca,"San Diego",66,132,5352
09,001,51,059,Va,Fairfax,63,131,4683
09,001,13,121,Ga,Fulton,62,105,5042
09,001,44,007,RI,Providence,61,89,2701
09,001,34,023,NJ,Middlesex,58,111,4043
09,001,36,055,NY,Monroe,54,92,3923
09,001,34,025,NJ,Monmouth,54,103,3582
09,001,25,027,Ma,Worcester,53,96,3008
09,001,04,013,Az,Maricopa,52,90,2737
09,001,36,071,NY,Orange,51,103,2824
09,001,42,101,Pa,Philadelphia,51,78,1975
09,001,48,113,Tx,Dallas,51,94,6224
09,001,25,009,Ma,Essex,51,101,4040
09,001,34,039,NJ,Union,50,103,6633
09,001,34,035,NJ,Somerset,50,106,4672
09,001,42,091,Pa,Montgomery,47,75,2671
09,001,36,029,NY,Erie,46,64,1840
09,001,57,005,FR,"APO / FPO Zip Code",44,73,972
09,001,34,031,NJ,Passaic,44,82,2428
09,001,06,085,Ca,"Santa Clara",42,91,4579
09,001,12,095,Fl,Orange,42,70,1333
09,001,34,021,NJ,Mercer,40,76,2584
09,001,12,103,Fl,Pinellas,39,61,1397
09,001,12,057,Fl,Hillsborough,38,67,1788
09,001,25,013,Ma,Hampden,36,59,1167
09,001,06,081,Ca,"San Mateo",36,76,4303
09,001,17,043,Il,"Du Page",35,95,3755
09,001,08,013,Co,Boulder,35,54,1364
09,001,36,091,NY,Saratoga,34,58,1996
09,001,26,125,Mi,Oakland,34,64,2700
09,001,51,013,Va,Arlington,34,48,1706
09,001,06,013,Ca,"Contra Costa",34,82,4014
09,001,36,111,NY,Ulster,34,59,2086
09,001,17,097,Il,Lake,33,93,6040
09,001,06,001,Ca,Alameda,33,65,1833
09,001,36,001,NY,Albany,32,38,1256
09,001,25,001,Ma,Barnstable,32,46,1198
09,001,33,011,NH,Hillsborough,32,58,1923
09,001,39,049,Oh,Franklin,31,68,4253
09,001,39,061,Oh,Hamilton,31,55,2197
09,001,36,085,NY,Richmond,31,65,1960
09,001,13,089,Ga,"De Kalb",31,55,1663
09,001,24,510,Md,"Baltimore city",31,54,1914
09,001,27,053,Mn,Hennepin,30,72,2852
09,001,24,005,Md,Baltimore,30,57,2778
09,001,37,119,NC,Mecklenburg,29,56,1807
09,001,36,067,NY,Onondaga,29,56,2044
09,001,53,033,Wa,King,29,43,1648
09,001,50,007,Vt,Chittenden,28,49,1279
09,001,20,091,Ks,Johnson,28,74,2958
09,001,42,017,Pa,Bucks,28,69,2481
09,001,37,183,NC,Wake,28,53,1595
09,001,33,009,NH,Grafton,27,46,874
09,001,23,005,Me,Cumberland,27,36,657
09,001,24,003,Md,"Anne Arundel",26,39,1161
09,001,42,045,Pa,Delaware,26,45,2987
09,001,12,127,Fl,Volusia,25,44,499
09,001,48,453,Tx,Travis,24,45,2023
09,001,39,035,Oh,Cuyahoga,24,49,1200
09,001,29,189,Mo,"St. Louis",24,51,2593
09,001,12,009,Fl,Brevard,24,38,563
09,001,48,439,Tx,Tarrant,24,57,2499
09,001,10,003,De,"New Castle",24,48,1893
09,001,06,071,Ca,"San Bernardino",23,48,1330
09,001,25,023,Ma,Plymouth,23,56,2218
09,001,42,029,Pa,Chester,22,47,1891
09,001,25,015,Ma,Hampshire,22,30,702
09,001,36,007,NY,Broome,21,32,720
09,001,44,005,RI,Newport,21,31,590
09,001,42,011,Pa,Berks,21,39,4378
09,001,08,031,Co,Denver,20,35,2216
09,001,12,031,Fl,Duval,20,36,708
09,001,44,009,RI,Washington,20,27,614
09,001,13,067,Ga,Cobb,20,42,1338
09,001,47,157,Tn,Shelby,20,37,1499
09,001,12,115,Fl,Sarasota,20,32,614
09,001,34,029,NJ,Ocean,20,26,490
09,001,48,085,Tx,Collin,19,63,9522
09,001,04,019,Az,Pima,19,29,385
09,001,36,109,NY,Tompkins,19,28,1030
09,001,09,015,Ct,Windham,19,32,649
09,001,36,083,NY,Rensselaer,18,33,711
09,001,44,003,RI,Kent,18,34,1599
09,001,51,810,Va,"Virginia Beach city",18,30,427
09,001,32,003,Nv,Clark,18,28,2052
09,001,26,163,Mi,Wayne,18,42,2001
09,001,25,003,Ma,Berkshire,18,28,1266
09,001,39,153,Oh,Summit,18,46,1630
09,001,36,093,NY,Schenectady,17,30,1319
09,001,33,015,NH,Rockingham,17,38,778
09,001,12,117,Fl,Seminole,16,38,1437
09,001,15,003,Hi,Honolulu,16,33,410
09,001,26,161,Mi,Washtenaw,16,42,1249
09,001,12,071,Fl,Lee,16,34,512
09,001,37,063,NC,Durham,16,37,719
09,001,08,005,Co,Arapahoe,15,24,2327
09,001,25,005,Ma,Bristol,15,23,616
09,001,40,143,Ok,Tulsa,15,32,1348
09,001,51,041,Va,Chesterfield,15,31,1042
09,001,49,035,Ut,"Salt Lake",14,26,464
09,001,12,085,Fl,Martin,14,18,762
09,001,51,510,Va,"Alexandria city",14,22,572
09,001,06,041,Ca,Marin,13,27,1414
09,001,23,019,Me,Penobscot,13,16,292
09,001,51,760,Va,"Richmond city",13,25,730
09,001,50,021,Vt,Rutland,13,15,271
09,001,41,051,Or,Multnomah,13,20,335
09,001,33,013,NH,Merrimack,13,21,345
09,001,34,005,NJ,Burlington,13,26,1309
09,001,55,025,Wi,Dane,13,18,505
09,001,13,135,Ga,Gwinnett,13,31,1515
09,001,42,071,Pa,Lancaster,12,19,850
09,001,21,111,Ky,Jefferson,12,24,1155
09,001,24,027,Md,Howard,12,26,893
09,001,24,033,Md,"Prince George's",12,22,576
09,001,47,037,Tn,Davidson,12,21,831
09,001,48,029,Tx,Bexar,12,22,269
09,001,06,065,Ca,Riverside,11,27,651
09,001,37,133,NC,Onslow,11,16,205
09,001,42,069,Pa,Lackawanna,11,15,438
09,001,35,001,NM,Bernalillo,10,13,268
09,001,08,059,Co,Jefferson,10,19,949
09,001,12,021,Fl,Collier,10,17,330
09,001,50,027,Vt,Windsor,10,14,289
09,001,45,051,SC,Horry,10,13,104
09,001,42,083,Pa,McKean,10,28,971
09,001,51,087,Va,Henrico,10,27,853
09,001,36,065,NY,Oneida,10,14,272
09,001,18,097,In,Marion,10,19,721
09,001,22,071,La,Orleans,10,13,386
09,001,37,051,NC,Cumberland,10,23,168
09,001,24,013,Md,Carroll,10,21,936
09,001,34,007,NJ,Camden,10,16,293
09,001,63,011,XX,"Region 1: Northeast",368,591,16884
09,001,63,012,XX,"Region 2: Midwest",369,687,27775
09,001,63,013,XX,"Region 3: South",684,1269,30290
09,001,63,014,XX,"Region 4: West",247,444,10645
09,001,63,050,Ct,"County Non-Migrant",298053,628617,19245736
09,003,00,001,Ct,Hartford,12581,21439,479664
09,003,09,013,Ct,Tolland,1565,2633,49498
09,003,09,009,Ct,"New Haven",1470,2462,50381
09,003,09,007,Ct,Middlesex,1082,1727,41675
09,003,09,005,Ct,Litchfield,711,1189,24940
09,003,25,013,Ma,Hampden,603,1011,19148
09,003,09,001,Ct,Fairfield,398,637,20454
09,003,09,011,Ct,"New London",359,568,10874
09,003,57,001,FR,"Foreign / Overseas",223,349,8555
09,003,09,015,Ct,Windham,206,318,5678
09,003,25,017,Ma,Middlesex,200,310,9705
09,003,44,007,RI,Providence,146,201,5877
09,003,36,061,NY,"New York",134,187,5372
09,003,25,027,Ma,Worcester,122,199,5278
09,003,25,025,Ma,Suffolk,114,166,3416
09,003,25,021,Ma,Norfolk,114,172,5826
09,003,06,037,Ca,"Los Angeles",88,144,4019
09,003,36,103,NY,Suffolk,85,149,3570
09,003,25,015,Ma,Hampshire,81,126,3361
09,003,36,047,NY,Kings,77,154,2185
09,003,12,099,Fl,"Palm Beach",74,120,3252
09,003,06,073,Ca,"San Diego",64,127,2388
09,003,36,119,NY,Westchester,62,112,4157
09,003,17,031,Il,Cook,62,98,6817
09,003,12,011,Fl,Broward,60,86,1485
09,003,36,059,NY,Nassau,58,109,2282
09,003,36,005,NY,Bronx,57,120,1389
09,003,25,009,Ma,Essex,56,99,2062
09,003,36,081,NY,Queens,54,99,1314
09,003,11,001,DC,"Wash.,D.C.",50,76,2225
09,003,51,059,Va,Fairfax,49,94,3583
09,003,57,005,FR,"APO / FPO Zip Code",48,79,861
09,003,25,005,Ma,Bristol,48,95,2049
09,003,12,025,Fl,Dade,47,80,2063
09,003,34,023,NJ,Middlesex,47,85,2112
09,003,34,003,NJ,Bergen,45,75,2832
09,003,06,059,Ca,Orange,45,85,2256
09,003,42,003,Pa,Allegheny,45,98,2273
09,003,36,055,NY,Monroe,44,92,2588
09,003,33,011,NH,Hillsborough,43,66,1692
09,003,04,013,Az,Maricopa,42,74,1719
09,003,24,031,Md,Montgomery,40,65,2761
09,003,25,023,Ma,Plymouth,39,67,1273
09,003,12,103,Fl,Pinellas,37,57,876
09,003,12,057,Fl,Hillsborough,36,70,1456
09,003,36,001,NY,Albany,35,61,1833
09,003,42,091,Pa,Montgomery,35,69,2813
09,003,36,067,NY,Onondaga,35,59,1658
09,003,48,113,Tx,Dallas,34,75,2226
09,003,12,095,Fl,Orange,33,63,769
09,003,36,027,NY,Dutchess,33,65,1187
09,003,44,009,RI,Washington,32,49,1008
09,003,48,201,Tx,Harris,31,60,1566
09,003,25,003,Ma,Berkshire,31,51,946
09,003,23,005,Me,Cumberland,31,52,992
09,003,34,013,NJ,Essex,31,44,1062
09,003,25,001,Ma,Barnstable,31,43,864
09,003,42,101,Pa,Philadelphia,31,44,2085
09,003,39,035,Oh,Cuyahoga,29,50,1902
09,003,44,003,RI,Kent,29,53,1177
09,003,34,027,NJ,Morris,29,55,1313
09,003,50,007,Vt,Chittenden,29,45,845
09,003,36,029,NY,Erie,28,42,891
09,003,34,017,NJ,Hudson,27,35,1284
09,003,42,017,Pa,Bucks,26,64,2054
09,003,36,091,NY,Saratoga,26,49,810
09,003,51,013,Va,Arlington,26,32,1000
09,003,15,003,Hi,Honolulu,26,44,771
09,003,25,011,Ma,Franklin,26,33,591
09,003,34,025,NJ,Monmouth,25,53,1313
09,003,39,049,Oh,Franklin,24,32,1191
09,003,33,015,NH,Rockingham,24,45,1000
09,003,39,061,Oh,Hamilton,24,51,2015
09,003,53,033,Wa,King,24,37,1986
09,003,12,127,Fl,Volusia,23,34,365
09,003,33,009,NH,Grafton,22,35,542
09,003,32,003,Nv,Clark,22,35,530
09,003,13,121,Ga,Fulton,21,45,826
09,003,23,031,Me,York,21,38,643
09,003,27,053,Mn,Hennepin,21,33,1866
09,003,12,021,Fl,Collier,20,35,664
09,003,34,021,NJ,Mercer,20,32,1416
09,003,34,039,NJ,Union,20,43,718
09,003,06,085,Ca,"Santa Clara",20,34,1069
09,003,12,117,Fl,Seminole,20,37,793
09,003,06,001,Ca,Alameda,20,35,601
09,003,12,071,Fl,Lee,20,38,363
09,003,12,009,Fl,Brevard,20,46,232
09,003,17,043,Il,"Du Page",20,42,1877
09,003,23,003,Me,Aroostook,20,30,358
09,003,42,029,Pa,Chester,19,41,1389
09,003,06,075,Ca,"San Francisco",19,21,526
09,003,36,071,NY,Orange,19,35,554
09,003,06,013,Ca,"Contra Costa",18,51,2541
09,003,06,067,Ca,Sacramento,17,30,615
09,003,13,067,Ga,Cobb,17,30,778
09,003,37,133,NC,Onslow,17,27,313
09,003,10,003,De,"New Castle",17,41,909
09,003,26,125,Mi,Oakland,17,38,1146
09,003,50,025,Vt,Windham,17,23,579
09,003,36,111,NY,Ulster,17,30,731
09,003,48,439,Tx,Tarrant,16,33,1046
09,003,24,510,Md,"Baltimore city",16,22,465
09,003,12,085,Fl,Martin,16,21,363
09,003,34,031,NJ,Passaic,16,40,430
09,003,13,089,Ga,"De Kalb",15,27,237
09,003,34,007,NJ,Camden,15,25,574
09,003,12,115,Fl,Sarasota,15,19,279
09,003,23,019,Me,Penobscot,15,22,365
09,003,33,005,NH,Cheshire,15,31,539
09,003,26,163,Mi,Wayne,14,18,1318
09,003,37,119,NC,Mecklenburg,14,22,460
09,003,44,005,RI,Newport,14,24,475
09,003,36,065,NY,Oneida,14,38,542
09,003,06,065,Ca,Riverside,14,26,643
09,003,34,005,NJ,Burlington,14,30,853
09,003,06,071,Ca,"San Bernardino",13,25,399
09,003,12,031,Fl,Duval,13,32,654
09,003,42,045,Pa,Delaware,13,21,1078
09,003,33,017,NH,Strafford,13,24,496
09,003,51,810,Va,"Virginia Beach city",13,23,523
09,003,36,087,NY,Rockland,13,20,477
09,003,37,051,NC,Cumberland,13,43,317
09,003,24,005,Md,Baltimore,13,24,720
09,003,26,161,Mi,Washtenaw,13,26,579
09,003,34,035,NJ,Somerset,12,22,669
09,003,48,029,Tx,Bexar,12,34,673
09,003,34,029,NJ,Ocean,12,23,582
09,003,29,189,Mo,"St. Louis",12,29,938
09,003,17,097,Il,Lake,12,30,1030
09,003,33,013,NH,Merrimack,12,22,286
09,003,42,011,Pa,Berks,12,23,426
09,003,24,033,Md,"Prince George's",12,15,397
09,003,12,015,Fl,Charlotte,12,18,187
