"1994-1995 County To County Migration Inflows",,,,,,"Rhode Island",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate
"Rhode Island",,,,,,of,of,Total
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Money
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
44,001,00,001,RI,Bristol,1145,2157,44527
44,001,44,007,RI,Providence,402,756,14484
44,001,25,005,Ma,Bristol,119,211,4635
44,001,44,005,RI,Newport,97,167,3481
44,001,44,003,RI,Kent,44,81,1271
44,001,44,009,RI,Washington,26,43,708
44,001,25,017,Ma,Middlesex,20,48,1025
44,001,12,011,Fl,Broward,13,28,432
44,001,25,025,Ma,Suffolk,13,17,393
44,001,25,021,Ma,Norfolk,12,26,702
44,001,09,009,Ct,"New Haven",11,18,270
44,001,09,001,Ct,Fairfield,11,24,820
44,001,25,001,Ma,Barnstable,11,23,262
44,001,09,003,Ct,Hartford,11,25,410
44,001,63,011,XX,"Region 1: Northeast",178,338,8202
44,001,63,012,XX,"Region 2: Midwest",29,72,1733
44,001,63,013,XX,"Region 3: South",102,203,3593
44,001,63,014,XX,"Region 4: West",46,77,2106
44,001,63,050,RI,"County Non-Migrant",16995,37719,807230
44,003,00,001,RI,Kent,3778,6606,124107
44,003,44,007,RI,Providence,1996,3511,60237
44,003,44,009,RI,Washington,465,784,13440
44,003,25,005,Ma,Bristol,102,164,3024
44,003,44,001,RI,Bristol,59,99,1832
44,003,44,005,RI,Newport,56,91,1309
44,003,25,017,Ma,Middlesex,43,70,1703
44,003,09,003,Ct,Hartford,32,64,2158
44,003,25,021,Ma,Norfolk,28,38,1118
44,003,25,027,Ma,Worcester,26,40,994
44,003,57,001,FR,"Foreign / Overseas",23,42,852
44,003,25,009,Ma,Essex,22,38,923
44,003,12,011,Fl,Broward,20,32,311
44,003,09,011,Ct,"New London",20,33,523
44,003,09,009,Ct,"New Haven",19,33,567
44,003,33,011,NH,Hillsborough,17,25,450
44,003,25,025,Ma,Suffolk,15,19,712
44,003,04,013,Az,Maricopa,15,31,265
44,003,09,015,Ct,Windham,14,27,302
44,003,12,103,Fl,Pinellas,14,22,232
44,003,25,023,Ma,Plymouth,13,27,515
44,003,06,037,Ca,"Los Angeles",13,23,428
44,003,25,013,Ma,Hampden,12,20,833
44,003,09,013,Ct,Tolland,12,21,417
44,003,06,073,Ca,"San Diego",12,24,1384
44,003,09,001,Ct,Fairfield,11,23,603
44,003,36,119,NY,Westchester,10,16,443
44,003,12,127,Fl,Volusia,10,17,166
44,003,36,103,NY,Suffolk,10,19,398
44,003,25,001,Ma,Barnstable,10,15,180
44,003,63,011,XX,"Region 1: Northeast",263,455,10785
44,003,63,012,XX,"Region 2: Midwest",68,127,4190
44,003,63,013,XX,"Region 3: South",265,504,9384
44,003,63,014,XX,"Region 4: West",83,152,3429
44,003,63,050,RI,"County Non-Migrant",59956,128007,2369239
44,005,00,001,RI,Newport,2947,6197,106417
44,005,25,005,Ma,Bristol,265,506,8061
44,005,44,007,RI,Providence,219,362,9918
44,005,57,005,FR,"APO / FPO Zip Code",192,481,6807
44,005,44,001,RI,Bristol,128,252,4805
44,005,44,009,RI,Washington,109,185,3541
44,005,06,073,Ca,"San Diego",103,275,4064
44,005,44,003,RI,Kent,77,122,3015
44,005,51,810,Va,"Virginia Beach city",71,217,2739
44,005,06,053,Ca,Monterey,63,188,2602
44,005,57,001,FR,"Foreign / Overseas",51,114,2001
44,005,25,017,Ma,Middlesex,45,69,1453
44,005,51,059,Va,Fairfax,36,110,1999
44,005,09,001,Ct,Fairfield,36,46,1339
44,005,51,710,Va,"Norfolk city",34,92,1347
44,005,24,003,Md,"Anne Arundel",31,62,1291
44,005,25,025,Ma,Suffolk,29,42,1309
44,005,15,003,Hi,Honolulu,29,76,1168
44,005,09,011,Ct,"New London",28,54,1242
44,005,06,037,Ca,"Los Angeles",26,56,681
44,005,12,031,Fl,Duval,25,65,786
44,005,25,021,Ma,Norfolk,23,38,1238
44,005,25,023,Ma,Plymouth,23,38,609
44,005,36,061,NY,"New York",22,27,703
44,005,37,133,NC,Onslow,20,58,626
44,005,12,095,Fl,Orange,20,37,468
44,005,06,059,Ca,Orange,19,38,620
44,005,25,027,Ma,Worcester,19,30,819
44,005,12,019,Fl,Clay,19,71,908
44,005,24,031,Md,Montgomery,17,30,531
44,005,09,003,Ct,Hartford,17,23,513
44,005,12,099,Fl,"Palm Beach",16,32,520
44,005,09,009,Ct,"New Haven",16,26,483
44,005,45,019,SC,Charleston,16,52,505
44,005,45,015,SC,Berkeley,15,66,525
44,005,36,119,NY,Westchester,14,21,416
44,005,51,740,Va,"Portsmouth city",13,26,287
44,005,25,009,Ma,Essex,13,23,527
44,005,53,035,Wa,Kitsap,13,34,667
44,005,12,011,Fl,Broward,12,16,614
44,005,25,001,Ma,Barnstable,12,26,416
44,005,12,103,Fl,Pinellas,12,22,277
44,005,12,033,Fl,Escambia,11,27,319
44,005,33,011,NH,Hillsborough,11,16,356
44,005,51,700,Va,"Newport News city",11,16,319
44,005,63,011,XX,"Region 1: Northeast",321,553,10196
44,005,63,012,XX,"Region 2: Midwest",102,178,3059
44,005,63,013,XX,"Region 3: South",371,875,12911
44,005,63,014,XX,"Region 4: West",172,424,6817
44,005,63,050,RI,"County Non-Migrant",28929,59832,1107401
44,007,00,001,RI,Providence,7751,12623,218873
44,007,44,003,RI,Kent,1631,2775,46795
44,007,25,005,Ma,Bristol,725,1200,20083
44,007,44,009,RI,Washington,398,592,10996
44,007,44,001,RI,Bristol,374,622,11616
44,007,57,001,FR,"Foreign / Overseas",260,303,2809
44,007,25,027,Ma,Worcester,254,448,5891
44,007,25,021,Ma,Norfolk,240,390,9880
44,007,25,017,Ma,Middlesex,216,345,7769
44,007,44,005,RI,Newport,142,213,5514
44,007,25,025,Ma,Suffolk,140,202,4119
44,007,36,061,NY,"New York",96,157,2762
44,007,09,003,Ct,Hartford,89,120,4012
44,007,06,037,Ca,"Los Angeles",78,154,1991
44,007,09,009,Ct,"New Haven",74,109,2239
44,007,25,023,Ma,Plymouth,69,109,1686
44,007,12,011,Fl,Broward,63,89,1152
44,007,25,009,Ma,Essex,52,79,1382
44,007,09,001,Ct,Fairfield,52,80,3666
44,007,06,073,Ca,"San Diego",49,81,984
44,007,36,081,NY,Queens,49,96,1102
44,007,12,025,Fl,Dade,48,74,599
44,007,09,015,Ct,Windham,46,79,1230
44,007,12,099,Fl,"Palm Beach",45,67,976
44,007,36,103,NY,Suffolk,39,63,1474
44,007,09,011,Ct,"New London",39,65,1792
44,007,36,047,NY,Kings,39,74,665
44,007,25,001,Ma,Barnstable,38,52,835
44,007,33,011,NH,Hillsborough,35,62,1209
