"1994-1995 County To County Migration Outflows",,,,,,Alaska,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration From",,"Migration Into",,,,Number,Number,Aggregate
Alaska,,,,,,of,of,Total
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Money
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
02,013,00,001,Ak,"Aleutians East Borough",108,225,3475
02,013,02,020,Ak,"Anchorage Borough",20,36,445
02,013,53,033,Wa,King,10,21,338
02,013,63,020,XX,"Same State",10,22,471
02,013,63,021,XX,"Same Region, Diff. State",53,108,1679
02,013,63,022,XX,"Different Region",15,38,542
02,013,63,050,Ak,"County Non-Migrant",489,1070,14441
02,016,00,001,Ak,"Aleutians West",1186,2404,34439
02,016,57,005,FR,"APO / FPO Zip Code",145,200,2444
02,016,02,020,Ak,"Anchorage Borough",58,113,2399
02,016,06,073,Ca,"San Diego",58,131,1506
02,016,53,033,Wa,King,40,65,1227
02,016,15,003,Hi,Honolulu,34,77,1010
02,016,53,035,Wa,Kitsap,29,88,994
02,016,57,001,FR,"Foreign / Overseas",25,45,586
02,016,06,111,Ca,Ventura,23,61,569
02,016,02,170,Ak,"Matanuska-Susitna Boroug",15,34,742
02,016,08,041,Co,"El Paso",13,20,344
02,016,53,061,Wa,Snohomish,13,34,479
02,016,06,037,Ca,"Los Angeles",12,19,388
02,016,12,033,Fl,Escambia,12,33,397
02,016,53,053,Wa,Pierce,12,22,264
02,016,12,091,Fl,Okaloosa,11,22,218
02,016,02,090,Ak,"Fairbanks North Star Bor",11,23,618
02,016,28,047,Ms,Harrison,11,23,257
02,016,02,122,Ak,"Kenai Peninsula Borough",10,27,535
02,016,63,010,XX,"Same State",37,81,1599
02,016,63,011,XX,"Region 1: Northeast",64,130,1933
02,016,63,012,XX,"Region 2: Midwest",91,188,2423
02,016,63,013,XX,"Region 3: South",221,466,6300
02,016,63,014,XX,"Region 4: West",241,502,7207
02,016,63,050,Ak,"County Non-Migrant",1153,2486,48263
02,020,00,001,Ak,"Anchorage Borough",9490,20542,339215
02,020,02,170,Ak,"Matanuska-Susitna Boroug",686,1508,24655
02,020,53,033,Wa,King,354,600,12710
02,020,02,122,Ak,"Kenai Peninsula Borough",347,678,12181
02,020,02,090,Ak,"Fairbanks North Star Bor",285,615,8543
02,020,04,013,Az,Maricopa,211,426,7555
02,020,53,053,Wa,Pierce,145,344,4147
02,020,32,003,Nv,Clark,127,257,4426
02,020,57,001,FR,"Foreign / Overseas",116,252,5329
02,020,08,041,Co,"El Paso",112,293,3924
02,020,37,051,NC,Cumberland,105,294,2579
02,020,02,261,Ak,Valdez-Cordova,100,206,4106
02,020,02,110,Ak,"Juneau Borough",97,176,3986
02,020,06,037,Ca,"Los Angeles",85,177,2955
02,020,41,051,Or,Multnomah,81,129,2386
02,020,57,005,FR,"APO / FPO Zip Code",80,202,2463
02,020,48,029,Tx,Bexar,79,216,2672
02,020,48,201,Tx,Harris,78,195,7298
02,020,48,027,Tx,Bell,69,190,1705
02,020,53,061,Wa,Snohomish,64,133,2360
02,020,15,003,Hi,Honolulu,64,160,3116
02,020,53,063,Wa,Spokane,63,136,2223
02,020,41,067,Or,Washington,62,113,1983
02,020,06,073,Ca,"San Diego",53,88,1294
02,020,41,039,Or,Lane,52,96,1439
02,020,02,185,Ak,"North Slope Borough",50,99,2135
02,020,12,091,Fl,Okaloosa,50,123,1568
02,020,02,050,Ak,Bethel,46,90,1460
02,020,53,011,Wa,Clark,46,96,1946
02,020,08,005,Co,Arapahoe,45,98,2330
02,020,02,150,Ak,"Kodiak Island Borough",44,74,1086
02,020,53,067,Wa,Thurston,43,90,1388
02,020,49,035,Ut,"Salt Lake",42,96,1215
02,020,35,001,NM,Bernalillo,41,93,1768
02,020,48,113,Tx,Dallas,41,73,2314
02,020,02,180,Ak,Nome,41,78,971
02,020,04,003,Az,Cochise,41,118,1042
02,020,53,073,Wa,Whatcom,40,86,3742
02,020,04,019,Az,Pima,40,77,1220
02,020,02,240,Ak,"Southeast Fairbanks",40,84,850
02,020,13,245,Ga,Richmond,39,107,879
02,020,17,031,Il,Cook,39,71,1418
02,020,06,059,Ca,Orange,39,70,1371
02,020,16,001,Id,Ada,38,83,1648
02,020,53,035,Wa,Kitsap,38,73,2631
02,020,40,031,Ok,Comanche,37,106,884
02,020,37,191,NC,Wayne,37,100,1071
02,020,02,188,Ak,"Northwest Arctic",37,60,1035
02,020,51,059,Va,Fairfax,36,98,1718
02,020,06,071,Ca,"San Bernardino",35,69,851
02,020,47,125,Tn,Montgomery,34,109,810
02,020,48,085,Tx,Collin,34,103,3733
02,020,06,075,Ca,"San Francisco",33,42,648
02,020,13,179,Ga,Liberty,33,87,730
02,020,06,085,Ca,"Santa Clara",32,57,987
02,020,06,001,Ca,Alameda,32,50,1199
02,020,02,070,Ak,Dillingham,31,62,951
02,020,32,031,Nv,Washoe,30,44,965
02,020,41,029,Or,Jackson,29,53,791
02,020,13,215,Ga,Muscogee,29,76,787
02,020,06,095,Ca,Solano,29,55,896
02,020,06,029,Ca,Kern,29,74,1642
02,020,08,031,Co,Denver,28,38,1255
02,020,41,047,Or,Marion,28,59,638
02,020,06,067,Ca,Sacramento,28,47,783
02,020,41,005,Or,Clackamas,28,49,934
02,020,27,053,Mn,Hennepin,27,48,838
02,020,40,109,Ok,Oklahoma,27,74,1346
02,020,48,439,Tx,Tarrant,26,68,3076
02,020,35,035,NM,Otero,26,67,529
02,020,02,060,Ak,"Bristol Bay Borough",24,39,658
02,020,08,069,Co,Larimer,24,35,569
02,020,12,103,Fl,Pinellas,24,42,610
02,020,24,003,Md,"Anne Arundel",24,76,657
02,020,12,005,Fl,Bay,23,67,642
02,020,06,065,Ca,Riverside,23,45,872
02,020,21,047,Ky,Christian,22,60,441
02,020,22,115,La,Vernon,22,77,646
02,020,48,141,Tx,"El Paso",22,57,613
02,020,36,045,NY,Jefferson,22,56,568
02,020,29,169,Mo,Pulaski,21,54,437
02,020,15,001,Hi,Hawaii,21,39,972
02,020,06,111,Ca,Ventura,21,45,1340
02,020,21,093,Ky,Hardin,21,58,537
02,020,38,035,ND,"Grand Forks",21,67,573
02,020,02,016,Ak,"Aleutians West",20,30,620
02,020,45,079,SC,Richland,20,44,536
02,020,55,025,Wi,Dane,20,37,801
02,020,30,013,Mt,Cascade,19,42,600
02,020,17,163,Il,"St. Clair",19,58,570
02,020,28,047,Ms,Harrison,19,45,675
02,020,39,049,Oh,Franklin,19,33,541
02,020,45,085,SC,Sumter,19,52,546
02,020,25,017,Ma,Middlesex,19,36,650
02,020,12,009,Fl,Brevard,18,34,487
02,020,20,161,Ks,Riley,18,47,384
02,020,12,025,Fl,Dade,18,49,479
02,020,12,127,Fl,Volusia,18,32,574
02,020,41,017,Or,Deschutes,18,30,495
02,020,08,059,Co,Jefferson,18,29,912
02,020,12,057,Fl,Hillsborough,18,39,513
02,020,20,173,Ks,Sedgwick,17,44,466
02,020,05,119,Ar,Pulaski,17,39,466
02,020,16,055,Id,Kootenai,17,44,597
02,020,29,077,Mo,Greene,17,35,376
02,020,48,453,Tx,Travis,17,36,1592
02,020,08,013,Co,Boulder,17,35,638
02,020,53,009,Wa,Clallam,17,34,997
02,020,11,001,DC,"Wash.,D.C.",17,22,518
02,020,53,005,Wa,Benton,16,30,713
02,020,51,650,Va,"Hampton city",16,29,471
02,020,48,485,Tx,Wichita,16,49,509
02,020,06,013,Ca,"Contra Costa",16,31,1494
02,020,04,025,Az,Yavapai,16,26,412
