"1994-1995 County To County Migration Outflows",,,,,,Maryland,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration From",,"Migration Into",,,,Number,Number,Aggregate
Maryland,,,,,,of,of,Total
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Money
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
24,001,00,001,Md,Allegany,1047,1905,25967
24,001,54,057,WV,Mineral,130,285,2813
24,001,24,023,Md,Garrett,61,115,1577
24,001,24,043,Md,Washington,55,88,873
24,001,42,009,Pa,Bedford,38,79,1088
24,001,24,031,Md,Montgomery,31,41,638
24,001,24,021,Md,Frederick,25,47,760
24,001,24,005,Md,Baltimore,25,33,459
24,001,24,003,Md,"Anne Arundel",24,39,632
24,001,42,111,Pa,Somerset,21,46,497
24,001,24,033,Md,"Prince George's",21,31,448
24,001,24,510,Md,"Baltimore city",17,27,348
24,001,54,027,WV,Hampshire,14,18,250
24,001,51,069,Va,Frederick,12,19,147
24,001,51,059,Va,Fairfax,12,26,703
24,001,42,003,Pa,Allegheny,12,17,369
24,001,45,051,SC,Horry,11,18,195
24,001,24,027,Md,Howard,10,13,140
24,001,63,010,XX,"Same State",45,73,970
24,001,63,011,XX,"Region 1: Northeast",109,189,2726
24,001,63,012,XX,"Region 2: Midwest",58,101,1787
24,001,63,013,XX,"Region 3: South",253,475,7214
24,001,63,014,XX,"Region 4: West",50,104,1161
24,001,63,015,XX,Foreign,13,21,172
24,001,63,050,Md,"County Non-Migrant",24329,53280,723125
24,003,00,001,Md,"Anne Arundel",14288,27774,493392
24,003,24,510,Md,"Baltimore city",1478,2738,33298
24,003,24,033,Md,"Prince George's",1321,2335,39706
24,003,24,005,Md,Baltimore,1049,1809,29797
24,003,24,027,Md,Howard,819,1502,29149
24,003,24,031,Md,Montgomery,420,670,15729
24,003,24,035,Md,"Queen Anne's",396,843,20324
24,003,57,005,FR,"APO / FPO Zip Code",342,820,11476
24,003,24,009,Md,Calvert,284,596,10701
24,003,57,001,FR,"Foreign / Overseas",242,561,10838
24,003,51,059,Va,Fairfax,206,391,9480
24,003,24,013,Md,Carroll,172,424,8202
24,003,11,001,DC,"Wash.,D.C.",145,235,3956
24,003,24,025,Md,Harford,135,294,5035
24,003,12,033,Fl,Escambia,113,165,2063
24,003,24,047,Md,Worcester,106,173,6781
24,003,06,073,Ca,"San Diego",104,167,2335
