"1994-1995 County To County Migration Outflows",,,,,,Mississippi,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration From",,"Migration Into",,,,Number,Number,Aggregate
Mississippi,,,,,,of,of,Total
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Money
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
28,001,00,001,Ms,Adams,704,1497,14666
28,001,22,029,La,Concordia,108,260,2540
28,001,28,049,Ms,Hinds,47,94,1129
28,001,22,033,La,"East Baton Rouge",29,50,730
28,001,28,037,Ms,Franklin,29,73,368
28,001,48,113,Tx,Dallas,25,46,374
28,001,28,063,Ms,Jefferson,18,43,306
28,001,28,121,Ms,Rankin,14,30,351
28,001,28,157,Ms,Wilkinson,14,38,230
28,001,48,201,Tx,Harris,13,21,170
28,001,28,089,Ms,Madison,12,20,206
28,001,22,051,La,Jefferson,11,24,123
28,001,28,047,Ms,Harrison,11,23,181
28,001,63,010,XX,"Same State",87,171,2110
28,001,63,011,XX,"Region 1: Northeast",10,27,199
28,001,63,012,XX,"Region 2: Midwest",40,83,846
28,001,63,013,XX,"Region 3: South",209,438,4208
28,001,63,014,XX,"Region 4: West",27,56,595
28,001,63,050,Ms,"County Non-Migrant",10621,24725,282251
28,003,00,001,Ms,Alcorn,658,1505,18812
28,003,28,117,Ms,Prentiss,72,179,1241
28,003,47,109,Tn,McNairy,63,145,1243
28,003,28,141,Ms,Tishomingo,55,120,1018
28,003,47,157,Tn,Shelby,38,85,1312
28,003,28,081,Ms,Lee,35,87,986
28,003,28,139,Ms,Tippah,27,66,503
28,003,47,071,Tn,Hardin,14,27,395
28,003,28,105,Ms,Oktibbeha,10,13,145
28,003,63,010,XX,"Same State",79,170,2015
28,003,63,011,XX,"Region 1: Northeast",11,18,458
28,003,63,012,XX,"Region 2: Midwest",43,97,1045
28,003,63,013,XX,"Region 3: South",174,406,5908
28,003,63,014,XX,"Region 4: West",37,92,2543
28,003,63,050,Ms,"County Non-Migrant",10289,23792,295379
28,005,00,001,Ms,Amite,262,598,5164
28,005,28,113,Ms,Pike,59,129,1046
28,005,28,157,Ms,Wilkinson,43,120,907
28,005,28,049,Ms,Hinds,15,24,203
28,005,22,033,La,"East Baton Rouge",15,35,357
28,005,28,085,Ms,Lincoln,10,20,170
28,005,63,020,XX,"Same State",57,132,1025
28,005,63,021,XX,"Same Region, Diff. State",48,99,1071
28,005,63,022,XX,"Different Region",15,39,385
28,005,63,050,Ms,"County Non-Migrant",3341,8295,79341
28,007,00,001,Ms,Attala,360,768,6630
28,007,28,051,Ms,Holmes,51,129,891
28,007,28,079,Ms,Leake,34,84,493
28,007,28,049,Ms,Hinds,21,37,384
28,007,28,019,Ms,Choctaw,21,50,245
28,007,28,159,Ms,Winston,17,40,290
28,007,28,121,Ms,Rankin,13,26,290
28,007,28,089,Ms,Madison,13,22,296
28,007,28,105,Ms,Oktibbeha,10,22,317
28,007,63,020,XX,"Same State",77,148,1475
28,007,63,021,XX,"Same Region, Diff. State",75,154,1378
28,007,63,022,XX,"Different Region",28,56,571
28,007,63,050,Ms,"County Non-Migrant",5777,13712,130260
28,009,00,001,Ms,Benton,198,422,3631
28,009,28,093,Ms,Marshall,50,112,817
28,009,28,139,Ms,Tippah,40,80,794
28,009,47,157,Tn,Shelby,31,65,566
28,009,28,145,Ms,Union,16,37,304
28,009,63,020,XX,"Same State",24,55,559
28,009,63,021,XX,"Same Region, Diff. State",24,47,462
28,009,63,022,XX,"Different Region",13,26,129
28,009,63,050,Ms,"County Non-Migrant",2213,5215,47117
28,011,00,001,Ms,Bolivar,791,1716,14324
28,011,28,151,Ms,Washington,95,216,1764
28,011,28,133,Ms,Sunflower,85,187,1313
28,011,28,027,Ms,Coahoma,65,155,1034
28,011,47,157,Tn,Shelby,49,117,749
28,011,28,049,Ms,Hinds,23,35,368
28,011,17,031,Il,Cook,16,32,147
28,011,28,089,Ms,Madison,16,32,517
28,011,28,033,Ms,"De Soto",15,27,365
28,011,28,083,Ms,Leflore,13,24,260
28,011,28,043,Ms,Grenada,12,23,314
28,011,55,079,Wi,Milwaukee,11,22,64
28,011,28,121,Ms,Rankin,10,25,264
28,011,63,010,XX,"Same State",114,249,2136
28,011,63,011,XX,"Region 1: Northeast",15,41,356
28,011,63,012,XX,"Region 2: Midwest",66,149,742
28,011,63,013,XX,"Region 3: South",166,340,3658
28,011,63,014,XX,"Region 4: West",20,42,273
28,011,63,050,Ms,"County Non-Migrant",11941,29378,280863
28,013,00,001,Ms,Calhoun,232,520,4353
28,013,28,017,Ms,Chickasaw,38,85,542
28,013,28,115,Ms,Pontotoc,22,54,505
28,013,28,161,Ms,Yalobusha,16,38,389
28,013,28,043,Ms,Grenada,12,21,181
28,013,28,071,Ms,Lafayette,11,24,235
28,013,28,081,Ms,Lee,10,21,238
28,013,28,155,Ms,Webster,10,18,259
28,013,63,020,XX,"Same State",56,128,1092
28,013,63,021,XX,"Same Region, Diff. State",42,90,702
28,013,63,022,XX,"Different Region",15,41,210
28,013,63,050,Ms,"County Non-Migrant",5068,11782,119107
28,015,00,001,Ms,Carroll,218,500,4230
28,015,28,083,Ms,Leflore,64,158,1225
28,015,28,097,Ms,Montgomery,31,75,507
28,015,28,043,Ms,Grenada,14,42,403
28,015,28,049,Ms,Hinds,13,20,199
28,015,63,020,XX,"Same State",50,111,1070
28,015,63,021,XX,"Same Region, Diff. State",33,66,713
28,015,63,022,XX,"Different Region",13,28,113
28,015,63,050,Ms,"County Non-Migrant",2558,6144,59633
28,017,00,001,Ms,Chickasaw,376,805,6539
28,017,28,081,Ms,Lee,97,195,1755
28,017,28,095,Ms,Monroe,61,137,1022
28,017,28,115,Ms,Pontotoc,29,75,587
