"1994-1995 County To County Migration Outflows",,,,,,"South Carolina",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration From",,"Migration Into",,,,Number,Number,Aggregate
"South Carolina",,,,,,of,of,Total
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Money
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
45,001,00,001,SC,Abbeville,512,1016,10100
45,001,45,047,SC,Greenwood,158,324,3079
45,001,45,007,SC,Anderson,100,211,2003
45,001,45,045,SC,Greenville,34,63,617
45,001,45,059,SC,Laurens,22,36,423
45,001,45,065,SC,McCormick,20,39,295
45,001,45,083,SC,Spartanburg,11,19,248
45,001,45,063,SC,Lexington,10,18,281
45,001,63,020,XX,"Same State",45,94,704
45,001,63,021,XX,"Same Region, Diff. State",78,144,1615
45,001,63,022,XX,"Different Region",34,68,835
45,001,63,050,SC,"County Non-Migrant",7828,17287,201340
45,003,00,001,SC,Aiken,2705,5575,74698
45,003,13,245,Ga,Richmond,415,819,9335
45,003,45,037,SC,Edgefield,160,376,4366
45,003,45,063,SC,Lexington,119,254,2899
45,003,13,073,Ga,Columbia,118,260,4066
45,003,45,079,SC,Richland,88,143,2357
45,003,45,011,SC,Barnwell,55,123,1468
45,003,45,081,SC,Saluda,49,124,1194
45,003,45,019,SC,Charleston,47,73,913
45,003,45,075,SC,Orangeburg,41,83,819
45,003,45,045,SC,Greenville,33,56,741
45,003,45,065,SC,McCormick,32,66,904
45,003,37,119,NC,Mecklenburg,30,51,785
45,003,45,013,SC,Beaufort,24,39,428
45,003,13,121,Ga,Fulton,24,37,496
45,003,13,089,Ga,"De Kalb",23,44,470
45,003,13,067,Ga,Cobb,22,29,459
45,003,45,051,SC,Horry,21,43,634
45,003,45,083,SC,Spartanburg,18,34,532
45,003,42,003,Pa,Allegheny,17,27,585
45,003,13,135,Ga,Gwinnett,15,42,481
45,003,57,005,FR,"APO / FPO Zip Code",15,26,208
45,003,45,009,SC,Bamberg,15,33,346
45,003,12,031,Fl,Duval,15,30,438
45,003,47,093,Tn,Knox,14,35,831
45,003,37,183,NC,Wake,14,26,548
45,003,13,051,Ga,Chatham,13,22,340
45,003,47,037,Tn,Davidson,13,28,279
45,003,12,057,Fl,Hillsborough,12,27,472
45,003,53,005,Wa,Benton,12,32,930
45,003,57,001,FR,"Foreign / Overseas",12,18,482
45,003,45,085,SC,Sumter,12,33,268
45,003,45,005,SC,Allendale,11,29,185
45,003,13,125,Ga,Glascock,11,25,162
45,003,13,059,Ga,Clarke,11,16,241
45,003,45,091,SC,York,10,18,180
45,003,45,077,SC,Pickens,10,12,233
45,003,45,007,SC,Anderson,10,19,292
45,003,63,010,XX,"Same State",101,195,2364
45,003,63,011,XX,"Region 1: Northeast",108,211,3214
45,003,63,012,XX,"Region 2: Midwest",122,269,4366
45,003,63,013,XX,"Region 3: South",687,1486,20205
45,003,63,014,XX,"Region 4: West",126,262,4182
45,003,63,050,SC,"County Non-Migrant",45229,107407,1636746
45,005,00,001,SC,Allendale,206,456,4198
45,005,45,011,SC,Barnwell,33,76,775
45,005,45,049,SC,Hampton,23,51,419
45,005,45,003,SC,Aiken,19,52,332
45,005,45,009,SC,Bamberg,10,21,129
45,005,63,030,XX,"Suppress All Flows",121,256,2543
45,005,63,050,SC,"County Non-Migrant",3241,7593,68641
45,007,00,001,SC,Anderson,2631,5134,66265
45,007,45,045,SC,Greenville,632,1292,16306
45,007,45,077,SC,Pickens,289,569,6989
45,007,45,073,SC,Oconee,143,296,3675
45,007,45,001,SC,Abbeville,96,203,1781
45,007,45,083,SC,Spartanburg,63,109,1419
45,007,45,059,SC,Laurens,61,113,1140
45,007,45,079,SC,Richland,50,82,1268
45,007,45,019,SC,Charleston,45,82,1258
45,007,45,047,SC,Greenwood,40,74,1036
45,007,37,119,NC,Mecklenburg,34,64,1095
45,007,45,063,SC,Lexington,31,49,779
45,007,45,051,SC,Horry,22,40,656
45,007,57,005,FR,"APO / FPO Zip Code",20,22,215
45,007,13,135,Ga,Gwinnett,20,28,364
45,007,13,089,Ga,"De Kalb",19,25,273
45,007,13,067,Ga,Cobb,19,36,471
45,007,13,147,Ga,Hart,18,35,270
45,007,57,001,FR,"Foreign / Overseas",17,37,838
45,007,45,003,SC,Aiken,17,37,764
45,007,45,013,SC,Beaufort,15,27,344
45,007,45,041,SC,Florence,15,24,259
45,007,45,091,SC,York,15,26,380
45,007,13,121,Ga,Fulton,14,18,305
45,007,17,031,Il,Cook,11,21,138
45,007,47,093,Tn,Knox,11,19,242
45,007,13,119,Ga,Franklin,10,15,171
45,007,47,037,Tn,Davidson,10,15,197
45,007,13,059,Ga,Clarke,10,16,240
45,007,63,010,XX,"Same State",72,154,1764
45,007,63,011,XX,"Region 1: Northeast",92,163,2469
45,007,63,012,XX,"Region 2: Midwest",109,237,3243
45,007,63,013,XX,"Region 3: South",534,1066,14080
45,007,63,014,XX,"Region 4: West",77,140,1836
45,007,63,050,SC,"County Non-Migrant",52280,115340,1587677
45,009,00,001,SC,Bamberg,288,620,5564
45,009,45,075,SC,Orangeburg,80,173,1270
45,009,45,011,SC,Barnwell,41,114,981
45,009,45,079,SC,Richland,14,26,313
45,009,63,020,XX,"Same State",84,174,1534
45,009,63,021,XX,"Same Region, Diff. State",44,90,827
