"1995-1996 County To County Migration Inflows",,,,,,Arizona,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate
Arizona,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
04,000,96,000,AZ,"Total Mig - US & For",121212,241579,3883091
04,000,97,000,AZ,"Total Mig - US",117837,235326,3812042
04,000,97,001,AZ,"Total Mig - US Same St",26163,54681,656745
04,000,97,003,AZ,"Total Mig - US Diff St",91674,180645,3155297
04,000,98,000,AZ,"Total Mig - Foreign",3375,6253,71049
04,001,96,000,AZ,"Apache County Tot Mig-US & For",2369,6476,43584
04,001,97,000,AZ,"Apache County Tot Mig-US",2359,6459,43427
04,001,97,001,AZ,"Apache County Tot Mig-Same St",1087,2938,19884
04,001,97,003,AZ,"Apache County Tot Mig-Diff St",1272,3521,23543
04,001,98,000,AZ,"Apache County Tot Mig-Foreign",10,17,157
04,001,04,001,AZ,"Apache County Non-Migrants",13978,44796,353666
04,001,35,031,NM,"Mckinley County",534,1561,8670
04,001,04,017,AZ,"Navajo County",370,1201,6831
04,001,04,013,AZ,"Maricopa County",350,802,6322
04,001,04,005,AZ,"Coconino County",230,633,3693
04,001,35,045,NM,"San Juan County",213,733,3479
04,001,04,019,AZ,"Pima County",54,111,1321
04,001,49,037,UT,"San Juan County",50,151,741
04,001,49,035,UT,"Salt Lake County",37,103,427
04,001,35,001,NM,"Bernalillo County",26,51,558
04,001,04,021,AZ,"Pinal County",19,40,309
04,001,04,025,AZ,"Yavapai County",17,37,376
04,001,04,003,AZ,"Cochise County",14,38,359
04,001,04,015,AZ,"Mohave County",12,25,255
04,001,06,037,CA,"Los Angeles County",12,23,333
04,001,08,067,CO,"La Plata County",12,37,200
04,001,06,073,CA,"San Diego County",11,19,243
04,001,32,003,NV,"Clark County",10,30,191
04,001,58,000,SS,"Other Flows - Same State",21,51,418
04,001,59,000,DS,"Other Flows - Diff State",367,813,8702
04,001,59,001,DS,"Other Flows - Northeast",26,46,698
04,001,59,003,DS,"Other Flows - Midwest",66,145,1545
04,001,59,005,DS,"Other Flows - South",76,151,1737
04,001,59,007,DS,"Other Flows - West",199,471,4722
04,001,57,009,FR,"Foreign - Other flows",10,17,157
04,003,96,000,AZ,"Cochise County Tot Mig-US & For",4122,9326,108776
04,003,97,000,AZ,"Cochise County Tot Mig-US",3545,7924,93920
04,003,97,001,AZ,"Cochise County Tot Mig-Same St",960,2143,24320
04,003,97,003,AZ,"Cochise County Tot Mig-Diff St",2585,5781,69601
04,003,98,000,AZ,"Cochise County Tot Mig-Foreign",577,1402,14856
04,003,04,003,AZ,"Cochise County Non-Migrants",30033,74344,910678
04,003,57,005,FR,"Foreign - APO/FPO ZIPs",556,1350,14482
04,003,04,019,AZ,"Pima County",500,1104,12630
04,003,04,013,AZ,"Maricopa County",228,507,5961
04,003,15,003,HI,"Honolulu County",92,261,2792
04,003,06,037,CA,"Los Angeles County",62,116,1619
04,003,08,041,CO,"El Paso County",58,169,1913
04,003,37,051,NC,"Cumberland County",57,137,1762
04,003,06,073,CA,"San Diego County",55,130,1437
04,003,13,245,GA,"Richmond County",54,106,1120
04,003,48,027,TX,"Bell County",45,110,1569
04,003,04,005,AZ,"Coconino County",41,78,1063
04,003,53,053,WA,"Pierce County",37,97,1113
04,003,06,071,CA,"San Bernardino Count",35,84,1186
04,003,48,141,TX,"El Paso County",35,86,957
04,003,04,023,AZ,"Santa Cruz County",32,82,713
04,003,04,021,AZ,"Pinal County",30,81,649
04,003,04,009,AZ,"Graham County",28,69,711
04,003,06,059,CA,"Orange County",23,43,802
04,003,48,029,TX,"Bexar County",23,52,452
04,003,04,025,AZ,"Yavapai County",22,40,520
04,003,51,059,VA,"Fairfax County",22,52,1196
04,003,02,020,AK,"Anchorage Borough",21,59,541
04,003,22,115,LA,"Vernon Parish",21,46,704
04,003,04,027,AZ,"Yuma County",20,51,453
04,003,20,061,KS,"Geary County",19,43,510
04,003,21,047,KY,"Christian County",19,49,586
04,003,36,045,NY,"Jefferson County",19,56,482
04,003,04,017,AZ,"Navajo County",16,30,512
04,003,35,001,NM,"Bernalillo County",16,38,567
04,003,02,090,AK,"Fairbanks North Star",15,48,374
04,003,04,015,AZ,"Mohave County",15,45,249
04,003,06,065,CA,"Riverside County",15,33,319
04,003,13,051,GA,"Chatham County",15,43,485
04,003,24,003,MD,"Anne Arundel County",15,37,536
04,003,48,099,TX,"Coryell County",15,47,666
04,003,48,201,TX,"Harris County",15,25,288
04,003,17,031,IL,"Cook County",14,23,358
04,003,32,003,NV,"Clark County",14,37,334
04,003,06,067,CA,"Sacramento County",13,30,424
04,003,25,027,MA,"Worcester County",13,34,315
04,003,35,013,NM,"Dona Ana County",13,38,398
04,003,35,017,NM,"Grant County",13,32,206
04,003,35,023,NM,"Hidalgo County",13,35,201
04,003,06,053,CA,"Monterey County",12,20,425
04,003,08,001,CO,"Adams County",12,26,265
04,003,21,093,KY,"Hardin County",12,28,316
