"1995-1996 County To County Migration Inflows",,,,,,RhodeIsland,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate
RhodeIsland,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
44,000,96,000,RI,"Total Mig - US & For",18238,32362,624014
44,000,97,000,RI,"Total Mig - US",17608,31317,612267
44,000,97,001,RI,"Total Mig - US Same St",7116,12469,244507
44,000,97,003,RI,"Total Mig - US Diff St",10492,18848,367760
44,000,98,000,RI,"Total Mig - Foreign",630,1045,11746
44,001,96,000,RI,"Bristol County Tot Mig-US & For",1052,1935,52588
44,001,97,000,RI,"Bristol County Tot Mig-US",1052,1935,52588
44,001,97,001,RI,"Bristol County Tot Mig-Same St",499,909,19725
44,001,97,003,RI,"Bristol County Tot Mig-Diff St",553,1026,32863
44,001,44,001,RI,"Bristol County Non-Migrants",16980,37611,891601
44,001,44,007,RI,"Providence County",333,623,14593
44,001,25,005,MA,"Bristol County",122,206,6270
44,001,44,005,RI,"Newport County",89,154,2556
44,001,44,003,RI,"Kent County",54,92,1829
44,001,25,025,MA,"Suffolk County",17,24,647
44,001,25,017,MA,"Middlesex County",16,26,642
44,001,25,021,MA,"Norfolk County",14,29,1091
44,001,25,023,MA,"Plymouth County",13,25,418
44,001,09,003,CT,"Hartford County",12,29,812
44,001,09,009,CT,"New Haven County",12,27,870
44,001,25,009,MA,"Essex County",12,21,479
44,001,58,000,SS,"Other Flows - Same State",23,40,746
44,001,59,000,DS,"Other Flows - Diff State",335,639,21635
44,001,59,001,DS,"Other Flows - Northeast",180,308,8712
44,001,59,003,DS,"Other Flows - Midwest",32,65,3037
44,001,59,005,DS,"Other Flows - South",80,168,8076
44,001,59,007,DS,"Other Flows - West",43,98,1810
44,003,96,000,RI,"Kent County Tot Mig-US & For",3711,6542,126398
44,003,97,000,RI,"Kent County Tot Mig-US",3695,6515,126066
44,003,97,001,RI,"Kent County Tot Mig-Same St",2524,4460,80157
44,003,97,003,RI,"Kent County Tot Mig-Diff St",1171,2055,45908
44,003,98,000,RI,"Kent County Tot Mig-Foreign",16,27,332
44,003,44,003,RI,"Kent County Non-Migrants",60391,128691,2549640
44,003,44,007,RI,"Providence County",1932,3437,60616
44,003,44,009,RI,"Washington County",478,821,14316
44,003,25,005,MA,"Bristol County",106,171,3289
