"1995-1996 County To County Migration Inflows",,,,,,Texas,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate
Texas,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
48,000,96,000,TX,"Total Mig - US & For",495632,1042313,15694428
48,000,97,000,TX,"Total Mig - US",481075,1013983,15371895
48,000,97,001,TX,"Total Mig - US Same St",308354,641929,9193246
48,000,97,003,TX,"Total Mig - US Diff St",172721,372054,6178650
48,000,98,000,TX,"Total Mig - Foreign",14557,28330,322533
48,001,96,000,TX,"Anderson County Tot Mig-US & For",1061,2423,26031
48,001,97,000,TX,"Anderson County Tot Mig-US",1061,2423,26031
48,001,97,001,TX,"Anderson County Tot Mig-Same St",875,1981,21306
48,001,97,003,TX,"Anderson County Tot Mig-Diff St",186,442,4726
48,001,48,001,TX,"Anderson County Non-Migrants",12475,29851,368655
48,001,48,201,TX,"Harris County",85,181,2626
48,001,48,423,TX,"Smith County",75,144,1485
48,001,48,113,TX,"Dallas County",70,147,1652
48,001,48,073,TX,"Cherokee County",67,148,1314
48,001,48,213,TX,"Henderson County",54,123,1393
48,001,48,225,TX,"Houston County",48,108,1023
48,001,48,439,TX,"Tarrant County",31,77,759
48,001,48,289,TX,"Leon County",30,70,676
48,001,48,161,TX,"Freestone County",21,45,537
48,001,48,347,TX,"Nacogdoches County",19,41,496
48,001,48,309,TX,"Mclennan County",17,30,232
48,001,48,183,TX,"Gregg County",16,39,340
48,001,48,005,TX,"Angelina County",13,35,432
48,001,48,039,TX,"Brazoria County",12,36,382
48,001,48,167,TX,"Galveston County",12,26,258
48,001,48,027,TX,"Bell County",11,32,306
48,001,48,401,TX,"Rusk County",10,16,165
48,001,58,000,SS,"Other Flows - Same State",284,683,7231
48,001,59,000,DS,"Other Flows - Diff State",186,442,4726
48,001,59,001,DS,"Other Flows - Northeast",10,23,219
48,001,59,003,DS,"Other Flows - Midwest",30,67,934
48,001,59,005,DS,"Other Flows - South",99,229,2331
48,001,59,007,DS,"Other Flows - West",47,123,1242
48,003,96,000,TX,"Andrews County Tot Mig-US & For",273,683,7132
48,003,97,000,TX,"Andrews County Tot Mig-US",273,683,7132
48,003,97,001,TX,"Andrews County Tot Mig-Same St",206,513,5163
48,003,97,003,TX,"Andrews County Tot Mig-Diff St",67,170,1969
48,003,48,003,TX,"Andrews County Non-Migrants",4016,11004,135501
48,003,48,135,TX,"Ector County",40,103,1503
48,003,48,329,TX,"Midland County",24,44,403
48,003,35,025,NM,"Lea County",12,29,393
48,003,48,165,TX,"Gaines County",10,29,239
48,003,48,303,TX,"Lubbock County",10,19,245
48,003,58,000,SS,"Other Flows - Same State",122,318,2773
48,003,59,000,DS,"Other Flows - Diff State",55,141,1577
