"1995-1996 County To County Migration Inflows",,,,,,Maine,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate
Maine,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
23,000,96,000,ME,"Total Mig - US & For",28166,52752,799030
23,000,97,000,ME,"Total Mig - US",27515,51580,786490
23,000,97,001,ME,"Total Mig - US Same St",14275,26541,362387
23,000,97,003,ME,"Total Mig - US Diff St",13240,25039,424103
23,000,98,000,ME,"Total Mig - Foreign",651,1172,12540
23,001,96,000,ME,"Androscoggin Co Tot Mig-US & For",1856,3533,45811
23,001,97,000,ME,"Androscoggin Co Tot Mig-US",1831,3484,45255
23,001,97,001,ME,"Androscoggin Co Tot Mig-Same St",1183,2150,28775
23,001,97,003,ME,"Androscoggin Co Tot Mig-Diff St",648,1334,16480
23,001,98,000,ME,"Androscoggin Co Tot Mig-Foreign",25,49,556
23,001,23,001,ME,"Androscoggin Co Non-Migrants",34596,76742,1130277
23,001,23,005,ME,"Cumberland County",378,724,10517
23,001,23,017,ME,"Oxford County",228,402,5610
23,001,23,011,ME,"Kennebec County",189,313,3788
23,001,23,007,ME,"Franklin County",115,201,2317
23,001,23,023,ME,"Sagadahoc County",86,168,2329
23,001,23,019,ME,"Penobscot County",49,88,1283
23,001,23,031,ME,"York County",43,93,1048
23,001,23,003,ME,"Aroostook County",29,57,602
23,001,23,025,ME,"Somerset County",18,28,261
23,001,09,003,CT,"Hartford County",17,29,445
23,001,12,031,FL,"Duval County",17,43,295
23,001,23,015,ME,"Lincoln County",17,29,400
23,001,25,017,MA,"Middlesex County",15,29,460
23,001,33,011,NH,"Hillsborough County",13,30,353
23,001,25,027,MA,"Worcester County",11,17,247
23,001,25,009,MA,"Essex County",10,21,342
23,001,58,000,SS,"Other Flows - Same State",31,47,619
23,001,59,000,DS,"Other Flows - Diff State",565,1165,14340
23,001,59,001,DS,"Other Flows - Northeast",194,397,5178
23,001,59,003,DS,"Other Flows - Midwest",69,133,1429
23,001,59,005,DS,"Other Flows - South",218,465,5297
23,001,59,007,DS,"Other Flows - West",84,170,2436
23,001,57,009,FR,"Foreign - Other flows",25,49,556
23,003,96,000,ME,"Aroostook Count Tot Mig-US & For",837,1724,21217
23,003,97,000,ME,"Aroostook Count Tot Mig-US",779,1606,20076
23,003,97,001,ME,"Aroostook Count Tot Mig-Same St",259,489,5941
23,003,97,003,ME,"Aroostook Count Tot Mig-Diff St",520,1117,14136
23,003,98,000,ME,"Aroostook Count Tot Mig-Foreign",58,118,1140
23,003,23,003,ME,"Aroostook Count Non-Migrants",25639,58848,702988
23,003,23,019,ME,"Penobscot County",94,162,2281
23,003,23,005,ME,"Cumberland County",35,53,705
23,003,09,003,CT,"Hartford County",32,66,781
23,003,23,011,ME,"Kennebec County",30,61,805
23,003,57,005,FR,"Foreign - APO/FPO ZIPs",24,55,499
23,003,23,029,ME,"Washington County",23,48,444
23,003,23,031,ME,"York County",18,36,327
23,003,23,001,ME,"Androscoggin County",14,26,186
23,003,08,005,CO,"Arapahoe County",12,25,482
23,003,25,027,MA,"Worcester County",10,19,193
23,003,58,000,SS,"Other Flows - Same State",45,103,1192
23,003,59,000,DS,"Other Flows - Diff State",466,1007,12680
23,003,59,001,DS,"Other Flows - Northeast",147,300,3977
23,003,59,003,DS,"Other Flows - Midwest",60,127,1395
23,003,59,005,DS,"Other Flows - South",177,371,4482
23,003,59,007,DS,"Other Flows - West",82,209,2825
23,003,57,009,FR,"Foreign - Other flows",34,63,641
23,005,96,000,ME,"Cumberland Coun Tot Mig-US & For",7090,12659,233294
23,005,97,000,ME,"Cumberland Coun Tot Mig-US",6940,12378,229490
23,005,97,001,ME,"Cumberland Coun Tot Mig-Same St",3272,5771,93659
23,005,97,003,ME,"Cumberland Coun Tot Mig-Diff St",3668,6607,135832
23,005,98,000,ME,"Cumberland Coun Tot Mig-Foreign",150,281,3804
23,005,23,005,ME,"Cumberland Coun Non-Migrants",93700,196570,3887382
23,005,23,031,ME,"York County",999,1734,27509
23,005,23,001,ME,"Androscoggin County",633,1273,22622
23,005,23,023,ME,"Sagadahoc County",451,903,12245
23,005,23,019,ME,"Penobscot County",252,375,5625
23,005,23,011,ME,"Kennebec County",243,387,7503
23,005,25,017,MA,"Middlesex County",178,284,6927
23,005,23,017,ME,"Oxford County",171,300,3691
23,005,23,003,ME,"Aroostook County",104,150,2231
23,005,23,015,ME,"Lincoln County",94,146,2369
23,005,57,005,FR,"Foreign - APO/FPO ZIPs",93,179,2034
23,005,33,015,NH,"Rockingham County",91,147,3546
23,005,23,013,ME,"Knox County",85,136,4570
23,005,25,025,MA,"Suffolk County",80,116,1909
23,005,25,009,MA,"Essex County",77,140,3497
23,005,23,009,ME,"Hancock County",69,113,1768
23,005,09,003,CT,"Hartford County",65,100,2977
23,005,33,011,NH,"Hillsborough County",62,89,2901
23,005,12,031,FL,"Duval County",59,121,1483
23,005,25,027,MA,"Worcester County",57,116,5546
23,005,23,007,ME,"Franklin County",52,70,1288
23,005,25,021,MA,"Norfolk County",52,85,2942
23,005,09,001,CT,"Fairfield County",47,75,2557
23,005,36,061,NY,"New York County",46,53,1913
23,005,33,017,NH,"Strafford County",40,67,1321
23,005,09,009,CT,"New Haven County",39,57,1178
23,005,23,029,ME,"Washington County",39,61,640
23,005,33,013,NH,"Merrimack County",36,71,1245
23,005,23,027,ME,"Waldo County",34,49,677
23,005,25,023,MA,"Plymouth County",34,73,1119
23,005,33,003,NH,"Carroll County",34,58,802
23,005,50,007,VT,"Chittenden County",34,62,1035
23,005,06,037,CA,"Los Angeles County",33,57,1724
23,005,06,073,CA,"San Diego County",31,62,987
23,005,51,810,VA,"Virginia Beach",31,72,861
23,005,25,013,MA,"Hampden County",30,45,1300
23,005,17,031,IL,"Cook County",29,44,1492
23,005,23,025,ME,"Somerset County",29,46,513
23,005,12,019,FL,"Clay County",28,70,923
23,005,12,103,FL,"Pinellas County",28,40,835
23,005,25,005,MA,"Bristol County",26,46,851
23,005,09,011,CT,"New London County",25,43,742
23,005,33,009,NH,"Grafton County",25,44,658
23,005,36,119,NY,"Westchester County",25,50,2314
23,005,44,007,RI,"Providence County",25,33,778
23,005,53,033,WA,"King County",25,38,864
23,005,04,013,AZ,"Maricopa County",24,39,688
23,005,12,099,FL,"Palm Beach County",23,41,654
23,005,25,001,MA,"Barnstable County",23,40,560
23,005,48,201,TX,"Harris County",22,46,1151
23,005,51,059,VA,"Fairfax County",22,55,1361
23,005,04,019,AZ,"Pima County",20,34,406
23,005,12,011,FL,"Broward County",19,29,608
23,005,24,031,MD,"Montgomery County",19,36,1094
23,005,36,047,NY,"Kings County",19,32,533
23,005,36,103,NY,"Suffolk County",19,30,455
