"1995-1996 County To County Migration Outflows",,,,,,Utah,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Utah,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
49,000,96,000,UT,"Total Mig - US & For",44037,101535,1285948
49,000,97,000,UT,"Total Mig - US",43467,100260,1271265
49,000,97,001,UT,"Total Mig - US Same St",20627,47800,565441
49,000,97,003,UT,"Total Mig - US Diff St",22840,52460,705824
49,000,98,000,UT,"Total Mig - Foreign",570,1275,14683
49,001,96,000,UT,"Beaver County Tot Mig-US & For",94,226,2282
49,001,97,000,UT,"Beaver County Tot Mig-US",94,226,2282
49,001,97,001,UT,"Beaver County Tot Mig-Same St",56,144,1383
49,001,97,003,UT,"Beaver County Tot Mig-Diff St",38,82,898
49,001,49,001,UT,"Beaver County Non-Migrants",1398,4253,37725
49,001,49,021,UT,"Iron County",15,30,266
49,001,49,053,UT,"Washington County",11,39,456
49,001,58,000,SS,"Other Flows - Same State",30,75,661
49,001,59,000,DS,"Other Flows - Diff State",38,82,898
49,003,96,000,UT,"Box Elder Count Tot Mig-US & For",767,1847,19615
49,003,97,000,UT,"Box Elder Count Tot Mig-US",767,1847,19615
49,003,97,001,UT,"Box Elder Count Tot Mig-Same St",486,1103,12097
49,003,97,003,UT,"Box Elder Count Tot Mig-Diff St",281,744,7518
49,003,49,003,UT,"Box Elder Count Non-Migrants",11304,34069,424641
49,003,49,057,UT,"Weber County",157,352,4170
49,003,49,005,UT,"Cache County",121,269,2927
49,003,49,035,UT,"Salt Lake County",71,120,1363
49,003,49,011,UT,"Davis County",69,160,1789
49,003,49,049,UT,"Utah County",28,91,886
49,003,16,071,ID,"Oneida County",16,62,588
49,003,04,013,AZ,"Maricopa County",12,25,300
49,003,16,001,ID,"Ada County",10,26,285
49,003,16,005,ID,"Bannock County",10,25,292
49,003,58,000,SS,"Other Flows - Same State",40,111,962
49,003,59,000,DS,"Other Flows - Diff State",233,606,6052
49,005,96,000,UT,"Cache County Tot Mig-US & For",2298,5261,52959
49,005,97,000,UT,"Cache County Tot Mig-US",2278,5228,52599
49,005,97,001,UT,"Cache County Tot Mig-Same St",1051,2387,22167
49,005,97,003,UT,"Cache County Tot Mig-Diff St",1227,2841,30431
49,005,98,000,UT,"Cache County Tot Mig-Foreign",20,33,360
49,005,49,005,UT,"Cache County Non-Migrants",21578,61704,776973
49,005,49,035,UT,"Salt Lake County",400,715,7275
49,005,49,003,UT,"Box Elder County",133,342,3488
49,005,49,011,UT,"Davis County",129,329,3211
49,005,49,049,UT,"Utah County",118,301,2330
49,005,49,057,UT,"Weber County",97,235,2328
49,005,16,041,ID,"Franklin County",91,249,2037
49,005,04,013,AZ,"Maricopa County",43,106,1047
49,005,49,053,UT,"Washington County",40,107,1118
49,005,16,019,ID,"Bonneville County",34,83,648
49,005,16,001,ID,"Ada County",32,80,850
49,005,16,005,ID,"Bannock County",30,60,555
49,005,32,003,NV,"Clark County",27,49,499
49,005,06,037,CA,"Los Angeles County",23,46,460
49,005,49,045,UT,"Tooele County",20,63,341
49,005,06,085,CA,"Santa Clara County",17,36,439
49,005,53,033,WA,"King County",17,34,353
49,005,16,065,ID,"Madison County",16,41,239
49,005,49,021,UT,"Iron County",16,44,287
49,005,16,011,ID,"Bingham County",13,38,222
49,005,16,029,ID,"Caribou County",13,30,263
49,005,16,031,ID,"Cassia County",13,24,190
49,005,06,059,CA,"Orange County",12,28,210
49,005,48,201,TX,"Harris County",12,24,167
49,005,56,023,WY,"Lincoln County",12,23,226
49,005,02,020,AK,"Anchorage Borough",11,26,370
49,005,49,007,UT,"Carbon County",11,33,242
49,005,49,039,UT,"Sanpete County",11,26,177
49,005,56,041,WY,"Uinta County",11,28,236
49,005,06,073,CA,"San Diego County",10,26,255
49,005,16,083,ID,"Twin Falls County",10,16,233
49,005,49,047,UT,"Uintah County",10,27,255
49,005,56,037,WY,"Sweetwater County",10,24,209
49,005,58,000,SS,"Other Flows - Same State",66,165,1116
49,005,59,000,DS,"Other Flows - Diff State",770,1770,20722
49,005,59,001,DS,"Other Flows - Northeast",38,81,849
49,005,59,003,DS,"Other Flows - Midwest",147,357,3792
49,005,59,005,DS,"Other Flows - South",174,373,5914
49,005,59,007,DS,"Other Flows - West",411,959,10167
49,005,57,009,FR,"Foreign - Other flows",20,33,360
49,007,96,000,UT,"Carbon County Tot Mig-US & For",409,966,10373
49,007,97,000,UT,"Carbon County Tot Mig-US",409,966,10373
49,007,97,001,UT,"Carbon County Tot Mig-Same St",250,574,6186
49,007,97,003,UT,"Carbon County Tot Mig-Diff St",159,392,4187
49,007,49,007,UT,"Carbon County Non-Migrants",5861,15816,205734
49,007,49,035,UT,"Salt Lake County",90,165,1883
49,007,49,049,UT,"Utah County",44,127,1161
49,007,49,015,UT,"Emery County",33,91,1040
49,007,49,057,UT,"Weber County",16,31,319
49,007,04,013,AZ,"Maricopa County",11,25,262
49,007,49,021,UT,"Iron County",11,27,158
49,007,08,077,CO,"Mesa County",10,23,320
49,007,32,003,NV,"Clark County",10,28,362
49,007,58,000,SS,"Other Flows - Same State",56,133,1625
49,007,59,000,DS,"Other Flows - Diff State",128,316,3243
49,011,96,000,UT,"Davis County Tot Mig-US & For",5989,14421,181946
49,011,97,000,UT,"Davis County Tot Mig-US",5793,13915,176872
49,011,97,001,UT,"Davis County Tot Mig-Same St",3547,7941,100012
49,011,97,003,UT,"Davis County Tot Mig-Diff St",2246,5974,76860
49,011,98,000,UT,"Davis County Tot Mig-Foreign",196,506,5074
49,011,49,011,UT,"Davis County Non-Migrants",60965,176929,2689912
49,011,49,057,UT,"Weber County",1450,3229,38993
49,011,49,035,UT,"Salt Lake County",1368,2699,37539
49,011,49,049,UT,"Utah County",215,549,6256
49,011,57,005,FR,"Foreign - APO/FPO ZIPs",175,450,4448
49,011,04,013,AZ,"Maricopa County",126,333,5460
49,011,49,005,UT,"Cache County",114,311,2923
49,011,49,053,UT,"Washington County",95,255,3215
49,011,32,003,NV,"Clark County",75,181,3000
49,011,49,003,UT,"Box Elder County",74,227,2078
49,011,49,029,UT,"Morgan County",41,135,1627
49,011,49,045,UT,"Tooele County",39,133,1216
49,011,06,037,CA,"Los Angeles County",37,85,935
49,011,16,001,ID,"Ada County",34,100,1092
49,011,49,043,UT,"Summit County",30,73,1302
49,011,08,041,CO,"El Paso County",29,102,962
49,011,04,019,AZ,"Pima County",27,64,954
49,011,53,033,WA,"King County",26,48,809
49,011,06,029,CA,"Kern County",25,53,557
49,011,35,009,NM,"Curry County",25,77,739
49,011,06,073,CA,"San Diego County",23,46,473
49,011,02,090,AK,"Fairbanks North Star",20,67,555
49,011,15,003,HI,"Honolulu County",20,53,814
49,011,48,029,TX,"Bexar County",20,68,1043
49,011,48,439,TX,"Tarrant County",20,55,1173
49,011,49,021,UT,"Iron County",20,39,401
49,011,16,019,ID,"Bonneville County",19,65,737
49,011,56,041,WY,"Uinta County",19,44,506
49,011,06,059,CA,"Orange County",17,32,543
49,011,16,005,ID,"Bannock County",17,56,664
49,011,53,011,WA,"Clark County",17,46,443
49,011,06,071,CA,"San Bernardino Count",16,39,375
49,011,16,027,ID,"Canyon County",16,43,291
49,011,49,039,UT,"Sanpete County",16,41,465
49,011,53,053,WA,"Pierce County",16,42,396
49,011,53,063,WA,"Spokane County",15,40,536
49,011,08,077,CO,"Mesa County",14,37,682
49,011,06,067,CA,"Sacramento County",13,26,263
49,011,28,047,MS,"Harrison County",13,39,373
49,011,41,067,OR,"Washington County",13,30,407
49,011,49,051,UT,"Wasatch County",13,42,1676
49,011,02,020,AK,"Anchorage Borough",12,45,362
49,011,35,001,NM,"Bernalillo County",12,33,503
49,011,53,061,WA,"Snohomish County",12,32,495
49,011,56,037,WY,"Sweetwater County",12,33,493
49,011,06,001,CA,"Alameda County",11,33,429
49,011,08,005,CO,"Arapahoe County",11,30,331
49,011,08,031,CO,"Denver County",11,21,254
49,011,39,113,OH,"Montgomery County",11,28,328
49,011,48,201,TX,"Harris County",11,26,464
49,011,56,023,WY,"Lincoln County",11,25,330
49,011,06,065,CA,"Riverside County",10,28,451
49,011,08,001,CO,"Adams County",10,29,731
49,011,08,069,CO,"Larimer County",10,17,302
49,011,12,091,FL,"Okaloosa County",10,29,307
49,011,13,153,GA,"Houston County",10,30,512
49,011,17,031,IL,"Cook County",10,22,533
49,011,30,063,MT,"Missoula County",10,21,226
49,011,58,000,SS,"Other Flows - Same State",72,208,2320
49,011,59,000,DS,"Other Flows - Diff State",1350,3621,45026
49,011,59,001,DS,"Other Flows - Northeast",113,267,3605
49,011,59,003,DS,"Other Flows - Midwest",305,879,11018
49,011,59,005,DS,"Other Flows - South",474,1255,16486
49,011,59,007,DS,"Other Flows - West",458,1220,13916
49,011,57,009,FR,"Foreign - Other flows",21,56,626
49,013,96,000,UT,"Duchesne County Tot Mig-US & For",270,686,5716
49,013,97,000,UT,"Duchesne County Tot Mig-US",270,686,5716
49,013,97,001,UT,"Duchesne County Tot Mig-Same St",168,396,3879
49,013,97,003,UT,"Duchesne County Tot Mig-Diff St",102,290,1836
49,013,49,013,UT,"Duchesne County Non-Migrants",3591,11383,97713
49,013,49,035,UT,"Salt Lake County",48,100,1201
49,013,49,047,UT,"Uintah County",38,97,704
49,013,49,049,UT,"Utah County",23,45,470
49,013,49,011,UT,"Davis County",13,39,302
49,013,49,005,UT,"Cache County",11,24,180
49,013,58,000,SS,"Other Flows - Same State",35,91,1023
49,013,59,000,DS,"Other Flows - Diff State",102,290,1836
49,015,96,000,UT,"Emery County Tot Mig-US & For",225,534,4901
49,015,97,000,UT,"Emery County Tot Mig-US",225,534,4901
49,015,97,001,UT,"Emery County Tot Mig-Same St",155,360,3241
49,015,97,003,UT,"Emery County Tot Mig-Diff St",70,174,1660
49,015,49,015,UT,"Emery County Non-Migrants",2674,8859,94942
49,015,49,007,UT,"Carbon County",48,123,1018
49,015,49,035,UT,"Salt Lake County",30,66,560
49,015,49,049,UT,"Utah County",28,68,687
49,015,58,000,SS,"Other Flows - Same State",49,103,975
49,015,59,000,DS,"Other Flows - Diff State",70,174,1660
49,017,96,000,UT,"Garfield County Tot Mig-US & For",132,295,2890
49,017,97,000,UT,"Garfield County Tot Mig-US",132,295,2890
49,017,97,001,UT,"Garfield County Tot Mig-Same St",79,177,1730
49,017,97,003,UT,"Garfield County Tot Mig-Diff St",53,118,1160
49,017,49,017,UT,"Garfield County Non-Migrants",1186,3347,30525
49,017,49,021,UT,"Iron County",18,31,285
49,017,49,053,UT,"Washington County",18,37,481
49,017,49,035,UT,"Salt Lake County",12,24,349
49,017,58,000,SS,"Other Flows - Same State",31,85,615
49,017,59,000,DS,"Other Flows - Diff State",53,118,1160
49,019,96,000,UT,"Grand County Tot Mig-US & For",217,424,4615
49,019,97,000,UT,"Grand County Tot Mig-US",217,424,4615
49,019,97,001,UT,"Grand County Tot Mig-Same St",79,163,1604
49,019,97,003,UT,"Grand County Tot Mig-Diff St",138,261,3011
49,019,49,019,UT,"Grand County Non-Migrants",2316,5271,71447
49,019,49,035,UT,"Salt Lake County",26,44,379
49,019,08,077,CO,"Mesa County",13,24,352
49,019,49,037,UT,"San Juan County",13,35,337
49,019,49,049,UT,"Utah County",11,29,334
49,019,58,000,SS,"Other Flows - Same State",29,55,554
49,019,59,000,DS,"Other Flows - Diff State",125,237,2660
49,021,96,000,UT,"Iron County Tot Mig-US & For",800,1858,16600
49,021,97,000,UT,"Iron County Tot Mig-US",800,1858,16600
49,021,97,001,UT,"Iron County Tot Mig-Same St",441,1068,9833
49,021,97,003,UT,"Iron County Tot Mig-Diff St",359,790,6767
49,021,49,021,UT,"Iron County Non-Migrants",6714,19119,210478
49,021,49,053,UT,"Washington County",138,361,3742
