"1996-1997 County To County Migration  Inflows",,,,,,Colorado,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Colorado,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
08,000,96,000,CO,"Total Mig - US & For",173307,318720,5952020
08,000,97,000,CO,"Total Mig - US",170013,312492,5878393
08,000,97,001,CO,"Total Mig - US Same St",87682,158313,2852854
08,000,97,003,CO,"Total Mig - US Diff St",82331,154179,3025539
08,000,98,000,CO,"Total Mig - Foreign",3294,6228,73627
08,001,96,000,CO,"Adams County Tot Mig-US & For",14787,29444,429718
08,001,97,000,CO,"Adams County Tot Mig-US",14696,29249,427837
08,001,97,001,CO,"Adams County Tot Mig-Same St",10106,20036,294344
08,001,97,003,CO,"Adams County Tot Mig-Diff St",4590,9213,133493
08,001,98,000,CO,"Adams County Tot Mig-Foreign",91,195,1881
08,001,08,001,CO,"Adams County Non-Migrants",106945,242759,4036328
08,001,08,031,CO,"Denver County",2861,6214,70533
08,001,08,059,CO,"Jefferson County",2728,5274,88058
08,001,08,005,CO,"Arapahoe County",1711,3357,49150
08,001,08,013,CO,"Boulder County",1292,2301,45136
08,001,08,123,CO,"Weld County",421,872,10875
08,001,08,069,CO,"Larimer County",261,479,8516
08,001,06,037,CA,"Los Angeles County",199,466,4330
08,001,08,041,CO,"El Paso County",172,300,4805
08,001,04,013,AZ,"Maricopa County",163,314,4430
08,001,08,035,CO,"Douglas County",101,186,4015
08,001,06,073,CA,"San Diego County",90,183,1926
08,001,57,005,FR,"Foreign - APO/FPO ZIPs",74,168,1653
08,001,06,059,CA,"Orange County",73,153,2411
08,001,35,001,NM,"Bernalillo County",67,144,2322
08,001,48,141,TX,"El Paso County",65,201,1129
08,001,32,003,NV,"Clark County",63,119,1613
08,001,08,101,CO,"Pueblo County",61,108,1217
08,001,17,031,IL,"Cook County",61,94,2339
08,001,48,201,TX,"Harris County",59,123,1638
08,001,48,113,TX,"Dallas County",55,108,2008
08,001,56,021,WY,"Laramie County",50,83,1274
08,001,06,071,CA,"San Bernardino Count",46,117,1338
