"1996-1997 County To County Migration Inflows",,,,,,Texas,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Texas,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
48,000,96,000,TX,"Total Mig - US & For",517112,1070047,17332630
48,000,97,000,TX,"Total Mig - US",502519,1043264,16991619
48,000,97,001,TX,"Total Mig - US Same St",326758,670888,10346209
48,000,97,003,TX,"Total Mig - US Diff St",175761,372376,6645410
48,000,98,000,TX,"Total Mig - Foreign",14593,26783,341011
48,001,96,000,TX,"Anderson County Tot Mig-US & For",1117,2470,29233
48,001,97,000,TX,"Anderson County Tot Mig-US",1117,2470,29233
48,001,97,001,TX,"Anderson County Tot Mig-Same St",879,1934,20753
48,001,97,003,TX,"Anderson County Tot Mig-Diff St",238,536,8480
48,001,48,001,TX,"Anderson County Non-Migrants",12681,30173,384378
48,001,48,423,TX,"Smith County",82,167,2192
48,001,48,113,TX,"Dallas County",81,182,2300
48,001,48,201,TX,"Harris County",59,123,1361
48,001,48,213,TX,"Henderson County",58,142,1283
48,001,48,225,TX,"Houston County",52,106,717
48,001,48,073,TX,"Cherokee County",49,106,863
48,001,48,439,TX,"Tarrant County",34,73,1007
48,001,48,289,TX,"Leon County",27,71,503
48,001,48,161,TX,"Freestone County",19,38,424
48,001,48,027,TX,"Bell County",17,45,400
48,001,48,309,TX,"Mclennan County",16,30,346
48,001,48,339,TX,"Montgomery County",13,26,207
48,001,48,347,TX,"Nacogdoches County",13,26,194
48,001,48,349,TX,"Navarro County",13,29,252
48,001,48,029,TX,"Bexar County",12,26,319
48,001,48,041,TX,"Brazos County",12,21,250
48,001,48,183,TX,"Gregg County",12,22,431
48,001,48,005,TX,"Angelina County",11,30,291
48,001,48,471,TX,"Walker County",11,20,273
48,001,48,037,TX,"Bowie County",10,19,201
48,001,48,039,TX,"Brazoria County",10,24,229
48,001,48,085,TX,"Collin County",10,30,428
48,001,48,245,TX,"Jefferson County",10,22,302
48,001,58,000,SS,"Other Flows - Same State",248,556,5977
48,001,59,000,DS,"Other Flows - Diff State",238,536,8480
48,001,59,001,DS,"Other Flows - Northeast",14,21,362
48,001,59,003,DS,"Other Flows - Midwest",40,90,1030
48,001,59,005,DS,"Other Flows - South",123,271,5374
48,001,59,007,DS,"Other Flows - West",61,154,1714
48,003,96,000,TX,"Andrews County Tot Mig-US & For",261,680,6532
48,003,97,000,TX,"Andrews County Tot Mig-US",261,680,6532
48,003,97,001,TX,"Andrews County Tot Mig-Same St",196,503,4863
48,003,97,003,TX,"Andrews County Tot Mig-Diff St",65,177,1670
48,003,48,003,TX,"Andrews County Non-Migrants",4073,11056,144392
48,003,48,135,TX,"Ector County",50,116,1080
48,003,48,329,TX,"Midland County",22,63,571
