"1996-1997 County To County Migration Inflows",,,,,,Montana,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Montana,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
30,000,96,000,MT,"Total Mig - US & For",25049,48578,644975
30,000,97,000,MT,"Total Mig - US",24507,47631,637214
30,000,97,001,MT,"Total Mig - US Same St",10480,20430,230041
30,000,97,003,MT,"Total Mig - US Diff St",14027,27201,407173
30,000,98,000,MT,"Total Mig - Foreign",542,947,7761
30,001,96,000,MT,"Beaverhead Coun Tot Mig-US & For",257,501,6873
30,001,97,000,MT,"Beaverhead Coun Tot Mig-US",257,501,6873
30,001,97,001,MT,"Beaverhead Coun Tot Mig-Same St",130,247,2471
30,001,97,003,MT,"Beaverhead Coun Tot Mig-Diff St",127,254,4402
30,001,30,001,MT,"Beaverhead Coun Non-Migrants",2698,6372,79528
30,001,30,057,MT,"Madison County",16,29,283
30,001,30,093,MT,"Silver Bow County",15,26,265
30,001,30,031,MT,"Gallatin County",14,24,248
30,001,30,063,MT,"Missoula County",11,14,147
30,001,30,049,MT,"Lewis And Clark Coun",10,21,284
30,001,58,000,SS,"Other Flows - Same State",64,133,1245
30,001,59,000,DS,"Other Flows - Diff State",127,254,4402
30,001,59,001,DS,"Other Flows - Northeast",12,22,283
30,001,59,003,DS,"Other Flows - Midwest",21,34,415
30,001,59,005,DS,"Other Flows - South",16,41,309
30,001,59,007,DS,"Other Flows - West",78,157,3394
30,003,96,000,MT,"Big Horn County Tot Mig-US & For",228,536,4924
30,003,97,000,MT,"Big Horn County Tot Mig-US",228,536,4924
30,003,97,001,MT,"Big Horn County Tot Mig-Same St",109,225,1846
30,003,97,003,MT,"Big Horn County Tot Mig-Diff St",119,311,3078
30,003,30,003,MT,"Big Horn County Non-Migrants",3159,8491,76041
30,003,30,111,MT,"Yellowstone County",52,110,874
30,003,30,087,MT,"Rosebud County",11,21,206
30,003,56,033,WY,"Sheridan County",11,23,145
30,003,58,000,SS,"Other Flows - Same State",46,94,767
30,003,59,000,DS,"Other Flows - Diff State",108,288,2934
30,005,96,000,MT,"Blaine County Tot Mig-US & For",154,332,3060
30,005,97,000,MT,"Blaine County Tot Mig-US",154,332,3060
30,005,97,001,MT,"Blaine County Tot Mig-Same St",98,205,1841
30,005,97,003,MT,"Blaine County Tot Mig-Diff St",56,127,1219
30,005,30,005,MT,"Blaine County Non-Migrants",2036,5034,45083
30,005,30,041,MT,"Hill County",39,90,828
30,005,58,000,SS,"Other Flows - Same State",59,115,1013
30,005,59,000,DS,"Other Flows - Diff State",56,127,1219
30,007,96,000,MT,"Broadwater Coun Tot Mig-US & For",136,321,3815
30,007,97,000,MT,"Broadwater Coun Tot Mig-US",136,321,3815
30,007,97,001,MT,"Broadwater Coun Tot Mig-Same St",80,205,2278
30,007,97,003,MT,"Broadwater Coun Tot Mig-Diff St",56,116,1537
30,007,30,007,MT,"Broadwater Coun Non-Migrants",1205,2908,31884
30,007,30,049,MT,"Lewis And Clark Coun",24,57,660
30,007,30,031,MT,"Gallatin County",12,28,267
30,007,58,000,SS,"Other Flows - Same State",44,120,1351
30,007,59,000,DS,"Other Flows - Diff State",56,116,1537
30,009,96,000,MT,"Carbon County Tot Mig-US & For",342,685,9741
30,009,97,000,MT,"Carbon County Tot Mig-US",342,685,9741
30,009,97,001,MT,"Carbon County Tot Mig-Same St",159,333,4201
30,009,97,003,MT,"Carbon County Tot Mig-Diff St",183,352,5539
30,009,30,009,MT,"Carbon County Non-Migrants",2962,6628,88519
30,009,30,111,MT,"Yellowstone County",95,197,2743
30,009,56,029,WY,"Park County",21,38,424
30,009,30,095,MT,"Stillwater County",13,34,407
30,009,58,000,SS,"Other Flows - Same State",51,102,1051
30,009,59,000,DS,"Other Flows - Diff State",162,314,5116
30,009,59,001,DS,"Other Flows - Northeast",12,17,361
