"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,000,96,000,CT,"Total Mig - US & For",63324,111236,3291968,#REF!
09,000,97,000,CT,"Total Mig - US",61182,108109,3220539,
09,000,97,001,CT,"Total Mig - US Same St",26368,44801,1123077,
09,000,97,003,CT,"Total Mig - US Diff St",34814,63308,2097461,
09,000,98,000,CT,"Total Mig - Foreign",2142,3127,71429,
09,001,96,000,CT,"Fairfield Count Tot Mig-US & For",15828,28472,1329221,
09,001,97,000,CT,"Fairfield Count Tot Mig-US",15220,27568,1285961,
09,001,97,001,CT,"Fairfield Count Tot Mig-Same St",3388,5664,165733,
09,001,97,003,CT,"Fairfield Count Tot Mig-Diff St",11832,21904,1120228,
09,001,98,000,CT,"Fairfield Count Tot Mig-Foreign",608,904,43261,
09,001,09,001,CT,"Fairfield Count Non-Migrants",301251,640866,26119877,
09,001,09,009,CT,"New Haven County",2144,3710,93830,
09,001,36,119,NY,"Westchester County",1589,3060,146325,
09,001,36,061,NY,"New York County",1111,1926,180363,
09,001,09,005,CT,"Litchfield County",497,819,25657,
09,001,09,003,CT,"Hartford County",442,687,29928,
09,001,36,081,NY,"Queens County",392,765,20765,
09,001,36,047,NY,"Kings County",299,572,17244,
09,001,36,005,NY,"Bronx County",270,559,13263,
09,001,36,059,NY,"Nassau County",261,458,30205,
09,001,25,017,MA,"Middlesex County",227,383,29164,
09,001,17,031,IL,"Cook County",210,413,35546,
09,001,36,079,NY,"Putnam County",192,389,10188,
09,001,36,103,NY,"Suffolk County",188,379,13150,
09,001,06,037,CA,"Los Angeles County",167,313,15787,
09,001,34,003,NJ,"Bergen County",156,292,19126,
09,001,25,025,MA,"Suffolk County",137,174,7554,
09,001,12,099,FL,"Palm Beach County",126,200,9574,
09,001,34,017,NJ,"Hudson County",126,194,15737,
09,001,36,027,NY,"Dutchess County",124,213,6718,
09,001,12,011,FL,"Broward County",119,224,13025,
09,001,09,007,CT,"Middlesex County",100,154,6643,
09,001,09,011,CT,"New London County",98,153,5840,
09,001,12,025,FL,"Dade County",94,184,10149,
09,001,25,021,MA,"Norfolk County",92,159,9853,
09,001,36,087,NY,"Rockland County",92,159,6582,
09,001,34,027,NJ,"Morris County",84,170,9450,
09,001,34,023,NJ,"Middlesex County",81,161,5332,
09,001,48,201,TX,"Harris County",75,178,9995,
09,001,06,059,CA,"Orange County",74,161,9149,
09,001,34,013,NJ,"Essex County",71,155,11058,
09,001,48,113,TX,"Dallas County",71,134,6637,
09,001,13,121,GA,"Fulton County",68,131,8866,
09,001,09,013,CT,"Tolland County",67,87,2977,
09,001,24,031,MD,"Montgomery County",67,148,5797,
09,001,36,055,NY,"Monroe County",67,117,9818,
09,001,34,039,NJ,"Union County",66,135,8856,
09,001,11,001,DC,"District Of Columbia",64,89,4132,
09,001,04,013,AZ,"Maricopa County",63,121,4147,
09,001,06,075,CA,"San Francisco County",60,85,5324,
09,001,42,003,PA,"Allegheny County",60,118,5772,
09,001,36,071,NY,"Orange County",57,92,2413,
09,001,37,183,NC,"Wake County",57,137,8682,
09,001,51,059,VA,"Fairfax County",57,112,5487,
09,001,06,073,CA,"San Diego County",54,99,3241,
09,001,17,043,IL,"Du Page County",53,153,7317,
09,001,12,103,FL,"Pinellas County",52,71,12507,
09,001,42,101,PA,"Philadelphia County",52,78,1781,
09,001,34,025,NJ,"Monmouth County",51,108,4947,
09,001,06,085,CA,"Santa Clara County",49,97,11826,
09,001,13,089,GA,"De Kalb County",49,78,2728,
09,001,44,007,RI,"Providence County",48,76,1541,
09,001,37,119,NC,"Mecklenburg County",47,102,9405,
09,001,53,033,WA,"King County",47,95,6424,
09,001,25,009,MA,"Essex County",46,103,3795,
09,001,36,085,NY,"Richmond County",45,96,3221,
09,001,25,013,MA,"Hampden County",44,64,1623,
09,001,25,027,MA,"Worcester County",44,72,2642,
09,001,34,031,NJ,"Passaic County",44,93,2918,
09,001,42,091,PA,"Montgomery County",44,82,4711,
09,001,34,021,NJ,"Mercer County",40,79,5353,
09,001,34,035,NJ,"Somerset County",40,82,4975,
09,001,42,029,PA,"Chester County",40,89,6270,
09,001,51,013,VA,"Arlington County",39,46,2740,
09,001,39,035,OH,"Cuyahoga County",37,67,6087,
09,001,42,017,PA,"Bucks County",37,80,4232,
09,001,12,057,FL,"Hillsborough County",36,61,1694,
09,001,12,095,FL,"Orange County",35,69,1392,
09,001,13,067,GA,"Cobb County",35,61,2283,
09,001,17,097,IL,"Lake County",35,108,7327,
09,001,33,011,NH,"Hillsborough County",34,55,2585,
09,001,26,125,MI,"Oakland County",32,69,3593,
09,001,27,053,MN,"Hennepin County",32,68,4716,
09,001,34,029,NJ,"Ocean County",32,50,2326,
09,001,42,045,PA,"Delaware County",32,71,5556,
09,001,06,013,CA,"Contra Costa County",31,96,10228,
09,001,12,115,FL,"Sarasota County",31,51,1854,
09,001,25,023,MA,"Plymouth County",31,62,2347,
09,001,39,061,OH,"Hamilton County",31,63,24624,
09,001,57,005,FR,"Foreign - APO/FPO ZIPs",31,43,637,
09,001,48,439,TX,"Tarrant County",30,75,3215,
09,001,24,005,MD,"Baltimore County",29,72,4789,
09,001,25,001,MA,"Barnstable County",29,41,1243,
09,001,36,001,NY,"Albany County",28,48,1324,
09,001,25,005,MA,"Bristol County",27,45,1221,
09,001,29,189,MO,"St Louis County",27,62,3436,
09,001,36,029,NY,"Erie County",27,42,1667,
