"1997-1998 County To County Migration  Inflows",,,,,,"New Hampshire",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate
"New Hampshire",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
33,000,96,000,NH,"Total Mig - US & For",36309,65509,1520503
33,000,97,000,NH,"Total Mig - US",35751,64686,1505571
33,000,97,001,NH,"Total Mig - US Same St",13605,23823,487803
33,000,97,003,NH,"Total Mig - US Diff St",22146,40863,1017767
33,000,98,000,NH,"Total Mig - Foreign",558,823,14932
33,001,96,000,NH,"Belknap County Tot Mig-US & For",1856,3494,80245
33,001,97,000,NH,"Belknap County Tot Mig-US",1856,3494,80245
33,001,97,001,NH,"Belknap County Tot Mig-Same St",1049,1977,43914
33,001,97,003,NH,"Belknap County Tot Mig-Diff St",807,1517,36331
33,001,33,001,NH,"Belknap County Non-Migrants",20947,44825,924153
33,001,33,013,NH,"Merrimack County",461,870,15452
33,001,33,011,NH,"Hillsborough County",167,323,9106
33,001,33,009,NH,"Grafton County",122,222,3259
33,001,33,015,NH,"Rockingham County",96,174,10128
33,001,33,017,NH,"Strafford County",96,208,3145
33,001,25,017,MA,"Middlesex County",83,158,4670
33,001,33,003,NH,"Carroll County",64,108,1872
33,001,25,009,MA,"Essex County",51,92,2299
33,001,25,023,MA,"Plymouth County",27,48,1124
33,001,25,021,MA,"Norfolk County",25,48,1004
33,001,25,027,MA,"Worcester County",20,44,706
33,001,23,031,ME,"York County",19,40,583
33,001,25,025,MA,"Suffolk County",18,32,1674
33,001,33,019,NH,"Sullivan County",17,22,341
33,001,12,071,FL,"Lee County",14,25,539
33,001,33,007,NH,"Coos County",14,26,302
33,001,09,003,CT,"Hartford County",13,18,626
33,001,23,005,ME,"Cumberland County",11,18,282
33,001,09,009,CT,"New Haven County",10,23,540
33,001,58,000,SS,"Other Flows - Same State",12,24,310
33,001,59,000,DS,"Other Flows - Diff State",516,971,22284
33,001,59,001,DS,"Other Flows - Northeast",190,346,8358
33,001,59,003,DS,"Other Flows - Midwest",51,105,1762
33,001,59,005,DS,"Other Flows - South",183,360,9253
33,001,59,007,DS,"Other Flows - West",92,160,2912
33,003,96,000,NH,"Carroll County Tot Mig-US & For",1364,2401,64917
33,003,97,000,NH,"Carroll County Tot Mig-US",1350,2379,64527
33,003,97,001,NH,"Carroll County Tot Mig-Same St",443,829,19977
33,003,97,003,NH,"Carroll County Tot Mig-Diff St",907,1550,44551
33,003,98,000,NH,"Carroll County Tot Mig-Foreign",14,22,389
33,003,33,003,NH,"Carroll County Non-Migrants",15300,31713,645597
33,003,33,017,NH,"Strafford County",140,283,5835
33,003,25,009,MA,"Essex County",92,172,4616
33,003,25,017,MA,"Middlesex County",84,147,6416
33,003,33,015,NH,"Rockingham County",71,126,3351
33,003,33,001,NH,"Belknap County",62,138,2832
33,003,23,017,ME,"Oxford County",55,79,1095
33,003,23,031,ME,"York County",54,94,1549
33,003,33,011,NH,"Hillsborough County",50,88,4883
33,003,33,009,NH,"Grafton County",41,64,1237
33,003,33,007,NH,"Coos County",34,51,603
33,003,33,013,NH,"Merrimack County",33,57,948
33,003,25,025,MA,"Suffolk County",32,51,1372
33,003,25,021,MA,"Norfolk County",31,51,1782
33,003,23,005,ME,"Cumberland County",30,43,1011
33,003,25,023,MA,"Plymouth County",27,41,1043
33,003,44,007,RI,"Providence County",19,31,833
33,003,25,005,MA,"Bristol County",14,19,736
33,003,25,027,MA,"Worcester County",14,23,400
33,003,09,001,CT,"Fairfield County",10,14,390
33,003,58,000,SS,"Other Flows - Same State",12,22,288
33,003,59,000,DS,"Other Flows - Diff State",445,785,23309
33,003,59,001,DS,"Other Flows - Northeast",209,372,15448
33,003,59,003,DS,"Other Flows - Midwest",24,42,825
33,003,59,005,DS,"Other Flows - South",140,250,4488
33,003,59,007,DS,"Other Flows - West",72,121,2548
33,003,57,009,FR,"Foreign - Other flows",14,22,389
33,005,96,000,NH,"Cheshire County Tot Mig-US & For",1736,3082,61458
33,005,97,000,NH,"Cheshire County Tot Mig-US",1718,3052,60902
33,005,97,001,NH,"Cheshire County Tot Mig-Same St",483,829,14619
33,005,97,003,NH,"Cheshire County Tot Mig-Diff St",1235,2223,46283
33,005,98,000,NH,"Cheshire County Tot Mig-Foreign",18,30,556
33,005,33,005,NH,"Cheshire County Non-Migrants",25924,55974,1086587
33,005,33,011,NH,"Hillsborough County",249,425,7661
33,005,50,025,VT,"Windham County",187,324,5576
33,005,33,019,NH,"Sullivan County",79,168,2805
33,005,25,027,MA,"Worcester County",61,110,1987
33,005,25,017,MA,"Middlesex County",51,94,2349
33,005,25,011,MA,"Franklin County",39,61,962
33,005,33,015,NH,"Rockingham County",36,58,1086
33,005,33,013,NH,"Merrimack County",35,58,933
33,005,33,009,NH,"Grafton County",30,37,684
33,005,25,015,MA,"Hampshire County",25,34,886
33,005,50,027,VT,"Windsor County",22,40,3067
33,005,25,013,MA,"Hampden County",20,32,779
33,005,25,021,MA,"Norfolk County",20,39,1024
33,005,09,003,CT,"Hartford County",18,42,745
33,005,33,017,NH,"Strafford County",18,28,624
33,005,50,007,VT,"Chittenden County",18,35,693
33,005,33,007,NH,"Coos County",15,23,300
33,005,25,009,MA,"Essex County",14,31,389
33,005,09,001,CT,"Fairfield County",12,22,706
33,005,09,009,CT,"New Haven County",12,22,513
33,005,25,025,MA,"Suffolk County",11,12,249
33,005,23,005,ME,"Cumberland County",10,16,476
33,005,58,000,SS,"Other Flows - Same State",21,32,527
33,005,59,000,DS,"Other Flows - Diff State",715,1309,25879
33,005,59,001,DS,"Other Flows - Northeast",303,545,10752
33,005,59,003,DS,"Other Flows - Midwest",82,189,4504
33,005,59,005,DS,"Other Flows - South",214,371,7403
33,005,59,007,DS,"Other Flows - West",116,204,3220
33,005,57,009,FR,"Foreign - Other flows",18,30,556
33,007,96,000,NH,"Coos County Tot Mig-US & For",586,1076,15759
33,007,97,000,NH,"Coos County Tot Mig-US",586,1076,15759
33,007,97,001,NH,"Coos County Tot Mig-Same St",252,480,7175
33,007,97,003,NH,"Coos County Tot Mig-Diff St",334,596,8584
33,007,33,007,NH,"Coos County Non-Migrants",12441,26784,393763
33,007,33,009,NH,"Grafton County",100,191,2538
33,007,33,011,NH,"Hillsborough County",50,91,1401
33,007,50,009,VT,"Essex County",28,60,582
33,007,33,015,NH,"Rockingham County",25,45,839
33,007,33,013,NH,"Merrimack County",24,52,792
33,007,33,017,NH,"Strafford County",17,36,929
33,007,25,017,MA,"Middlesex County",15,29,574
33,007,33,003,NH,"Carroll County",15,32,260
33,007,33,001,NH,"Belknap County",11,17,215
33,007,23,005,ME,"Cumberland County",10,14,175
33,007,50,005,VT,"Caledonia County",10,23,149
33,007,58,000,SS,"Other Flows - Same State",10,16,200
33,007,59,000,DS,"Other Flows - Diff State",271,470,7104
33,007,59,001,DS,"Other Flows - Northeast",148,255,3967
33,007,59,003,DS,"Other Flows - Midwest",21,35,542
33,007,59,005,DS,"Other Flows - South",70,121,1868
33,007,59,007,DS,"Other Flows - West",32,59,727
33,009,96,000,NH,"Grafton County Tot Mig-US & For",2627,4468,103749
33,009,97,000,NH,"Grafton County Tot Mig-US",2528,4343,102847
33,009,97,001,NH,"Grafton County Tot Mig-Same St",755,1269,20574
33,009,97,003,NH,"Grafton County Tot Mig-Diff St",1773,3074,82273
33,009,98,000,NH,"Grafton County Tot Mig-Foreign",99,125,903
33,009,33,009,NH,"Grafton County Non-Migrants",28579,60404,1338396
33,009,50,027,VT,"Windsor County",196,337,7047
33,009,33,013,NH,"Merrimack County",140,237,3764
33,009,33,001,NH,"Belknap County",132,246,3386
33,009,33,019,NH,"Sullivan County",129,213,3465
33,009,33,007,NH,"Coos County",103,192,2201
33,009,33,011,NH,"Hillsborough County",102,154,3714
33,009,25,017,MA,"Middlesex County",101,170,4480
33,009,50,017,VT,"Orange County",86,166,2939
33,009,33,015,NH,"Rockingham County",71,103,2316
33,009,50,005,VT,"Caledonia County",55,99,1475
33,009,25,009,MA,"Essex County",39,69,7384
33,009,25,021,MA,"Norfolk County",37,59,2706
33,009,25,025,MA,"Suffolk County",35,49,1715
33,009,36,061,NY,"New York County",34,44,2607
33,009,33,017,NH,"Strafford County",33,52,682
33,009,33,003,NH,"Carroll County",27,43,485
33,009,25,027,MA,"Worcester County",25,53,1031
33,009,09,003,CT,"Hartford County",24,43,1352
33,009,50,007,VT,"Chittenden County",21,31,515
33,009,17,031,IL,"Cook County",19,37,1818
33,009,06,037,CA,"Los Angeles County",18,26,1475
33,009,23,005,ME,"Cumberland County",18,33,699
33,009,44,007,RI,"Providence County",18,30,521
33,009,50,023,VT,"Washington County",18,26,523
33,009,09,001,CT,"Fairfield County",17,37,5375
33,009,09,009,CT,"New Haven County",17,35,657
33,009,25,005,MA,"Bristol County",17,34,695
33,009,25,001,MA,"Barnstable County",16,19,441
33,009,25,015,MA,"Hampshire County",16,25,553
33,009,25,013,MA,"Hampden County",15,26,512
33,009,25,023,MA,"Plymouth County",14,22,559
33,009,36,119,NY,"Westchester County",14,19,786
33,009,50,025,VT,"Windham County",14,27,398
33,009,24,031,MD,"Montgomery County",13,17,556
33,009,09,007,CT,"Middlesex County",11,20,583
33,009,58,000,SS,"Other Flows - Same State",18,29,561
33,009,59,000,DS,"Other Flows - Diff State",865,1521,32867
33,009,59,001,DS,"Other Flows - Northeast",335,558,13171
33,009,59,003,DS,"Other Flows - Midwest",103,207,3634
33,009,59,005,DS,"Other Flows - South",256,484,9522
33,009,59,007,DS,"Other Flows - West",171,272,6539
33,009,57,009,FR,"Foreign - Other flows",99,125,903
33,011,96,000,NH,"Hillsborough Co Tot Mig-US & For",10409,19009,470941
33,011,97,000,NH,"Hillsborough Co Tot Mig-US",10237,18742,465367
33,011,97,001,NH,"Hillsborough Co Tot Mig-Same St",3210,5416,113060
33,011,97,003,NH,"Hillsborough Co Tot Mig-Diff St",7027,13326,352306
33,011,98,000,NH,"Hillsborough Co Tot Mig-Foreign",172,267,5574
33,011,33,011,NH,"Hillsborough Co Non-Migrants",133497,294473,6889981
33,011,25,017,MA,"Middlesex County",1577,2857,81947
33,011,33,015,NH,"Rockingham County",1458,2464,55683
33,011,33,013,NH,"Merrimack County",889,1510,28678
33,011,25,009,MA,"Essex County",397,722,17174
33,011,33,005,NH,"Cheshire County",277,520,8618
33,011,25,025,MA,"Suffolk County",240,369,14052
33,011,33,017,NH,"Strafford County",208,318,9712
33,011,25,027,MA,"Worcester County",192,354,10074
33,011,25,021,MA,"Norfolk County",159,273,8665
33,011,33,001,NH,"Belknap County",123,197,3450
33,011,33,009,NH,"Grafton County",100,157,2917
33,011,25,005,MA,"Bristol County",73,133,2951
33,011,23,005,ME,"Cumberland County",72,119,2889
33,011,09,003,CT,"Hartford County",64,114,3126
33,011,25,023,MA,"Plymouth County",63,93,4029
33,011,33,007,NH,"Coos County",61,92,1303
33,011,23,019,ME,"Penobscot County",60,91,1755
33,011,44,007,RI,"Providence County",60,97,2296
33,011,23,031,ME,"York County",57,104,1670
33,011,09,001,CT,"Fairfield County",55,118,6160
33,011,50,007,VT,"Chittenden County",55,94,2131
33,011,33,019,NH,"Sullivan County",54,90,1461
33,011,57,005,FR,"Foreign - APO/FPO ZIPs",54,105,1762
33,011,09,009,CT,"New Haven County",50,82,1875
33,011,25,001,MA,"Barnstable County",49,82,1639
33,011,12,103,FL,"Pinellas County",48,88,2241
33,011,36,103,NY,"Suffolk County",47,117,2916
33,011,25,013,MA,"Hampden County",43,92,1856
33,011,04,013,AZ,"Maricopa County",42,101,1919
33,011,06,037,CA,"Los Angeles County",42,81,2701
33,011,48,113,TX,"Dallas County",39,80,5742
33,011,48,439,TX,"Tarrant County",38,99,4856
33,011,17,031,IL,"Cook County",37,66,2083
33,011,36,061,NY,"New York County",37,55,3087
33,011,36,067,NY,"Onondaga County",37,65,2238
33,011,06,073,CA,"San Diego County",35,62,1732
33,011,12,011,FL,"Broward County",35,76,1437
33,011,51,059,VA,"Fairfax County",35,68,2599
33,011,49,035,UT,"Salt Lake County",33,99,4356
33,011,12,057,FL,"Hillsborough County",32,65,1102
33,011,12,095,FL,"Orange County",32,54,1053
33,011,12,099,FL,"Palm Beach County",31,67,1265
