"1997-1998 County To County Migration  Outflows",,,,,,Utah,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Utah,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
49,000,96,000,UT,"Total Mig - US & For",49891,112268,1720079
49,000,97,000,UT,"Total Mig - US",49258,110909,1701654
49,000,97,001,UT,"Total Mig - US Same St",22976,51818,726646
49,000,97,003,UT,"Total Mig - US Diff St",26282,59091,975008
49,000,98,000,UT,"Total Mig - Foreign",633,1359,18426
49,001,96,000,UT,"Beaver County Tot Mig-US & For",146,379,4205
49,001,97,000,UT,"Beaver County Tot Mig-US",146,379,4205
49,001,97,001,UT,"Beaver County Tot Mig-Same St",77,215,2166
49,001,97,003,UT,"Beaver County Tot Mig-Diff St",69,164,2039
49,001,49,001,UT,"Beaver County Non-Migrants",1522,4436,46608
49,001,49,021,UT,"Iron County",15,30,313
49,001,32,003,NV,"Clark County",12,21,295
49,001,49,035,UT,"Salt Lake County",12,27,382
49,001,49,053,UT,"Washington County",11,24,240
49,001,58,000,SS,"Other Flows - Same State",39,134,1231
49,001,59,000,DS,"Other Flows - Diff State",57,143,1744
49,003,96,000,UT,"Box Elder Count Tot Mig-US & For",838,1926,24103
49,003,97,000,UT,"Box Elder Count Tot Mig-US",838,1926,24103
49,003,97,001,UT,"Box Elder Count Tot Mig-Same St",590,1315,16481
49,003,97,003,UT,"Box Elder Count Tot Mig-Diff St",248,611,7622
49,003,49,003,UT,"Box Elder Count Non-Migrants",12050,35075,489024
49,003,49,057,UT,"Weber County",178,406,4660
49,003,49,005,UT,"Cache County",171,388,5495
49,003,49,035,UT,"Salt Lake County",94,162,2015
49,003,49,011,UT,"Davis County",80,192,2443
49,003,49,049,UT,"Utah County",34,85,952
49,003,16,071,ID,"Oneida County",15,36,439
49,003,32,003,NV,"Clark County",15,25,526
49,003,04,013,AZ,"Maricopa County",12,35,295
49,003,58,000,SS,"Other Flows - Same State",33,82,915
49,003,59,000,DS,"Other Flows - Diff State",206,515,6361
49,005,96,000,UT,"Cache County Tot Mig-US & For",2622,5883,65576
49,005,97,000,UT,"Cache County Tot Mig-US",2600,5846,65125
49,005,97,001,UT,"Cache County Tot Mig-Same St",1134,2536,27868
49,005,97,003,UT,"Cache County Tot Mig-Diff St",1466,3310,37258
49,005,98,000,UT,"Cache County Tot Mig-Foreign",22,37,451
49,005,49,005,UT,"Cache County Non-Migrants",22880,64174,899855
49,005,49,035,UT,"Salt Lake County",420,789,9287
49,005,49,011,UT,"Davis County",178,455,4712
49,005,49,049,UT,"Utah County",143,345,3450
49,005,49,057,UT,"Weber County",117,244,3236
49,005,49,003,UT,"Box Elder County",115,316,3358
49,005,16,041,ID,"Franklin County",98,257,2555
49,005,04,013,AZ,"Maricopa County",46,110,1419
49,005,32,003,NV,"Clark County",38,82,784
49,005,53,033,WA,"King County",37,67,760
49,005,16,019,ID,"Bonneville County",36,77,540
49,005,49,053,UT,"Washington County",35,71,840
49,005,16,001,ID,"Ada County",32,66,708
49,005,16,005,ID,"Bannock County",30,79,671
49,005,49,045,UT,"Tooele County",25,70,796
49,005,06,037,CA,"Los Angeles County",24,55,637
49,005,16,065,ID,"Madison County",19,50,454
49,005,16,031,ID,"Cassia County",18,38,255
49,005,06,073,CA,"San Diego County",17,35,513
49,005,16,011,ID,"Bingham County",17,25,366
49,005,16,029,ID,"Caribou County",17,43,344
49,005,06,085,CA,"Santa Clara County",16,25,399
49,005,06,059,CA,"Orange County",14,42,353
49,005,06,067,CA,"Sacramento County",14,24,294
49,005,56,023,WY,"Lincoln County",14,27,341
49,005,04,005,AZ,"Coconino County",13,31,249
49,005,41,067,OR,"Washington County",13,24,360
49,005,16,083,ID,"Twin Falls County",12,32,275
49,005,49,021,UT,"Iron County",12,32,415
49,005,49,039,UT,"Sanpete County",12,38,279
49,005,16,007,ID,"Bear Lake County",11,28,229
49,005,16,027,ID,"Canyon County",11,32,333
49,005,30,031,MT,"Gallatin County",11,19,199
49,005,04,017,AZ,"Navajo County",10,19,106
49,005,04,019,AZ,"Pima County",10,21,218
49,005,48,201,TX,"Harris County",10,18,187
49,005,49,047,UT,"Uintah County",10,22,264
49,005,53,053,WA,"Pierce County",10,21,202
49,005,58,000,SS,"Other Flows - Same State",67,154,1231
49,005,59,000,DS,"Other Flows - Diff State",868,1963,23506
49,005,59,001,DS,"Other Flows - Northeast",65,124,2113
49,005,59,003,DS,"Other Flows - Midwest",178,422,4969
49,005,59,005,DS,"Other Flows - South",203,483,5720
49,005,59,007,DS,"Other Flows - West",422,934,10704
49,005,57,009,FR,"Foreign - Other flows",22,37,451
49,007,96,000,UT,"Carbon County Tot Mig-US & For",513,1132,13715
49,007,97,000,UT,"Carbon County Tot Mig-US",513,1132,13715
49,007,97,001,UT,"Carbon County Tot Mig-Same St",308,668,7133
49,007,97,003,UT,"Carbon County Tot Mig-Diff St",205,464,6582
49,007,49,007,UT,"Carbon County Non-Migrants",6101,16077,233131
49,007,49,035,UT,"Salt Lake County",106,198,2281
49,007,49,049,UT,"Utah County",50,99,1386
49,007,49,015,UT,"Emery County",33,87,694
49,007,08,077,CO,"Mesa County",18,43,742
49,007,49,057,UT,"Weber County",16,33,549
49,007,49,005,UT,"Cache County",15,34,226
49,007,49,011,UT,"Davis County",15,39,445
49,007,08,029,CO,"Delta County",13,32,472
49,007,49,021,UT,"Iron County",10,22,198
49,007,58,000,SS,"Other Flows - Same State",63,156,1355
49,007,59,000,DS,"Other Flows - Diff State",174,389,5368
49,009,96,000,UT,"Daggett County Tot Mig-US & For",32,78,1141
49,009,97,000,UT,"Daggett County Tot Mig-US",32,78,1141
49,009,97,001,UT,"Daggett County Tot Mig-Same St",14,34,453
49,009,97,003,UT,"Daggett County Tot Mig-Diff St",18,44,687
49,009,49,009,UT,"Daggett County Non-Migrants",211,583,7810
49,009,58,000,SS,"Other Flows - Same State",14,34,453
49,009,59,000,DS,"Other Flows - Diff State",18,44,687
49,011,96,000,UT,"Davis County Tot Mig-US & For",6589,15151,231718
49,011,97,000,UT,"Davis County Tot Mig-US",6361,14579,226263
49,011,97,001,UT,"Davis County Tot Mig-Same St",3774,8096,113654
49,011,97,003,UT,"Davis County Tot Mig-Diff St",2587,6483,112609
49,011,98,000,UT,"Davis County Tot Mig-Foreign",228,572,5455
49,011,49,011,UT,"Davis County Non-Migrants",66218,187598,3266610
49,011,49,057,UT,"Weber County",1578,3485,46416
49,011,49,035,UT,"Salt Lake County",1450,2722,42764
49,011,49,049,UT,"Utah County",222,562,7424
49,011,57,005,FR,"Foreign - APO/FPO ZIPs",212,530,5081
49,011,49,005,UT,"Cache County",134,295,3304
49,011,04,013,AZ,"Maricopa County",108,274,4010
49,011,32,003,NV,"Clark County",104,220,3296
49,011,49,003,UT,"Box Elder County",91,276,2805
49,011,49,053,UT,"Washington County",79,180,3073
49,011,49,045,UT,"Tooele County",62,161,2368
49,011,53,033,WA,"King County",59,140,2634
49,011,16,001,ID,"Ada County",50,147,2133
49,011,06,037,CA,"Los Angeles County",48,99,1494
49,011,08,041,CO,"El Paso County",34,86,1105
49,011,49,029,UT,"Morgan County",34,91,1749
49,011,04,019,AZ,"Pima County",29,49,1094
49,011,48,029,TX,"Bexar County",29,90,952
49,011,06,073,CA,"San Diego County",27,66,1425
49,011,06,071,CA,"San Bernardino Count",26,73,870
49,011,49,043,UT,"Summit County",25,51,958
49,011,16,019,ID,"Bonneville County",24,84,924
49,011,12,091,FL,"Okaloosa County",22,63,688
49,011,16,005,ID,"Bannock County",22,54,557
49,011,53,053,WA,"Pierce County",22,50,1010
49,011,06,059,CA,"Orange County",21,51,701
49,011,41,067,OR,"Washington County",21,56,765
49,011,41,051,OR,"Multnomah County",19,38,443
49,011,53,063,WA,"Spokane County",19,51,558
49,011,32,031,NV,"Washoe County",18,44,690
49,011,48,201,TX,"Harris County",18,44,1017
49,011,08,005,CO,"Arapahoe County",17,52,2412
49,011,56,041,WY,"Uinta County",17,38,471
49,011,40,109,OK,"Oklahoma County",16,47,663
49,011,48,439,TX,"Tarrant County",16,50,987
49,011,06,013,CA,"Contra Costa County",15,30,680
49,011,06,085,CA,"Santa Clara County",15,30,1797
49,011,15,003,HI,"Honolulu County",15,34,510
49,011,16,027,ID,"Canyon County",15,39,298
49,011,06,095,CA,"Solano County",14,33,678
49,011,08,059,CO,"Jefferson County",14,30,695
49,011,51,059,VA,"Fairfax County",14,44,1332
49,011,08,031,CO,"Denver County",13,25,426
49,011,16,039,ID,"Elmore County",13,37,445
49,011,48,113,TX,"Dallas County",13,29,493
49,011,49,007,UT,"Carbon County",13,38,390
49,011,49,013,UT,"Duchesne County",13,35,258
49,011,53,011,WA,"Clark County",13,34,809
49,011,02,020,AK,"Anchorage Borough",12,29,361
49,011,06,001,CA,"Alameda County",12,26,341
49,011,06,067,CA,"Sacramento County",12,28,246
49,011,08,035,CO,"Douglas County",12,46,1150
49,011,12,009,FL,"Brevard County",12,33,804
49,011,16,041,ID,"Franklin County",12,38,293
49,011,25,017,MA,"Middlesex County",12,27,600
49,011,48,121,TX,"Denton County",12,26,640
49,011,49,021,UT,"Iron County",12,31,322
49,011,49,039,UT,"Sanpete County",12,37,325
49,011,49,047,UT,"Uintah County",12,35,385
49,011,39,113,OH,"Montgomery County",11,27,438
49,011,41,005,OR,"Clackamas County",11,23,894
49,011,53,061,WA,"Snohomish County",11,31,381
49,011,06,065,CA,"Riverside County",10,23,242
49,011,06,083,CA,"Santa Barbara County",10,23,538
49,011,06,111,CA,"Ventura County",10,26,403
49,011,20,091,KS,"Johnson County",10,25,446
49,011,32,007,NV,"Elko County",10,12,375
49,011,35,001,NM,"Bernalillo County",10,23,394
49,011,58,000,SS,"Other Flows - Same State",37,97,1115
49,011,59,000,DS,"Other Flows - Diff State",1458,3686,64999
49,011,59,001,DS,"Other Flows - Northeast",132,299,4232
49,011,59,003,DS,"Other Flows - Midwest",342,841,12829
49,011,59,005,DS,"Other Flows - South",507,1336,31318
49,011,59,007,DS,"Other Flows - West",477,1210,16621
49,011,57,009,FR,"Foreign - Other flows",16,42,375
49,013,96,000,UT,"Duchesne County Tot Mig-US & For",338,725,7758
49,013,97,000,UT,"Duchesne County Tot Mig-US",338,725,7758
49,013,97,001,UT,"Duchesne County Tot Mig-Same St",236,486,5138
49,013,97,003,UT,"Duchesne County Tot Mig-Diff St",102,239,2620
49,013,49,013,UT,"Duchesne County Non-Migrants",3792,11560,117326
49,013,49,035,UT,"Salt Lake County",69,115,1474
49,013,49,047,UT,"Uintah County",64,146,1382
49,013,49,049,UT,"Utah County",27,53,666
49,013,49,005,UT,"Cache County",18,36,281
49,013,49,011,UT,"Davis County",13,30,303
49,013,49,053,UT,"Washington County",13,34,293
49,013,32,003,NV,"Clark County",10,22,287
49,013,58,000,SS,"Other Flows - Same State",32,72,740
49,013,59,000,DS,"Other Flows - Diff State",92,217,2333
49,015,96,000,UT,"Emery County Tot Mig-US & For",224,562,4938
49,015,97,000,UT,"Emery County Tot Mig-US",224,562,4938
49,015,97,001,UT,"Emery County Tot Mig-Same St",158,405,3549
49,015,97,003,UT,"Emery County Tot Mig-Diff St",66,157,1389
49,015,49,015,UT,"Emery County Non-Migrants",2920,9157,110153
49,015,49,007,UT,"Carbon County",47,121,1168
49,015,49,035,UT,"Salt Lake County",42,88,862
49,015,49,049,UT,"Utah County",14,47,350
49,015,58,000,SS,"Other Flows - Same State",55,149,1168
49,015,59,000,DS,"Other Flows - Diff State",66,157,1389
49,017,96,000,UT,"Garfield County Tot Mig-US & For",124,274,34867
49,017,97,000,UT,"Garfield County Tot Mig-US",124,274,34867
49,017,97,001,UT,"Garfield County Tot Mig-Same St",70,160,1589
49,017,97,003,UT,"Garfield County Tot Mig-Diff St",54,114,33277
