"1998 - 1999 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Kansas,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
20,000,96,000,KS,"Total Mig - US & For",73621,148305,2493261
20,000,97,000,KS,"Total Mig - US",71279,143986,2444706
20,000,97,001,KS,"Total Mig - US Same St",34304,66586,1043224
20,000,97,003,KS,"Total Mig - US Diff St",36975,77400,1401482
20,000,98,000,KS,"Total Mig - Foreign",2342,4319,48554
20,001,96,000,KS,"Allen County Tot Mig-US & For",308,658,6998
20,001,97,000,KS,"Allen County Tot Mig-US",308,658,6998
20,001,97,001,KS,"Allen County Tot Mig-Same St",201,437,4634
20,001,97,003,KS,"Allen County Tot Mig-Diff St",107,221,2364
20,001,20,001,KS,"Allen County Non-Migrants",4761,11006,156378
20,001,20,133,KS,"Neosho County",43,88,966
20,001,20,003,KS,"Anderson County",24,53,448
20,001,20,011,KS,"Bourbon County",15,41,434
20,001,20,091,KS,"Johnson County",13,30,554
20,001,20,207,KS,"Woodson County",11,20,254
20,001,20,037,KS,"Crawford County",10,24,257
20,001,20,173,KS,"Sedgwick County",10,16,157
20,001,58,000,SS,"Other Flows - Same State",75,165,1563
20,001,59,000,DS,"Other Flows - Diff State",107,221,2364
20,003,96,000,KS,"Anderson County Tot Mig-US & For",211,464,5951
20,003,97,000,KS,"Anderson County Tot Mig-US",211,464,5951
20,003,97,001,KS,"Anderson County Tot Mig-Same St",145,315,3808
20,003,97,003,KS,"Anderson County Tot Mig-Diff St",66,149,2143
20,003,20,003,KS,"Anderson County Non-Migrants",2737,6476,86989
20,003,20,059,KS,"Franklin County",37,84,1012
20,003,20,091,KS,"Johnson County",22,40,810
20,003,20,001,KS,"Allen County",13,32,356
20,003,20,209,KS,"Wyandotte County",11,27,262
20,003,20,121,KS,"Miami County",10,20,166
20,003,58,000,SS,"Other Flows - Same State",52,112,1202
20,003,59,000,DS,"Other Flows - Diff State",66,149,2143
20,005,96,000,KS,"Atchison County Tot Mig-US & For",353,750,10532
20,005,97,000,KS,"Atchison County Tot Mig-US",353,750,10532
20,005,97,001,KS,"Atchison County Tot Mig-Same St",175,348,4833
20,005,97,003,KS,"Atchison County Tot Mig-Diff St",178,402,5700
20,005,20,005,KS,"Atchison County Non-Migrants",5554,13081,211702
20,005,20,103,KS,"Leavenworth County",33,75,742
20,005,29,021,MO,"Buchanan County",30,73,910
20,005,20,087,KS,"Jefferson County",19,41,591
20,005,20,177,KS,"Shawnee County",16,33,553
20,005,20,013,KS,"Brown County",14,28,275
20,005,20,091,KS,"Johnson County",13,22,431
20,005,20,085,KS,"Jackson County",10,22,199
