"1998 - 1999 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
SouthDakota,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
46,000,96,000,SD,"Total Mig - US & For",22281,43157,745167
46,000,97,000,SD,"Total Mig - US",21865,42399,738162
46,000,97,001,SD,"Total Mig - US Same St",11647,22058,319181
46,000,97,003,SD,"Total Mig - US Diff St",10218,20341,418981
46,000,98,000,SD,"Total Mig - Foreign",416,758,7005
46,003,96,000,SD,"Aurora County Tot Mig-US & For",77,153,2203
46,003,97,000,SD,"Aurora County Tot Mig-US",77,153,2203
46,003,97,001,SD,"Aurora County Tot Mig-Same St",47,86,1124
46,003,97,003,SD,"Aurora County Tot Mig-Diff St",30,67,1079
46,003,46,003,SD,"Aurora County Non-Migrants",1190,2808,30557
46,003,46,035,SD,"Davison County",16,31,436
46,003,58,000,SS,"Other Flows - Same State",31,55,688
46,003,59,000,DS,"Other Flows - Diff State",30,67,1079
46,005,96,000,SD,"Beadle County Tot Mig-US & For",285,525,8426
46,005,97,000,SD,"Beadle County Tot Mig-US",285,525,8426
46,005,97,001,SD,"Beadle County Tot Mig-Same St",153,270,3911
46,005,97,003,SD,"Beadle County Tot Mig-Diff St",132,255,4515
46,005,46,005,SD,"Beadle County Non-Migrants",6140,13819,221811
46,005,46,099,SD,"Minnehaha County",19,30,634
46,005,46,077,SD,"Kingsbury County",14,21,426
46,005,46,115,SD,"Spink County",14,20,120
46,005,46,029,SD,"Codington County",12,19,286
46,005,46,103,SD,"Pennington County",11,18,214
46,005,58,000,SS,"Other Flows - Same State",83,162,2231
46,005,59,000,DS,"Other Flows - Diff State",132,255,4515
46,007,96,000,SD,"Bennett County Tot Mig-US & For",59,144,1263
46,007,97,000,SD,"Bennett County Tot Mig-US",59,144,1263
46,007,97,001,SD,"Bennett County Tot Mig-Same St",31,77,672
46,007,97,003,SD,"Bennett County Tot Mig-Diff St",28,67,591
46,007,46,007,SD,"Bennett County Non-Migrants",908,2301,22435
46,007,58,000,SS,"Other Flows - Same State",31,77,672
46,007,59,000,DS,"Other Flows - Diff State",28,67,591
46,009,96,000,SD,"Bon Homme Count Tot Mig-US & For",129,265,3867
46,009,97,000,SD,"Bon Homme Count Tot Mig-US",129,265,3867
46,009,97,001,SD,"Bon Homme Count Tot Mig-Same St",84,167,1915
46,009,97,003,SD,"Bon Homme Count Tot Mig-Diff St",45,98,1951
46,009,46,009,SD,"Bon Homme Count Non-Migrants",2305,5401,69752
46,009,46,135,SD,"Yankton County",28,54,575
46,009,58,000,SS,"Other Flows - Same State",56,113,1341
46,009,59,000,DS,"Other Flows - Diff State",45,98,1951
46,011,96,000,SD,"Brookings Count Tot Mig-US & For",905,1549,21382
46,011,97,000,SD,"Brookings Count Tot Mig-US",847,1479,20951
46,011,97,001,SD,"Brookings Count Tot Mig-Same St",492,803,10881
46,011,97,003,SD,"Brookings Count Tot Mig-Diff St",355,676,10070
46,011,98,000,SD,"Brookings Count Tot Mig-Foreign",58,70,431
46,011,46,011,SD,"Brookings Count Non-Migrants",8333,18927,349810
46,011,46,099,SD,"Minnehaha County",83,135,2119
46,011,46,029,SD,"Codington County",48,73,1046
46,011,46,101,SD,"Moody County",28,43,617
46,011,46,077,SD,"Kingsbury County",25,37,713
46,011,46,079,SD,"Lake County",23,36,251
46,011,46,005,SD,"Beadle County",19,33,463
46,011,46,013,SD,"Brown County",19,27,460
46,011,46,065,SD,"Hughes County",19,41,671
46,011,46,039,SD,"Deuel County",18,34,413
46,011,46,103,SD,"Pennington County",18,25,296
46,011,46,057,SD,"Hamlin County",17,35,347
46,011,27,081,MN,"Lincoln County",14,32,298
46,011,46,035,SD,"Davison County",14,22,305
46,011,27,053,MN,"Hennepin County",12,24,462
46,011,46,037,SD,"Day County",12,23,311
46,011,46,051,SD,"Grant County",10,22,173
46,011,58,000,SS,"Other Flows - Same State",139,217,2695
46,011,59,000,DS,"Other Flows - Diff State",329,620,9310
46,011,59,001,DS,"Other Flows - Northeast",12,24,394
46,011,59,003,DS,"Other Flows - Midwest",202,367,5595
46,011,59,005,DS,"Other Flows - South",38,74,1072
46,011,59,007,DS,"Other Flows - West",77,155,2249
46,011,57,009,FR,"Foreign - Other flows",58,70,431
46,013,96,000,SD,"Brown County Tot Mig-US & For",827,1485,22573
46,013,97,000,SD,"Brown County Tot Mig-US",816,1466,22390
46,013,97,001,SD,"Brown County Tot Mig-Same St",452,798,11076
46,013,97,003,SD,"Brown County Tot Mig-Diff St",364,668,11314
46,013,98,000,SD,"Brown County Tot Mig-Foreign",11,19,183
46,013,46,013,SD,"Brown County Non-Migrants",12885,28485,544886
46,013,46,115,SD,"Spink County",46,80,986
46,013,46,045,SD,"Edmunds County",42,75,991
46,013,46,029,SD,"Codington County",34,62,781
46,013,46,099,SD,"Minnehaha County",34,51,852
46,013,46,037,SD,"Day County",26,52,728
46,013,46,065,SD,"Hughes County",20,37,595
46,013,46,089,SD,"Mcpherson County",19,29,504
46,013,46,005,SD,"Beadle County",18,41,638
46,013,46,103,SD,"Pennington County",16,27,466
46,013,46,129,SD,"Walworth County",16,22,232
46,013,46,049,SD,"Faulk County",15,29,393
46,013,38,021,ND,"Dickey County",13,20,194
46,013,04,013,AZ,"Maricopa County",12,19,510
46,013,46,011,SD,"Brookings County",11,18,275
46,013,46,091,SD,"Marshall County",11,16,225
46,013,58,000,SS,"Other Flows - Same State",144,259,3410
46,013,59,000,DS,"Other Flows - Diff State",339,629,10611
46,013,57,009,FR,"Foreign - Other flows",11,19,183
46,015,96,000,SD,"Brule County Tot Mig-US & For",130,258,3343
46,015,97,000,SD,"Brule County Tot Mig-US",130,258,3343
46,015,97,001,SD,"Brule County Tot Mig-Same St",80,163,2215
46,015,97,003,SD,"Brule County Tot Mig-Diff St",50,95,1128
46,015,46,015,SD,"Brule County Non-Migrants",1801,4213,58784
46,015,46,099,SD,"Minnehaha County",13,26,263
46,015,46,011,SD,"Brookings County",11,19,386
46,015,46,085,SD,"Lyman County",11,29,236
46,015,58,000,SS,"Other Flows - Same State",45,89,1330
46,015,59,000,DS,"Other Flows - Diff State",50,95,1128
46,017,96,000,SD,"Buffalo County Tot Mig-US & For",40,89,600
46,017,97,000,SD,"Buffalo County Tot Mig-US",40,89,600
46,017,46,017,SD,"Buffalo County Non-Migrants",490,1373,8974
46,019,96,000,SD,"Butte County Tot Mig-US & For",268,545,6197
46,019,97,000,SD,"Butte County Tot Mig-US",268,545,6197
46,019,97,001,SD,"Butte County Tot Mig-Same St",167,353,3892
46,019,97,003,SD,"Butte County Tot Mig-Diff St",101,192,2305
46,019,46,019,SD,"Butte County Non-Migrants",3031,7235,87913
46,019,46,081,SD,"Lawrence County",66,131,1621
46,019,46,093,SD,"Meade County",32,71,702
46,019,46,103,SD,"Pennington County",27,46,576
46,019,58,000,SS,"Other Flows - Same State",42,105,993
46,019,59,000,DS,"Other Flows - Diff State",101,192,2305
46,021,96,000,SD,"Campbell County Tot Mig-US & For",30,63,884
46,021,97,000,SD,"Campbell County Tot Mig-US",30,63,884
46,021,97,001,SD,"Campbell County Tot Mig-Same St",15,27,545
46,021,97,003,SD,"Campbell County Tot Mig-Diff St",15,36,338
46,021,46,021,SD,"Campbell County Non-Migrants",742,1831,17144
46,021,58,000,SS,"Other Flows - Same State",15,27,545
46,021,59,000,DS,"Other Flows - Diff State",15,36,338
46,023,96,000,SD,"Charles Mix Cou Tot Mig-US & For",125,268,3517
46,023,97,000,SD,"Charles Mix Cou Tot Mig-US",125,268,3517
46,023,97,001,SD,"Charles Mix Cou Tot Mig-Same St",64,129,1635
46,023,97,003,SD,"Charles Mix Cou Tot Mig-Diff St",61,139,1882
46,023,46,023,SD,"Charles Mix Cou Non-Migrants",2950,7369,82942
46,023,58,000,SS,"Other Flows - Same State",64,129,1635
46,023,59,000,DS,"Other Flows - Diff State",61,139,1882
46,025,96,000,SD,"Clark County Tot Mig-US & For",81,174,2051
46,025,97,000,SD,"Clark County Tot Mig-US",81,174,2051
46,025,97,001,SD,"Clark County Tot Mig-Same St",58,128,1387
46,025,97,003,SD,"Clark County Tot Mig-Diff St",23,46,664
46,025,46,025,SD,"Clark County Non-Migrants",1416,3418,39769
46,025,46,029,SD,"Codington County",20,43,490
46,025,58,000,SS,"Other Flows - Same State",38,85,896
46,025,59,000,DS,"Other Flows - Diff State",23,46,664
46,027,96,000,SD,"Clay County Tot Mig-US & For",626,1058,13330
46,027,97,000,SD,"Clay County Tot Mig-US",594,1024,13295
46,027,97,001,SD,"Clay County Tot Mig-Same St",330,548,6703
46,027,97,003,SD,"Clay County Tot Mig-Diff St",264,476,6592
46,027,98,000,SD,"Clay County Tot Mig-Foreign",32,34,35
46,027,46,027,SD,"Clay County Non-Migrants",3805,8319,134532
46,027,46,099,SD,"Minnehaha County",81,113,1411
46,027,46,127,SD,"Union County",36,73,1005
46,027,46,135,SD,"Yankton County",32,46,668
46,027,19,193,IA,"Woodbury County",20,37,670
46,027,46,103,SD,"Pennington County",20,37,341
46,027,46,083,SD,"Lincoln County",15,19,250
46,027,46,035,SD,"Davison County",13,33,346
46,027,19,149,IA,"Plymouth County",12,20,271
46,027,46,011,SD,"Brookings County",12,20,169
46,027,46,013,SD,"Brown County",11,20,243
46,027,46,065,SD,"Hughes County",11,18,199
46,027,46,023,SD,"Charles Mix County",10,21,111
46,027,58,000,SS,"Other Flows - Same State",89,148,1961
46,027,59,000,DS,"Other Flows - Diff State",232,419,5651
46,027,57,009,FR,"Foreign - Other flows",32,34,35
46,029,96,000,SD,"Codington Count Tot Mig-US & For",686,1295,19011
46,029,97,000,SD,"Codington Count Tot Mig-US",686,1295,19011
46,029,97,001,SD,"Codington Count Tot Mig-Same St",410,749,10361
46,029,97,003,SD,"Codington Count Tot Mig-Diff St",276,546,8650
46,029,46,029,SD,"Codington Count Non-Migrants",9142,21165,372083
46,029,46,013,SD,"Brown County",40,62,944
46,029,46,099,SD,"Minnehaha County",35,78,1070
46,029,46,051,SD,"Grant County",34,60,743
46,029,46,025,SD,"Clark County",31,49,1069
46,029,46,037,SD,"Day County",28,46,565
46,029,46,011,SD,"Brookings County",27,47,889
46,029,46,109,SD,"Roberts County",27,44,570
46,029,46,057,SD,"Hamlin County",25,52,770
46,029,46,005,SD,"Beadle County",20,45,505
46,029,46,039,SD,"Deuel County",19,45,465
46,029,27,053,MN,"Hennepin County",15,23,343
46,029,58,000,SS,"Other Flows - Same State",124,221,2771
46,029,59,000,DS,"Other Flows - Diff State",261,523,8306
46,031,96,000,SD,"Corson County Tot Mig-US & For",76,168,896
46,031,97,000,SD,"Corson County Tot Mig-US",76,168,896
46,031,97,001,SD,"Corson County Tot Mig-Same St",32,64,168
