"1998 - 1999 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Delaware,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
10,000,96,000,DE,"Total Mig - US & For",14456,27020,706843
10,000,97,000,DE,"Total Mig - US",14138,26410,696764
10,000,97,001,DE,"Total Mig - US Same St",2594,4778,88281
10,000,97,003,DE,"Total Mig - US Diff St",11544,21632,608483
10,000,98,000,DE,"Total Mig - Foreign",318,610,10079
10,001,96,000,DE,"Kent County Tot Mig-US & For",2919,5791,91542
10,001,97,000,DE,"Kent County Tot Mig-US",2766,5447,88077
10,001,97,001,DE,"Kent County Tot Mig-Same St",931,1723,27036
10,001,97,003,DE,"Kent County Tot Mig-Diff St",1835,3724,61041
10,001,98,000,DE,"Kent County Tot Mig-Foreign",153,344,3465
10,001,10,001,DE,"Kent County Non-Migrants",44165,98307,1730803
10,001,10,003,DE,"New Castle County",487,859,15090
10,001,57,005,FR,"Foreign - APO/FPO ZIPs",138,301,3149
10,001,24,011,MD,"Caroline County",43,94,965
10,001,24,015,MD,"Cecil County",32,57,1208
10,001,42,101,PA,"Philadelphia County",28,47,520
10,001,24,033,MD,"Prince George's Coun",25,45,872
10,001,24,045,MD,"Wicomico County",25,44,756
10,001,24,029,MD,"Kent County",23,42,582
10,001,17,163,IL,"St Clair County",21,58,913
10,001,24,005,MD,"Baltimore County",21,29,390
10,001,24,003,MD,"Anne Arundel County",20,37,766
10,001,12,011,FL,"Broward County",19,33,619
10,001,24,035,MD,"Queen Anne's County",19,33,479
10,001,11,001,DC,"District Of Columbia",17,22,335
10,001,34,005,NJ,"Burlington County",17,37,898
10,001,12,057,FL,"Hillsborough County",16,35,504
10,001,42,071,PA,"Lancaster County",16,28,402
10,001,42,091,PA,"Montgomery County",16,35,898
10,001,51,059,VA,"Fairfax County",15,37,716
10,001,04,013,AZ,"Maricopa County",14,19,451
10,001,24,047,MD,"Worcester County",14,24,387
10,001,24,510,MD,Baltimore,14,21,246
10,001,42,003,PA,"Allegheny County",14,28,455
10,001,42,017,PA,"Bucks County",14,22,300
10,001,48,029,TX,"Bexar County",14,41,761
10,001,02,020,AK,"Anchorage Borough",13,36,333
10,001,13,153,GA,"Houston County",13,45,540
10,001,15,003,HI,"Honolulu County",13,34,408
10,001,42,045,PA,"Delaware County",13,25,327
10,001,06,073,CA,"San Diego County",12,15,254
10,001,13,067,GA,"Cobb County",12,26,605
10,001,12,009,FL,"Brevard County",11,24,441
10,001,24,031,MD,"Montgomery County",11,14,476
10,001,25,017,MA,"Middlesex County",11,24,705
10,001,32,003,NV,"Clark County",11,29,457
10,001,34,007,NJ,"Camden County",11,18,241
10,001,40,065,OK,"Jackson County",11,37,324
10,001,12,099,FL,"Palm Beach County",10,19,277
10,001,24,041,MD,"Talbot County",10,18,350
10,001,42,029,PA,"Chester County",10,11,247
10,001,51,153,VA,"Prince William Count",10,22,322
10,001,58,000,SS,"Other Flows - Same State",444,864,11946
10,001,59,000,DS,"Other Flows - Diff State",1196,2459,40313
10,001,59,001,DS,"Other Flows - Northeast",257,498,8558
10,001,59,003,DS,"Other Flows - Midwest",162,359,6070
10,001,59,005,DS,"Other Flows - South",628,1290,20860
10,001,59,007,DS,"Other Flows - West",149,312,4825
10,001,57,009,FR,"Foreign - Other flows",15,43,316
10,003,96,000,DE,"New Castle Coun Tot Mig-US & For",8876,16480,534834
10,003,97,000,DE,"New Castle Coun Tot Mig-US",8736,16251,528594
10,003,97,001,DE,"New Castle Coun Tot Mig-Same St",897,1694,38286
10,003,97,003,DE,"New Castle Coun Tot Mig-Diff St",7839,14557,490308
10,003,98,000,DE,"New Castle Coun Tot Mig-Foreign",140,229,6240
