"1998 - 1999 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Georgia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
13,000,96,000,GA,"Total Mig - US & For",270123,536549,10612390
13,000,97,000,GA,"Total Mig - US",265665,527469,10472730
13,000,97,001,GA,"Total Mig - US Same St",174592,344589,6523817
13,000,97,003,GA,"Total Mig - US Diff St",91073,182880,3948913
13,000,98,000,GA,"Total Mig - Foreign",4458,9080,139660
13,001,96,000,GA,"Appling County Tot Mig-US & For",315,646,6300
13,001,97,000,GA,"Appling County Tot Mig-US",315,646,6300
13,001,97,001,GA,"Appling County Tot Mig-Same St",218,453,4162
13,001,97,003,GA,"Appling County Tot Mig-Diff St",97,193,2138
13,001,13,001,GA,"Appling County Non-Migrants",5311,12473,168610
13,001,13,161,GA,"Jeff Davis County",33,84,668
13,001,13,305,GA,"Wayne County",19,45,282
13,001,13,069,GA,"Coffee County",17,30,193
13,001,13,005,GA,"Bacon County",13,33,211
13,001,58,000,SS,"Other Flows - Same State",136,261,2809
13,001,59,000,DS,"Other Flows - Diff State",97,193,2138
13,003,96,000,GA,"Atkinson County Tot Mig-US & For",192,396,3632
13,003,97,000,GA,"Atkinson County Tot Mig-US",192,396,3632
13,003,97,001,GA,"Atkinson County Tot Mig-Same St",145,299,2788
13,003,97,003,GA,"Atkinson County Tot Mig-Diff St",47,97,843
13,003,13,003,GA,"Atkinson County Non-Migrants",2261,5365,58095
13,003,13,069,GA,"Coffee County",69,142,1368
13,003,13,065,GA,"Clinch County",11,28,142
13,003,58,000,SS,"Other Flows - Same State",65,129,1278
13,003,59,000,DS,"Other Flows - Diff State",47,97,843
13,005,96,000,GA,"Bacon County Tot Mig-US & For",233,471,4797
13,005,97,000,GA,"Bacon County Tot Mig-US",233,471,4797
13,005,97,001,GA,"Bacon County Tot Mig-Same St",182,377,3945
13,005,97,003,GA,"Bacon County Tot Mig-Diff St",51,94,852
13,005,13,005,GA,"Bacon County Non-Migrants",3119,7074,94854
13,005,13,069,GA,"Coffee County",53,119,1157
13,005,13,001,GA,"Appling County",20,38,326
13,005,13,299,GA,"Ware County",18,41,388
13,005,13,229,GA,"Pierce County",12,24,251
13,005,13,161,GA,"Jeff Davis County",10,16,134
13,005,58,000,SS,"Other Flows - Same State",69,139,1689
13,005,59,000,DS,"Other Flows - Diff State",51,94,852
13,007,96,000,GA,"Baker County Tot Mig-US & For",112,233,2299
13,007,97,000,GA,"Baker County Tot Mig-US",112,233,2299
13,007,97,001,GA,"Baker County Tot Mig-Same St",89,187,1843
13,007,97,003,GA,"Baker County Tot Mig-Diff St",23,46,456
13,007,13,007,GA,"Baker County Non-Migrants",1215,2764,31745
13,007,13,095,GA,"Dougherty County",20,41,428
13,007,13,205,GA,"Mitchell County",18,37,288
13,007,58,000,SS,"Other Flows - Same State",51,109,1127
13,007,59,000,DS,"Other Flows - Diff State",23,46,456
13,009,96,000,GA,"Baldwin County Tot Mig-US & For",916,1783,25158
13,009,97,000,GA,"Baldwin County Tot Mig-US",916,1783,25158
13,009,97,001,GA,"Baldwin County Tot Mig-Same St",723,1406,19666
13,009,97,003,GA,"Baldwin County Tot Mig-Diff St",193,377,5493
13,009,13,009,GA,"Baldwin County Non-Migrants",13300,29122,485980
13,009,13,021,GA,"Bibb County",95,165,2388
13,009,13,237,GA,"Putnam County",79,159,2074
13,009,13,319,GA,"Wilkinson County",62,142,1790
13,009,13,169,GA,"Jones County",53,129,1741
13,009,13,303,GA,"Washington County",37,78,956
13,009,13,141,GA,"Hancock County",36,68,777
13,009,13,121,GA,"Fulton County",27,34,536
13,009,13,089,GA,"De Kalb County",24,40,516
13,009,13,153,GA,"Houston County",22,36,838
