"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Arizona,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
04,000,96,000,AZ,"Total Mig - US & For",129809,250513,5492264
04,000,97,000,AZ,"Total Mig - US",125940,244008,5400640
04,000,97,001,AZ,"Total Mig - US Same St",29437,58953,928453
04,000,97,003,AZ,"Total Mig - US Diff St",96503,185055,4472186
04,000,98,000,AZ,"Total Mig - Foreign",3869,6505,91624
04,001,96,000,AZ,"Apache County Tot Mig-US & For",2126,5477,50048
04,001,97,000,AZ,"Apache County Tot Mig-US",2116,5460,49904
04,001,97,001,AZ,"Apache County Tot Mig-Same St",813,1997,19682
04,001,97,003,AZ,"Apache County Tot Mig-Diff St",1303,3463,30221
04,001,98,000,AZ,"Apache County Tot Mig-Foreign",10,17,144
04,001,04,001,AZ,"Apache County Non-Migrants",14348,43040,406820
04,001,35,031,NM,"Mckinley County",465,1321,8347
04,001,35,045,NM,"San Juan County",357,1093,8030
04,001,04,013,AZ,"Maricopa County",332,775,8004
04,001,04,017,AZ,"Navajo County",204,575,4253
04,001,04,005,AZ,"Coconino County",119,300,2463
04,001,04,019,AZ,"Pima County",75,137,2290
04,001,49,035,UT,"Salt Lake County",36,71,701
04,001,35,001,NM,"Bernalillo County",25,54,482
04,001,04,021,AZ,"Pinal County",23,58,738
04,001,49,037,UT,"San Juan County",17,41,337
04,001,06,073,CA,"San Diego County",14,36,410
04,001,08,083,CO,"Montezuma County",14,30,215
04,001,04,007,AZ,"Gila County",13,26,305
04,001,04,025,AZ,"Yavapai County",13,32,322
04,001,04,003,AZ,"Cochise County",11,38,563
04,001,08,067,CO,"La Plata County",10,17,130
04,001,58,000,SS,"Other Flows - Same State",23,56,745
04,001,59,000,DS,"Other Flows - Diff State",365,800,11570
04,001,59,001,DS,"Other Flows - Northeast",23,45,1015
04,001,59,003,DS,"Other Flows - Midwest",69,164,3228
04,001,59,005,DS,"Other Flows - South",95,187,2326
04,001,59,007,DS,"Other Flows - West",178,404,5002
04,001,57,009,FR,"Foreign - Other flows",10,17,144
04,003,96,000,AZ,"Cochise County Tot Mig-US & For",4492,9301,134669
04,003,97,000,AZ,"Cochise County Tot Mig-US",3998,8202,121123
04,003,97,001,AZ,"Cochise County Tot Mig-Same St",1067,2306,29866
04,003,97,003,AZ,"Cochise County Tot Mig-Diff St",2931,5896,91257
04,003,98,000,AZ,"Cochise County Tot Mig-Foreign",494,1099,13546
04,003,04,003,AZ,"Cochise County Non-Migrants",32506,77042,1179829
04,003,04,019,AZ,"Pima County",521,1089,13735
04,003,57,005,FR,"Foreign - APO/FPO ZIPs",472,1053,13036
04,003,04,013,AZ,"Maricopa County",289,608,8675
04,003,37,051,NC,"Cumberland County",78,189,2312
04,003,06,073,CA,"San Diego County",70,137,2049
04,003,15,003,HI,"Honolulu County",56,133,1847
04,003,06,037,CA,"Los Angeles County",55,107,1626
04,003,13,245,GA,"Richmond County",51,126,1424
04,003,06,053,CA,"Monterey County",46,85,1071
04,003,08,041,CO,"El Paso County",45,118,1566
04,003,48,027,TX,"Bell County",42,119,1178
04,003,04,021,AZ,"Pinal County",37,99,1294
04,003,04,009,AZ,"Graham County",36,107,932
04,003,53,053,WA,"Pierce County",33,85,1038
04,003,04,023,AZ,"Santa Cruz County",32,74,1134
04,003,06,071,CA,"San Bernardino Count",32,63,695
04,003,48,141,TX,"El Paso County",31,74,1188
04,003,32,003,NV,"Clark County",29,61,720
04,003,51,059,VA,"Fairfax County",29,75,1791
04,003,04,025,AZ,"Yavapai County",27,54,839
04,003,04,027,AZ,"Yuma County",27,64,933
04,003,47,125,TN,"Montgomery County",27,66,1076
04,003,35,023,NM,"Hidalgo County",24,73,812
04,003,36,045,NY,"Jefferson County",24,62,677
04,003,04,005,AZ,"Coconino County",23,41,496
04,003,06,059,CA,"Orange County",23,44,610
04,003,48,029,TX,"Bexar County",22,53,606
04,003,06,065,CA,"Riverside County",21,47,551
04,003,02,090,AK,"Fairbanks North Star",20,54,773
04,003,06,085,CA,"Santa Clara County",19,32,2028
04,003,02,020,AK,"Anchorage Borough",18,42,784
04,003,13,179,GA,"Liberty County",18,40,393
04,003,24,003,MD,"Anne Arundel County",18,51,735
04,003,04,007,AZ,"Gila County",17,28,409
04,003,48,201,TX,"Harris County",17,24,442
04,003,04,011,AZ,"Greenlee County",16,40,432
04,003,04,015,AZ,"Mohave County",16,37,279
04,003,21,047,KY,"Christian County",16,43,418
04,003,35,013,NM,"Dona Ana County",16,40,546
04,003,48,099,TX,"Coryell County",16,55,510
04,003,06,067,CA,"Sacramento County",15,28,520
04,003,22,115,LA,"Vernon Parish",15,36,458
04,003,48,439,TX,"Tarrant County",15,32,625
04,003,48,373,TX,"Polk County",14,25,534
04,003,04,017,AZ,"Navajo County",13,32,354
04,003,13,215,GA,"Muscogee County",13,34,358
04,003,35,029,NM,"Luna County",13,30,364
