"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
DistrictofColumbia,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
11,000,96,000,DC,"Total Mig - US & For",23881,34278,1082544
11,000,97,000,DC,"Total Mig - US",21259,30854,1028287
11,000,97,003,DC,"Total Mig - US Diff St",21259,30854,1028287
11,000,98,000,DC,"Total Mig - Foreign",2622,3424,54257
11,001,96,000,DC,"District Of Col Tot Mig-US & For",23881,34278,1082544
11,001,97,000,DC,"District Of Col Tot Mig-US",21259,30854,1028287
11,001,97,003,DC,"District Of Col Tot Mig-Diff St",21259,30854,1028287
11,001,98,000,DC,"District Of Col Tot Mig-Foreign",2622,3424,54257
11,001,11,001,DC,"District Of Col Non-Migrants",198835,348363,10844448
11,001,24,033,MD,"Prince George's Coun",3679,7214,143064
11,001,24,031,MD,"Montgomery County",2258,3188,118594
11,001,51,013,VA,"Arlington County",1265,1610,72685
11,001,51,059,VA,"Fairfax County",1253,1956,76072
11,001,51,510,VA,Alexandria,614,808,33924
11,001,57,005,FR,"Foreign - APO/FPO ZIPs",488,1077,29099
11,001,36,061,NY,"New York County",472,563,113928
11,001,17,031,IL,"Cook County",326,384,18366
11,001,06,037,CA,"Los Angeles County",281,368,13643
11,001,25,017,MA,"Middlesex County",261,312,13751
11,001,24,510,MD,Baltimore,218,262,11619
11,001,24,003,MD,"Anne Arundel County",216,306,10155
11,001,51,153,VA,"Prince William Count",169,309,5872
11,001,42,101,PA,"Philadelphia County",168,185,6593
11,001,25,025,MA,"Suffolk County",154,168,7409
11,001,06,073,CA,"San Diego County",140,201,5102
11,001,36,047,NY,"Kings County",138,189,6050
11,001,24,005,MD,"Baltimore County",130,168,4675
11,001,13,121,GA,"Fulton County",122,154,7252
11,001,06,075,CA,"San Francisco County",119,133,6049
11,001,53,033,WA,"King County",117,140,5268
11,001,12,025,FL,"Dade County",111,153,4488
11,001,48,201,TX,"Harris County",108,137,4632
11,001,24,027,MD,"Howard County",105,146,8538
11,001,42,003,PA,"Allegheny County",105,124,4246
11,001,06,001,CA,"Alameda County",103,125,3715
11,001,13,089,GA,"De Kalb County",88,123,4259
11,001,24,017,MD,"Charles County",86,152,2911
11,001,48,113,TX,"Dallas County",85,101,4970
11,001,36,081,NY,"Queens County",84,113,2478
11,001,12,011,FL,"Broward County",78,103,3554
11,001,08,031,CO,"Denver County",77,92,3725
11,001,36,119,NY,"Westchester County",77,97,3235
11,001,04,013,AZ,"Maricopa County",73,86,2766
11,001,36,103,NY,"Suffolk County",73,83,2873
