"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Iowa,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
19,000,96,000,IA,"Total Mig - US & For",68055,128542,2269504
19,000,97,000,IA,"Total Mig - US",66312,126378,2254784
19,000,97,001,IA,"Total Mig - US Same St",38923,71220,1246089
19,000,97,003,IA,"Total Mig - US Diff St",27389,55158,1008695
19,000,98,000,IA,"Total Mig - Foreign",1743,2164,14719
19,001,96,000,IA,"Adair County Tot Mig-US & For",185,361,5106
19,001,97,000,IA,"Adair County Tot Mig-US",185,361,5106
19,001,97,001,IA,"Adair County Tot Mig-Same St",144,285,3882
19,001,97,003,IA,"Adair County Tot Mig-Diff St",41,76,1224
19,001,19,001,IA,"Adair County Non-Migrants",3396,7704,119840
19,001,19,153,IA,"Polk County",31,65,1048
19,001,19,077,IA,"Guthrie County",19,37,434
19,001,19,049,IA,"Dallas County",18,40,589
19,001,19,121,IA,"Madison County",14,18,224
19,001,19,175,IA,"Union County",14,28,355
19,001,58,000,SS,"Other Flows - Same State",48,97,1232
19,001,59,000,DS,"Other Flows - Diff State",41,76,1224
19,003,96,000,IA,"Adams County Tot Mig-US & For",111,216,2938
19,003,97,000,IA,"Adams County Tot Mig-US",111,216,2938
19,003,97,001,IA,"Adams County Tot Mig-Same St",68,142,1883
19,003,97,003,IA,"Adams County Tot Mig-Diff St",43,74,1055
19,003,19,003,IA,"Adams County Non-Migrants",1675,3947,53732
19,003,19,175,IA,"Union County",11,24,399
19,003,58,000,SS,"Other Flows - Same State",57,118,1485
19,003,59,000,DS,"Other Flows - Diff State",43,74,1055
19,005,96,000,IA,"Allamakee Count Tot Mig-US & For",245,472,6732
19,005,97,000,IA,"Allamakee Count Tot Mig-US",245,472,6732
19,005,97,001,IA,"Allamakee Count Tot Mig-Same St",124,241,3390
19,005,97,003,IA,"Allamakee Count Tot Mig-Diff St",121,231,3342
19,005,19,005,IA,"Allamakee Count Non-Migrants",5286,12214,180110
19,005,19,043,IA,"Clayton County",29,60,654
19,005,19,191,IA,"Winneshiek County",23,44,704
19,005,55,023,WI,"Crawford County",18,38,395
19,005,19,013,IA,"Black Hawk County",12,25,464
19,005,27,055,MN,"Houston County",12,21,370
19,005,58,000,SS,"Other Flows - Same State",60,112,1568
19,005,59,000,DS,"Other Flows - Diff State",91,172,2577
19,007,96,000,IA,"Appanoose Count Tot Mig-US & For",269,567,7163
19,007,97,000,IA,"Appanoose Count Tot Mig-US",269,567,7163
19,007,97,001,IA,"Appanoose Count Tot Mig-Same St",178,349,4939
19,007,97,003,IA,"Appanoose Count Tot Mig-Diff St",91,218,2224
19,007,19,007,IA,"Appanoose Count Non-Migrants",4587,10240,146736
19,007,19,179,IA,"Wapello County",25,52,506
19,007,19,185,IA,"Wayne County",20,47,393
19,007,19,153,IA,"Polk County",19,31,488
19,007,19,051,IA,"Davis County",14,27,304
19,007,19,135,IA,"Monroe County",14,26,604
19,007,29,171,MO,"Putnam County",10,24,171
19,007,58,000,SS,"Other Flows - Same State",86,166,2644
19,007,59,000,DS,"Other Flows - Diff State",81,194,2054
19,009,96,000,IA,"Audubon County Tot Mig-US & For",143,315,4681
19,009,97,000,IA,"Audubon County Tot Mig-US",143,315,4681
19,009,97,001,IA,"Audubon County Tot Mig-Same St",88,192,2343
19,009,97,003,IA,"Audubon County Tot Mig-Diff St",55,123,2338
19,009,19,009,IA,"Audubon County Non-Migrants",2669,6287,87307
19,009,19,077,IA,"Guthrie County",13,27,354
19,009,19,027,IA,"Carroll County",12,32,285
19,009,19,029,IA,"Cass County",12,27,369
19,009,31,055,NE,"Douglas County",10,26,316
19,009,58,000,SS,"Other Flows - Same State",51,106,1336
19,009,59,000,DS,"Other Flows - Diff State",45,97,2022
19,011,96,000,IA,"Benton County Tot Mig-US & For",724,1501,28283
19,011,97,000,IA,"Benton County Tot Mig-US",724,1501,28283
19,011,97,001,IA,"Benton County Tot Mig-Same St",607,1242,23030
19,011,97,003,IA,"Benton County Tot Mig-Diff St",117,259,5253
19,011,19,011,IA,"Benton County Non-Migrants",9715,23276,426532
19,011,19,113,IA,"Linn County",339,697,13859
19,011,19,013,IA,"Black Hawk County",36,92,1592
19,011,19,171,IA,"Tama County",34,70,1037
19,011,19,103,IA,"Johnson County",31,49,977
19,011,19,095,IA,"Iowa County",28,56,809
19,011,19,153,IA,"Polk County",15,29,703
