"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Idaho,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
16,000,96,000,ID,"Total Mig - US & For",37784,80592,1292891
16,000,97,000,ID,"Total Mig - US",37092,79327,1278703
16,000,97,001,ID,"Total Mig - US Same St",15878,33814,446841
16,000,97,003,ID,"Total Mig - US Diff St",21214,45513,831861
16,000,98,000,ID,"Total Mig - Foreign",692,1265,14188
16,001,96,000,ID,"Ada County Tot Mig-US & For",9222,18316,377512
16,001,97,000,ID,"Ada County Tot Mig-US",9119,18122,374119
16,001,97,001,ID,"Ada County Tot Mig-Same St",3345,6223,102010
16,001,97,003,ID,"Ada County Tot Mig-Diff St",5774,11899,272110
16,001,98,000,ID,"Ada County Tot Mig-Foreign",103,194,3393
16,001,16,001,ID,"Ada County Non-Migrants",101031,228082,5687986
16,001,16,027,ID,"Canyon County",1056,1937,33511
16,001,16,083,ID,"Twin Falls County",306,571,8461
16,001,53,033,WA,"King County",274,529,14055
16,001,49,035,UT,"Salt Lake County",267,698,16395
16,001,16,039,ID,"Elmore County",216,402,5654
16,001,16,005,ID,"Bannock County",203,442,8465
16,001,04,013,AZ,"Maricopa County",177,390,8824
16,001,16,045,ID,"Gem County",170,326,4430
16,001,16,019,ID,"Bonneville County",144,312,4733
16,001,16,057,ID,"Latah County",126,215,2889
16,001,16,085,ID,"Valley County",110,192,4156
16,001,06,037,CA,"Los Angeles County",107,196,5139
16,001,06,085,CA,"Santa Clara County",106,220,10023
16,001,16,015,ID,"Boise County",105,215,4670
16,001,06,073,CA,"San Diego County",96,186,3744
16,001,41,051,OR,"Multnomah County",96,159,3564
16,001,06,059,CA,"Orange County",90,170,6549
16,001,16,075,ID,"Payette County",89,135,2236
16,001,16,055,ID,"Kootenai County",85,155,2178
16,001,41,067,OR,"Washington County",83,188,4099
16,001,16,013,ID,"Blaine County",81,132,4103
16,001,16,031,ID,"Cassia County",81,158,2102
16,001,41,045,OR,"Malheur County",80,144,1789
16,001,49,049,UT,"Utah County",80,199,2338
16,001,32,003,NV,"Clark County",76,142,2556
16,001,53,063,WA,"Spokane County",76,154,2433
16,001,53,061,WA,"Snohomish County",69,131,3545
16,001,53,011,WA,"Clark County",65,147,3212
16,001,49,011,UT,"Davis County",62,186,3973
16,001,53,053,WA,"Pierce County",62,127,2754
16,001,16,069,ID,"Nez Perce County",55,82,2349
16,001,06,067,CA,"Sacramento County",51,94,2253
16,001,16,053,ID,"Jerome County",51,96,1318
16,001,16,011,ID,"Bingham County",50,105,1217
16,001,32,031,NV,"Washoe County",50,77,2051
16,001,41,039,OR,"Lane County",49,91,2103
16,001,57,005,FR,"Foreign - APO/FPO ZIPs",48,100,1358
16,001,41,005,OR,"Clackamas County",46,93,2231
16,001,06,001,CA,"Alameda County",45,114,2498
16,001,16,073,ID,"Owyhee County",43,71,1027
16,001,49,005,UT,"Cache County",43,93,1209
16,001,16,047,ID,"Gooding County",42,73,1069
16,001,16,067,ID,"Minidoka County",42,72,904
16,001,30,031,MT,"Gallatin County",42,84,1473
