"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Nebraska,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
31,000,96,000,NE,"Total Mig - US & For",44960,87249,1456946
31,000,97,000,NE,"Total Mig - US",43846,85493,1438312
31,000,97,001,NE,"Total Mig - US Same St",24716,46228,769654
31,000,97,003,NE,"Total Mig - US Diff St",19130,39265,668658
31,000,98,000,NE,"Total Mig - Foreign",1114,1756,18634
31,001,96,000,NE,"Adams County Tot Mig-US & For",685,1331,18136
31,001,97,000,NE,"Adams County Tot Mig-US",685,1331,18136
31,001,97,001,NE,"Adams County Tot Mig-Same St",427,797,10034
31,001,97,003,NE,"Adams County Tot Mig-Diff St",258,534,8102
31,001,31,001,NE,"Adams County Non-Migrants",10461,23751,459081
31,001,31,035,NE,"Clay County",71,110,1535
31,001,31,079,NE,"Hall County",67,137,1508
31,001,31,109,NE,"Lancaster County",42,66,858
31,001,31,181,NE,"Webster County",33,68,688
31,001,31,019,NE,"Buffalo County",25,43,493
31,001,31,099,NE,"Kearney County",14,26,319
31,001,31,055,NE,"Douglas County",13,28,402
31,001,58,000,SS,"Other Flows - Same State",162,319,4232
31,001,59,000,DS,"Other Flows - Diff State",258,534,8102
31,003,96,000,NE,"Antelope County Tot Mig-US & For",125,265,2973
31,003,97,000,NE,"Antelope County Tot Mig-US",125,265,2973
31,003,97,001,NE,"Antelope County Tot Mig-Same St",94,199,2309
31,003,97,003,NE,"Antelope County Tot Mig-Diff St",31,66,663
31,003,31,003,NE,"Antelope County Non-Migrants",2617,6426,81037
31,003,31,119,NE,"Madison County",24,47,459
31,003,31,089,NE,"Holt County",11,30,291
31,003,58,000,SS,"Other Flows - Same State",59,122,1559
31,003,59,000,DS,"Other Flows - Diff State",31,66,663
31,005,96,000,NE,"Arthur County Tot Mig-US & For",11,17,234
31,005,97,000,NE,"Arthur County Tot Mig-US",11,17,234
31,005,31,005,NE,"Arthur County Non-Migrants",261,570,5826
31,007,96,000,NE,"Banner County Tot Mig-US & For",27,74,911
31,007,97,000,NE,"Banner County Tot Mig-US",27,74,911
31,007,31,007,NE,"Banner County Non-Migrants",256,646,7313
31,011,96,000,NE,"Boone County Tot Mig-US & For",80,176,2123
31,011,97,000,NE,"Boone County Tot Mig-US",80,176,2123
31,011,97,001,NE,"Boone County Tot Mig-Same St",66,153,1678
31,011,97,003,NE,"Boone County Tot Mig-Diff St",14,23,446
31,011,31,011,NE,"Boone County Non-Migrants",2244,5531,72440
31,011,31,141,NE,"Platte County",13,29,293
31,011,31,119,NE,"Madison County",10,24,270
31,011,58,000,SS,"Other Flows - Same State",43,100,1114
31,011,59,000,DS,"Other Flows - Diff State",14,23,446
31,013,96,000,NE,"Box Butte Count Tot Mig-US & For",227,499,6494
31,013,97,000,NE,"Box Butte Count Tot Mig-US",227,499,6494
31,013,97,001,NE,"Box Butte Count Tot Mig-Same St",102,229,2662
31,013,97,003,NE,"Box Butte Count Tot Mig-Diff St",125,270,3832
31,013,31,013,NE,"Box Butte Count Non-Migrants",4487,10806,184003
31,013,31,045,NE,"Dawes County",17,41,297
31,013,31,157,NE,"Scotts Bluff County",14,37,469
31,013,31,161,NE,"Sheridan County",13,24,217
31,013,58,000,SS,"Other Flows - Same State",58,127,1679
31,013,59,000,DS,"Other Flows - Diff State",125,270,3832
31,015,96,000,NE,"Boyd County Tot Mig-US & For",33,63,984
31,015,97,000,NE,"Boyd County Tot Mig-US",33,63,984
31,015,97,001,NE,"Boyd County Tot Mig-Same St",20,40,541
31,015,97,003,NE,"Boyd County Tot Mig-Diff St",13,23,442
31,015,31,015,NE,"Boyd County Non-Migrants",875,2040,21743
