"1999 - 2000 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Vermont,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
50,000,96,000,VT,"Total Mig - US & For",16478,27885,607864
50,000,97,000,VT,"Total Mig - US",16058,27320,602402
50,000,97,001,VT,"Total Mig - US Same St",6127,10441,189192
50,000,97,003,VT,"Total Mig - US Diff St",9931,16879,413210
50,000,98,000,VT,"Total Mig - Foreign",420,565,5462
50,001,96,000,VT,"Addison County Tot Mig-US & For",969,1653,37797
50,001,97,000,VT,"Addison County Tot Mig-US",890,1574,37952
50,001,97,001,VT,"Addison County Tot Mig-Same St",468,840,16572
50,001,97,003,VT,"Addison County Tot Mig-Diff St",422,734,21380
50,001,98,000,VT,"Addison County Tot Mig-Foreign",79,79,-155
50,001,50,001,VT,"Addison County Non-Migrants",12555,27627,545365
50,001,50,007,VT,"Chittenden County",260,485,9440
50,001,50,021,VT,"Rutland County",105,185,2915
50,001,50,023,VT,"Washington County",24,35,662
50,001,50,027,VT,"Windsor County",21,35,452
50,001,25,017,MA,"Middlesex County",16,22,4617
50,001,50,011,VT,"Franklin County",14,23,306
50,001,50,017,VT,"Orange County",14,26,368
50,001,09,003,CT,"Hartford County",12,15,289
50,001,36,031,NY,"Essex County",10,13,184
50,001,58,000,SS,"Other Flows - Same State",30,51,2428
50,001,59,000,DS,"Other Flows - Diff State",384,684,16290
50,001,59,001,DS,"Other Flows - Northeast",191,325,8387
50,001,59,003,DS,"Other Flows - Midwest",25,47,1075
50,001,59,005,DS,"Other Flows - South",93,169,3447
50,001,59,007,DS,"Other Flows - West",75,143,3382
50,001,57,009,FR,"Foreign - Other flows",79,79,-155
50,003,96,000,VT,"Bennington Coun Tot Mig-US & For",844,1455,31097
50,003,97,000,VT,"Bennington Coun Tot Mig-US",808,1418,30849
50,003,97,001,VT,"Bennington Coun Tot Mig-Same St",166,266,4613
50,003,97,003,VT,"Bennington Coun Tot Mig-Diff St",642,1152,26236
50,003,98,000,VT,"Bennington Coun Tot Mig-Foreign",36,37,248
50,003,50,003,VT,"Bennington Coun Non-Migrants",13693,28820,615560
50,003,25,003,MA,"Berkshire County",68,134,1987
50,003,50,021,VT,"Rutland County",60,96,1570
50,003,50,025,VT,"Windham County",56,95,1732
50,003,36,083,NY,"Rensselaer County",51,105,1258
50,003,36,115,NY,"Washington County",31,58,667
50,003,09,001,CT,"Fairfield County",20,26,1124
50,003,50,007,VT,"Chittenden County",20,26,399
50,003,36,061,NY,"New York County",12,21,836
50,003,25,017,MA,"Middlesex County",11,13,543
50,003,34,003,NJ,"Bergen County",10,20,778
50,003,58,000,SS,"Other Flows - Same State",30,49,912
50,003,59,000,DS,"Other Flows - Diff State",439,775,19042
50,003,59,001,DS,"Other Flows - Northeast",240,419,9313
50,003,59,003,DS,"Other Flows - Midwest",38,67,2152
50,003,59,005,DS,"Other Flows - South",100,178,5007
50,003,59,007,DS,"Other Flows - West",61,111,2570
50,003,57,009,FR,"Foreign - Other flows",36,37,248
50,005,96,000,VT,"Caledonia Count Tot Mig-US & For",664,1299,19731
50,005,97,000,VT,"Caledonia Count Tot Mig-US",664,1299,19731
50,005,97,001,VT,"Caledonia Count Tot Mig-Same St",280,561,7121
50,005,97,003,VT,"Caledonia Count Tot Mig-Diff St",384,738,12611
50,005,50,005,VT,"Caledonia Count Non-Migrants",10311,22828,375539
50,005,50,023,VT,"Washington County",59,114,1955
50,005,33,009,NH,"Grafton County",55,106,1720
50,005,50,009,VT,"Essex County",50,107,1153
50,005,50,019,VT,"Orleans County",49,97,1069
50,005,50,017,VT,"Orange County",35,79,802
50,005,50,007,VT,"Chittenden County",27,48,712
50,005,50,015,VT,"Lamoille County",22,44,659
50,005,25,017,MA,"Middlesex County",13,23,262
50,005,50,027,VT,"Windsor County",12,18,207
50,005,33,007,NH,"Coos County",11,20,142
50,005,09,009,CT,"New Haven County",10,21,381
50,005,58,000,SS,"Other Flows - Same State",26,54,564
50,005,59,000,DS,"Other Flows - Diff State",295,568,10105
