"1999 - 2000 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Idaho,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
16,000,96,000,ID,"Total Mig - US & For",35530,74054,1083927
16,000,97,000,ID,"Total Mig - US",35025,73010,1070486
16,000,97,001,ID,"Total Mig - US Same St",15878,33814,446841
16,000,97,003,ID,"Total Mig - US Diff St",19147,39196,623645
16,000,98,000,ID,"Total Mig - Foreign",505,1044,13441
16,001,96,000,ID,"Ada County Tot Mig-US & For",7429,14699,284033
16,001,97,000,ID,"Ada County Tot Mig-US",7342,14494,280131
16,001,97,001,ID,"Ada County Tot Mig-Same St",3067,6346,99117
16,001,97,003,ID,"Ada County Tot Mig-Diff St",4275,8148,181014
16,001,98,000,ID,"Ada County Tot Mig-Foreign",87,205,3902
16,001,16,001,ID,"Ada County Non-Migrants",101031,228082,5687986
16,001,16,027,ID,"Canyon County",1673,3613,54609
16,001,53,033,WA,"King County",192,321,15260
16,001,16,015,ID,"Boise County",158,334,5521
16,001,04,013,AZ,"Maricopa County",152,302,8183
16,001,16,045,ID,"Gem County",139,292,5082
16,001,16,083,ID,"Twin Falls County",130,225,3491
16,001,16,039,ID,"Elmore County",120,238,2670
16,001,49,035,UT,"Salt Lake County",116,214,3884
16,001,16,005,ID,"Bannock County",103,194,3257
16,001,41,051,OR,"Multnomah County",99,140,2964
16,001,16,085,ID,"Valley County",92,167,3966
16,001,06,037,CA,"Los Angeles County",83,131,3176
16,001,32,003,NV,"Clark County",80,138,2784
16,001,06,073,CA,"San Diego County",78,140,2170
16,001,41,067,OR,"Washington County",78,142,3531
16,001,16,019,ID,"Bonneville County",77,175,2235
16,001,16,057,ID,"Latah County",77,108,1596
16,001,49,049,UT,"Utah County",71,149,2022
16,001,53,063,WA,"Spokane County",60,118,2730
16,001,16,073,ID,"Owyhee County",59,144,2089
16,001,16,055,ID,"Kootenai County",58,100,1783
16,001,41,039,OR,"Lane County",58,141,1644
16,001,16,075,ID,"Payette County",57,121,1907
16,001,06,067,CA,"Sacramento County",53,93,1926
16,001,57,005,FR,"Foreign - APO/FPO ZIPs",50,104,1266
16,001,53,053,WA,"Pierce County",49,92,2185
16,001,53,011,WA,"Clark County",48,114,2617
16,001,06,059,CA,"Orange County",41,77,1929
16,001,53,061,WA,"Snohomish County",40,81,1901
16,001,16,013,ID,"Blaine County",39,62,2090
16,001,41,005,OR,"Clackamas County",38,69,1934
16,001,32,031,NV,"Washoe County",36,63,1030
16,001,06,085,CA,"Santa Clara County",35,64,2309
16,001,49,011,UT,"Davis County",35,94,803
16,001,04,019,AZ,"Pima County",34,53,2264
16,001,41,045,OR,"Malheur County",33,64,1677
16,001,53,067,WA,"Thurston County",32,55,989
16,001,06,001,CA,"Alameda County",31,54,1469
16,001,06,065,CA,"Riverside County",30,59,737
16,001,30,063,MT,"Missoula County",29,43,801
16,001,02,020,AK,"Anchorage Borough",27,44,881
16,001,08,013,CO,"Boulder County",27,42,1181
16,001,16,049,ID,"Idaho County",26,55,576
16,001,41,017,OR,"Deschutes County",26,48,1071
