"1999 - 2000 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
NewMexico,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,000,96,000,NM,"Total Mig - US & For",52962,108637,1661669
35,000,97,000,NM,"Total Mig - US",51910,106649,1636132
35,000,97,001,NM,"Total Mig - US Same St",20306,41699,546237
35,000,97,003,NM,"Total Mig - US Diff St",31604,64950,1089895
35,000,98,000,NM,"Total Mig - Foreign",1052,1988,25537
35,001,96,000,NM,"Bernalillo Coun Tot Mig-US & For",15236,29008,572041
35,001,97,000,NM,"Bernalillo Coun Tot Mig-US",14927,28433,564185
35,001,97,001,NM,"Bernalillo Coun Tot Mig-Same St",4940,9770,151457
35,001,97,003,NM,"Bernalillo Coun Tot Mig-Diff St",9987,18663,412728
35,001,98,000,NM,"Bernalillo Coun Tot Mig-Foreign",309,575,7856
35,001,35,001,NM,"Bernalillo Coun Non-Migrants",193261,400387,8664955
35,001,35,043,NM,"Sandoval County",1700,3408,58672
35,001,35,061,NM,"Valencia County",888,1948,23562
35,001,04,013,AZ,"Maricopa County",718,1384,32299
35,001,35,049,NM,"Santa Fe County",641,1131,24602
35,001,32,003,NV,"Clark County",301,540,14517
35,001,06,037,CA,"Los Angeles County",246,379,7534
35,001,06,073,CA,"San Diego County",222,366,6736
35,001,57,005,FR,"Foreign - APO/FPO ZIPs",221,438,6313
35,001,48,141,TX,"El Paso County",215,477,5774
35,001,35,013,NM,"Dona Ana County",189,350,5688
35,001,35,057,NM,"Torrance County",179,420,4306
35,001,35,031,NM,"Mckinley County",168,324,3119
35,001,08,031,CO,"Denver County",167,262,5333
35,001,35,006,NM,"Cibola County",163,327,3354
35,001,04,019,AZ,"Pima County",160,283,6222
35,001,53,033,WA,"King County",153,223,6712
35,001,08,041,CO,"El Paso County",151,338,7093
35,001,08,005,CO,"Arapahoe County",149,288,5423
35,001,35,045,NM,"San Juan County",148,281,4093
35,001,48,113,TX,"Dallas County",135,210,4904
35,001,48,453,TX,"Travis County",132,199,6223
35,001,48,201,TX,"Harris County",128,215,5016
35,001,48,029,TX,"Bexar County",124,238,4795
35,001,48,439,TX,"Tarrant County",121,248,6038
35,001,17,031,IL,"Cook County",103,149,3402
35,001,35,039,NM,"Rio Arriba County",102,196,2734
35,001,35,055,NM,"Taos County",98,155,2363
35,001,08,059,CO,"Jefferson County",96,156,4321
35,001,08,001,CO,"Adams County",88,160,2897
35,001,06,059,CA,"Orange County",87,159,4849
35,001,06,085,CA,"Santa Clara County",82,150,6786
35,001,06,001,CA,"Alameda County",80,131,3322
35,001,35,047,NM,"San Miguel County",78,136,2112
35,001,35,053,NM,"Socorro County",77,148,1713
35,001,41,051,OR,"Multnomah County",76,108,2515
35,001,51,059,VA,"Fairfax County",76,172,6338
35,001,08,013,CO,"Boulder County",74,123,3233
35,001,41,067,OR,"Washington County",72,154,4537
35,001,06,065,CA,"Riverside County",66,121,2082
35,001,35,005,NM,"Chaves County",66,117,1758
35,001,49,035,UT,"Salt Lake County",65,151,6737
35,001,06,067,CA,"Sacramento County",61,124,2831
35,001,12,025,FL,"Dade County",61,119,1528
35,001,35,035,NM,"Otero County",60,136,2145
35,001,48,085,TX,"Collin County",58,121,3702
35,001,48,303,TX,"Lubbock County",56,100,1859
35,001,08,069,CO,"Larimer County",55,99,3273
35,001,06,071,CA,"San Bernardino Count",53,110,1729
35,001,06,075,CA,"San Francisco County",53,62,2022
35,001,08,035,CO,"Douglas County",52,113,3498
35,001,24,031,MD,"Montgomery County",48,102,3753
35,001,40,109,OK,"Oklahoma County",48,98,1877
35,001,08,067,CO,"La Plata County",46,83,2088
35,001,27,053,MN,"Hennepin County",46,63,1430
35,001,35,028,NM,"Los Alamos County",46,97,2507
35,001,35,009,NM,"Curry County",45,85,1269
35,001,11,001,DC,"District Of Columbia",43,53,1892
35,001,12,057,FL,"Hillsborough County",43,99,1404
35,001,35,027,NM,"Lincoln County",43,75,1542
35,001,12,103,FL,"Pinellas County",41,61,1296
35,001,35,015,NM,"Eddy County",41,66,1153
35,001,06,029,CA,"Kern County",40,83,1369
35,001,25,017,MA,"Middlesex County",39,60,1843
35,001,48,121,TX,"Denton County",39,71,1575
35,001,12,099,FL,"Palm Beach County",35,57,1205
35,001,15,003,HI,"Honolulu County",35,71,1545
35,001,35,007,NM,"Colfax County",35,76,1194
35,001,53,061,WA,"Snohomish County",35,61,1224
35,001,12,091,FL,"Okaloosa County",34,101,1834
35,001,29,189,MO,"St Louis County",34,71,2102
35,001,36,061,NY,"New York County",34,39,874
35,001,02,020,AK,"Anchorage Borough",33,72,1601
35,001,35,051,NM,"Sierra County",33,46,897
35,001,12,095,FL,"Orange County",32,47,1025
35,001,35,025,NM,"Lea County",32,57,626
