"2000 - 2001 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Mississippi,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
28,000,96,000,MS,"Total Mig - US & For",66000,136154,2009690
28,000,97,000,MS,"Total Mig - US",64566,133757,1982397
28,000,97,001,MS,"Total Mig - US Same St",36967,76677,1031657
28,000,97,003,MS,"Total Mig - US Diff St",27599,57080,950740
28,000,98,000,MS,"Total Mig - Foreign",1434,2397,27293
28,001,96,000,MS,"Adams County Tot Mig-US & For",500,1026,14293
28,001,97,000,MS,"Adams County Tot Mig-US",500,1026,14293
28,001,97,001,MS,"Adams County Tot Mig-Same St",175,358,4797
28,001,97,003,MS,"Adams County Tot Mig-Diff St",325,668,9495
28,001,28,001,MS,"Adams County Non-Migrants",10947,24786,377154
28,001,22,029,LA,"Concordia Parish",80,167,2189
28,001,28,049,MS,"Hinds County",25,49,710
28,001,28,037,MS,"Franklin County",21,45,503
28,001,28,063,MS,"Jefferson County",19,51,444
28,001,22,033,LA,"East Baton Rouge Par",18,29,502
28,001,28,005,MS,"Amite County",11,19,213
28,001,22,051,LA,"Jefferson Parish",10,15,229
28,001,58,000,SS,"Other Flows - Same State",99,194,2927
28,001,59,000,DS,"Other Flows - Diff State",217,457,6576
28,001,59,001,DS,"Other Flows - Northeast",13,20,398
28,001,59,003,DS,"Other Flows - Midwest",31,73,734
28,001,59,005,DS,"Other Flows - South",155,323,5017
28,001,59,007,DS,"Other Flows - West",18,41,427
28,003,96,000,MS,"Alcorn County Tot Mig-US & For",715,1511,22891
28,003,97,000,MS,"Alcorn County Tot Mig-US",715,1511,22891
28,003,97,001,MS,"Alcorn County Tot Mig-Same St",330,718,9116
28,003,97,003,MS,"Alcorn County Tot Mig-Diff St",385,793,13775
28,003,28,003,MS,"Alcorn County Non-Migrants",11474,26260,410656
28,003,28,117,MS,"Prentiss County",106,222,3073
28,003,28,141,MS,"Tishomingo County",59,125,1405
28,003,47,109,TN,"Mcnairy County",59,128,1267
28,003,28,139,MS,"Tippah County",36,86,901
28,003,28,081,MS,"Lee County",29,54,876
28,003,47,157,TN,"Shelby County",21,42,828
28,003,47,071,TN,"Hardin County",18,34,636
