"2000 - 2001 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
NewMexico,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,000,96,000,NM,"Total Mig - US & For",47297,96374,1504131
35,000,97,000,NM,"Total Mig - US",45945,93582,1471814
35,000,97,001,NM,"Total Mig - US Same St",18669,38237,482038
35,000,97,003,NM,"Total Mig - US Diff St",27276,55345,989775
35,000,98,000,NM,"Total Mig - Foreign",1352,2792,32317
35,001,96,000,NM,"Bernalillo Coun Tot Mig-US & For",14342,26487,491089
35,001,97,000,NM,"Bernalillo Coun Tot Mig-US",13882,25641,479734
35,001,97,001,NM,"Bernalillo Coun Tot Mig-Same St",5417,9908,141365
35,001,97,003,NM,"Bernalillo Coun Tot Mig-Diff St",8465,15733,338368
35,001,98,000,NM,"Bernalillo Coun Tot Mig-Foreign",460,846,11355
35,001,35,001,NM,"Bernalillo Coun Non-Migrants",175147,360100,7435439
35,001,35,043,NM,"Sandoval County",1353,2530,41022
35,001,35,061,NM,"Valencia County",759,1556,19537
35,001,35,049,NM,"Santa Fe County",643,1085,18554
35,001,04,013,AZ,"Maricopa County",393,748,16030
35,001,35,013,NM,"Dona Ana County",341,565,9119
35,001,35,031,NM,"Mckinley County",312,586,6216
35,001,35,045,NM,"San Juan County",281,487,6084
35,001,48,141,TX,"El Paso County",277,598,6575
35,001,06,037,CA,"Los Angeles County",227,429,7583
35,001,57,005,FR,"Foreign - APO/FPO ZIPs",225,541,8096
35,001,35,006,NM,"Cibola County",185,335,3929
35,001,32,003,NV,"Clark County",167,322,6699
35,001,35,057,NM,"Torrance County",165,336,3767
35,001,06,073,CA,"San Diego County",159,301,5218
35,001,35,039,NM,"Rio Arriba County",156,266,3339
35,001,35,005,NM,"Chaves County",154,265,3193
35,001,35,047,NM,"San Miguel County",147,273,3716
35,001,04,019,AZ,"Pima County",139,272,5538
35,001,35,055,NM,"Taos County",127,200,2473
35,001,48,029,TX,"Bexar County",115,221,5221
35,001,48,113,TX,"Dallas County",115,229,5861
35,001,48,201,TX,"Harris County",114,198,4980
35,001,35,053,NM,"Socorro County",102,172,1984
35,001,48,439,TX,"Tarrant County",101,182,3689
35,001,08,041,CO,"El Paso County",96,223,3701
35,001,08,031,CO,"Denver County",93,148,2568
35,001,53,033,WA,"King County",93,142,4616
35,001,17,031,IL,"Cook County",92,136,3562
35,001,35,015,NM,"Eddy County",90,148,2314
35,001,35,035,NM,"Otero County",90,175,2885
35,001,06,059,CA,"Orange County",88,184,4847
35,001,49,035,UT,"Salt Lake County",82,188,3786
35,001,35,009,NM,"Curry County",78,151,1847
35,001,06,085,CA,"Santa Clara County",69,119,7025
35,001,48,453,TX,"Travis County",68,107,2839
35,001,06,071,CA,"San Bernardino Count",67,139,1811
35,001,08,005,CO,"Arapahoe County",64,106,2189
35,001,40,109,OK,"Oklahoma County",62,130,2631
35,001,35,017,NM,"Grant County",58,107,1082
35,001,06,001,CA,"Alameda County",54,107,3326
35,001,08,059,CO,"Jefferson County",53,93,2280
35,001,35,007,NM,"Colfax County",52,87,1324
35,001,06,065,CA,"Riverside County",50,113,1578
35,001,35,028,NM,"Los Alamos County",49,91,2427
35,001,08,001,CO,"Adams County",48,99,1808
35,001,08,013,CO,"Boulder County",47,85,2726
35,001,51,059,VA,"Fairfax County",47,81,3165
35,001,04,001,AZ,"Apache County",46,85,1005
35,001,25,017,MA,"Middlesex County",46,72,1784
35,001,35,025,NM,"Lea County",46,82,1074
35,001,48,303,TX,"Lubbock County",45,75,1446
35,001,27,053,MN,"Hennepin County",43,54,1419
35,001,35,027,NM,"Lincoln County",43,71,920
35,001,08,069,CO,"Larimer County",41,57,1254
35,001,15,003,HI,"Honolulu County",41,82,1618
35,001,12,011,FL,"Broward County",37,56,1843
35,001,04,005,AZ,"Coconino County",36,64,1017
35,001,53,053,WA,"Pierce County",35,84,1060
35,001,24,031,MD,"Montgomery County",33,62,2937
35,001,41,067,OR,"Washington County",33,54,1504
35,001,48,375,TX,"Potter County",33,76,837
35,001,02,020,AK,"Anchorage Borough",32,67,1397
35,001,41,051,OR,"Multnomah County",32,47,1106
35,001,06,075,CA,"San Francisco County",31,36,1623
35,001,08,067,CO,"La Plata County",31,49,749
35,001,20,091,KS,"Johnson County",31,72,1997
35,001,31,055,NE,"Douglas County",31,53,1434
35,001,39,049,OH,"Franklin County",31,54,1345
35,001,06,067,CA,"Sacramento County",30,70,1171
35,001,12,057,FL,"Hillsborough County",30,56,1033
35,001,40,143,OK,"Tulsa County",30,51,949
35,001,12,091,FL,"Okaloosa County",29,74,1429
35,001,35,041,NM,"Roosevelt County",29,49,512
35,001,48,121,TX,"Denton County",29,52,1273
35,001,37,051,NC,"Cumberland County",28,55,613
