"2000 - 2001 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Tennessee,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
47,000,96,000,TN,"Total Mig - US & For",144808,285007,5408264
47,000,97,000,TN,"Total Mig - US",142361,280839,5356546
47,000,97,001,TN,"Total Mig - US Same St",73253,142844,2527680
47,000,97,003,TN,"Total Mig - US Diff St",69108,137995,2828866
47,000,98,000,TN,"Total Mig - Foreign",2447,4168,51718
47,001,96,000,TN,"Anderson County Tot Mig-US & For",1990,4013,68773
47,001,97,000,TN,"Anderson County Tot Mig-US",1959,3957,68240
47,001,97,001,TN,"Anderson County Tot Mig-Same St",1237,2457,37753
47,001,97,003,TN,"Anderson County Tot Mig-Diff St",722,1500,30487
47,001,98,000,TN,"Anderson County Tot Mig-Foreign",31,56,533
47,001,47,001,TN,"Anderson County Non-Migrants",27543,60105,1281158
47,001,47,093,TN,"Knox County",633,1275,20464
47,001,47,129,TN,"Morgan County",108,219,2637
47,001,47,013,TN,"Campbell County",104,223,2677
47,001,47,145,TN,"Roane County",91,181,3012
47,001,47,009,TN,"Blount County",35,72,798
47,001,47,065,TN,"Hamilton County",22,35,674
47,001,47,105,TN,"Loudon County",21,37,746
47,001,47,155,TN,"Sevier County",17,34,375
47,001,47,173,TN,"Union County",16,31,235
47,001,47,035,TN,"Cumberland County",15,28,565
47,001,47,089,TN,"Jefferson County",15,35,345
47,001,17,031,IL,"Cook County",12,27,825
47,001,48,201,TX,"Harris County",12,21,570
47,001,47,107,TN,"Mcminn County",11,20,256
47,001,47,123,TN,"Monroe County",11,17,259
47,001,47,037,TN,"Davidson County",10,14,330
47,001,47,151,TN,"Scott County",10,14,276
47,001,57,005,FR,"Foreign - APO/FPO ZIPs",10,22,234
47,001,58,000,SS,"Other Flows - Same State",118,222,4104
47,001,59,000,DS,"Other Flows - Diff State",698,1452,29092
47,001,59,001,DS,"Other Flows - Northeast",66,128,2900
47,001,59,003,DS,"Other Flows - Midwest",152,312,5724
47,001,59,005,DS,"Other Flows - South",408,856,16702
47,001,59,007,DS,"Other Flows - West",72,156,3765
47,001,57,009,FR,"Foreign - Other flows",21,34,299
47,003,96,000,TN,"Bedford County Tot Mig-US & For",909,1910,27363
47,003,97,000,TN,"Bedford County Tot Mig-US",909,1910,27363
47,003,97,001,TN,"Bedford County Tot Mig-Same St",635,1357,18649
47,003,97,003,TN,"Bedford County Tot Mig-Diff St",274,553,8713
47,003,47,003,TN,"Bedford County Non-Migrants",13147,29761,498337
47,003,47,149,TN,"Rutherford County",207,458,7380
47,003,47,031,TN,"Coffee County",116,267,2958
47,003,47,117,TN,"Marshall County",56,130,1280
47,003,47,037,TN,"Davidson County",45,83,1351
47,003,47,051,TN,"Franklin County",34,72,854
47,003,47,103,TN,"Lincoln County",31,63,892
47,003,47,187,TN,"Williamson County",25,45,826
47,003,47,119,TN,"Maury County",15,24,416
47,003,47,189,TN,"Wilson County",12,29,440
47,003,47,127,TN,"Moore County",10,25,238
47,003,58,000,SS,"Other Flows - Same State",84,161,2013
47,003,59,000,DS,"Other Flows - Diff State",274,553,8713
47,003,59,001,DS,"Other Flows - Northeast",22,42,1472
47,003,59,003,DS,"Other Flows - Midwest",62,112,1651
47,003,59,005,DS,"Other Flows - South",154,320,4579
47,003,59,007,DS,"Other Flows - West",36,79,1010
47,005,96,000,TN,"Benton County Tot Mig-US & For",426,877,11557
47,005,97,000,TN,"Benton County Tot Mig-US",426,877,11557
47,005,97,001,TN,"Benton County Tot Mig-Same St",251,506,5830
47,005,97,003,TN,"Benton County Tot Mig-Diff St",175,371,5727
47,005,47,005,TN,"Benton County Non-Migrants",5662,12525,182725
47,005,47,017,TN,"Carroll County",60,117,1295
47,005,47,079,TN,"Henry County",40,98,839
47,005,47,085,TN,"Humphreys County",19,41,360
47,005,47,157,TN,"Shelby County",18,28,675
47,005,47,039,TN,"Decatur County",14,26,262
47,005,47,053,TN,"Gibson County",12,25,347
47,005,47,037,TN,"Davidson County",10,21,288
47,005,58,000,SS,"Other Flows - Same State",78,150,1764
47,005,59,000,DS,"Other Flows - Diff State",175,371,5727
47,007,96,000,TN,"Bledsoe County Tot Mig-US & For",247,523,6679
47,007,97,000,TN,"Bledsoe County Tot Mig-US",247,523,6679
47,007,97,001,TN,"Bledsoe County Tot Mig-Same St",153,351,3868
47,007,97,003,TN,"Bledsoe County Tot Mig-Diff St",94,172,2811
