"2000 - 2001 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Michigan,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
26,000,97,000,MI,"Total Mig - US",221019,401293,9708755
26,000,97,001,MI,"Total Mig - US Same St",146749,267251,6017201
26,000,97,003,MI,"Total Mig - US Diff St",74270,134042,3691554
26,000,98,000,MI,"Total Mig - Foreign",2406,4263,103974
26,001,96,000,MI,"Alcona County Tot Mig-US & For",401,723,10601
26,001,97,000,MI,"Alcona County Tot Mig-US",401,723,10601
26,001,97,001,MI,"Alcona County Tot Mig-Same St",305,546,8175
26,001,97,003,MI,"Alcona County Tot Mig-Diff St",96,177,2426
26,001,26,001,MI,"Alcona County Non-Migrants",4930,10451,170666
26,001,26,069,MI,"Iosco County",71,140,1566
26,001,26,007,MI,"Alpena County",32,59,687
26,001,26,125,MI,"Oakland County",17,29,553
26,001,26,049,MI,"Genesee County",16,28,251
26,001,26,163,MI,"Wayne County",16,28,1017
26,001,26,099,MI,"Macomb County",14,24,521
26,001,26,145,MI,"Saginaw County",11,16,287
26,001,26,135,MI,"Oscoda County",10,22,181
26,001,58,000,SS,"Other Flows - Same State",118,200,3113
26,001,59,000,DS,"Other Flows - Diff State",96,177,2426
26,003,96,000,MI,"Alger County Tot Mig-US & For",255,423,6585
26,003,97,000,MI,"Alger County Tot Mig-US",255,423,6585
26,003,97,001,MI,"Alger County Tot Mig-Same St",161,268,4003
26,003,97,003,MI,"Alger County Tot Mig-Diff St",94,155,2582
26,003,26,003,MI,"Alger County Non-Migrants",3318,7413,126916
26,003,26,103,MI,"Marquette County",65,107,1812
26,003,26,041,MI,"Delta County",14,26,283
26,003,58,000,SS,"Other Flows - Same State",82,135,1908
26,003,59,000,DS,"Other Flows - Diff State",94,155,2582
26,005,96,000,MI,"Allegan County Tot Mig-US & For",3053,5596,108212
26,005,97,000,MI,"Allegan County Tot Mig-US",3033,5572,107835
26,005,97,001,MI,"Allegan County Tot Mig-Same St",2354,4279,82787
26,005,97,003,MI,"Allegan County Tot Mig-Diff St",679,1293,25049
26,005,98,000,MI,"Allegan County Tot Mig-Foreign",20,24,377
26,005,26,005,MI,"Allegan County Non-Migrants",41446,97926,2034099
26,005,26,139,MI,"Ottawa County",615,1182,22313
26,005,26,081,MI,"Kent County",521,946,19491
26,005,26,077,MI,"Kalamazoo County",453,706,15623
26,005,26,159,MI,"Van Buren County",203,382,5767
26,005,26,015,MI,"Barry County",140,290,5055
26,005,26,021,MI,"Berrien County",41,79,1203
26,005,17,031,IL,"Cook County",40,53,1441
26,005,26,125,MI,"Oakland County",33,45,1380
26,005,26,025,MI,"Calhoun County",31,65,1447
26,005,26,065,MI,"Ingham County",26,41,937
26,005,26,121,MI,"Muskegon County",25,39,777
26,005,04,013,AZ,"Maricopa County",20,29,991
26,005,26,163,MI,"Wayne County",20,41,597
26,005,26,161,MI,"Washtenaw County",18,20,435
26,005,26,149,MI,"St Joseph County",15,31,339
26,005,26,117,MI,"Montcalm County",14,37,494
26,005,12,105,FL,"Polk County",13,29,374
26,005,26,067,MI,"Ionia County",13,18,425
26,005,48,215,TX,"Hidalgo County",13,32,180
26,005,26,123,MI,"Newaygo County",12,24,421
26,005,06,037,CA,"Los Angeles County",11,20,252
26,005,26,027,MI,"Cass County",11,21,286
26,005,26,055,MI,"Grand Traverse Count",11,23,459
26,005,26,073,MI,"Isabella County",10,13,232
26,005,26,099,MI,"Macomb County",10,21,552
26,005,58,000,SS,"Other Flows - Same State",132,255,4554
26,005,59,000,DS,"Other Flows - Diff State",582,1130,21809
26,005,59,001,DS,"Other Flows - Northeast",50,105,2493
26,005,59,003,DS,"Other Flows - Midwest",162,315,6402
26,005,59,005,DS,"Other Flows - South",263,522,8788
26,005,59,007,DS,"Other Flows - West",107,188,4126
26,005,57,009,FR,"Foreign - Other flows",20,24,377
26,007,96,000,MI,"Alpena County Tot Mig-US & For",643,1110,21948
26,007,97,000,MI,"Alpena County Tot Mig-US",643,1110,21948
26,007,97,001,MI,"Alpena County Tot Mig-Same St",452,805,13045
26,007,97,003,MI,"Alpena County Tot Mig-Diff St",191,305,8903
26,007,26,007,MI,"Alpena County Non-Migrants",12136,27129,492977
26,007,26,141,MI,"Presque Isle County",49,96,1758
26,007,26,081,MI,"Kent County",30,51,814
26,007,26,125,MI,"Oakland County",30,50,1040
26,007,26,065,MI,"Ingham County",29,47,803
26,007,26,001,MI,"Alcona County",28,56,690
26,007,26,099,MI,"Macomb County",27,45,826
26,007,26,163,MI,"Wayne County",23,29,517
26,007,26,119,MI,"Montmorency County",17,30,247
26,007,26,055,MI,"Grand Traverse Count",13,23,331
26,007,26,017,MI,"Bay County",12,19,361
26,007,26,161,MI,"Washtenaw County",12,18,253
26,007,26,049,MI,"Genesee County",11,21,273
26,007,26,137,MI,"Otsego County",11,28,327
26,007,26,145,MI,"Saginaw County",10,19,393
26,007,58,000,SS,"Other Flows - Same State",150,273,4414
26,007,59,000,DS,"Other Flows - Diff State",191,305,8903
26,007,59,001,DS,"Other Flows - Northeast",12,18,440
26,007,59,003,DS,"Other Flows - Midwest",58,93,5457
26,007,59,005,DS,"Other Flows - South",75,120,2009
26,007,59,007,DS,"Other Flows - West",46,74,997
26,009,96,000,MI,"Antrim County Tot Mig-US & For",892,1590,29481
26,009,97,000,MI,"Antrim County Tot Mig-US",881,1572,29284
26,009,97,001,MI,"Antrim County Tot Mig-Same St",668,1193,21437
26,009,97,003,MI,"Antrim County Tot Mig-Diff St",213,379,7847
26,009,98,000,MI,"Antrim County Tot Mig-Foreign",11,18,197
26,009,26,009,MI,"Antrim County Non-Migrants",10579,23603,502958
26,009,26,055,MI,"Grand Traverse Count",151,260,6221
26,009,26,029,MI,"Charlevoix County",103,194,2984
26,009,26,079,MI,"Kalkaska County",65,129,1373
26,009,26,137,MI,"Otsego County",36,66,1043
26,009,26,081,MI,"Kent County",27,46,928
26,009,26,163,MI,"Wayne County",23,32,780
26,009,26,125,MI,"Oakland County",20,31,577
26,009,26,047,MI,"Emmet County",18,34,705
26,009,26,099,MI,"Macomb County",18,23,572
26,009,26,161,MI,"Washtenaw County",17,20,437
26,009,26,049,MI,"Genesee County",13,26,391
26,009,17,031,IL,"Cook County",11,11,276
26,009,26,139,MI,"Ottawa County",11,15,258
26,009,58,000,SS,"Other Flows - Same State",166,317,5168
26,009,59,000,DS,"Other Flows - Diff State",202,368,7571
26,009,59,001,DS,"Other Flows - Northeast",14,30,306
26,009,59,003,DS,"Other Flows - Midwest",26,42,798
26,009,59,005,DS,"Other Flows - South",111,209,4463
26,009,59,007,DS,"Other Flows - West",51,87,2004
26,009,57,009,FR,"Foreign - Other flows",11,18,197
26,011,96,000,MI,"Arenac County Tot Mig-US & For",488,879,15652
26,011,97,000,MI,"Arenac County Tot Mig-US",488,879,15652
26,011,97,001,MI,"Arenac County Tot Mig-Same St",405,729,13666
26,011,97,003,MI,"Arenac County Tot Mig-Diff St",83,150,1987
26,011,26,011,MI,"Arenac County Non-Migrants",7008,15519,253091
26,011,26,017,MI,"Bay County",105,180,2943
26,011,26,129,MI,"Ogemaw County",38,83,811
26,011,26,069,MI,"Iosco County",33,56,919
26,011,26,145,MI,"Saginaw County",24,40,958
26,011,26,163,MI,"Wayne County",24,29,598
26,011,26,125,MI,"Oakland County",18,29,635
26,011,26,049,MI,"Genesee County",16,25,385
26,011,26,111,MI,"Midland County",14,24,600
26,011,26,051,MI,"Gladwin County",11,21,283
26,011,58,000,SS,"Other Flows - Same State",122,242,5534
26,011,59,000,DS,"Other Flows - Diff State",83,150,1987
26,013,96,000,MI,"Baraga County Tot Mig-US & For",185,320,4424
26,013,97,000,MI,"Baraga County Tot Mig-US",185,320,4424
26,013,97,001,MI,"Baraga County Tot Mig-Same St",126,232,3264
26,013,97,003,MI,"Baraga County Tot Mig-Diff St",59,88,1161
26,013,26,013,MI,"Baraga County Non-Migrants",3052,6741,114749
26,013,26,061,MI,"Houghton County",33,72,929
26,013,26,103,MI,"Marquette County",31,55,853
26,013,58,000,SS,"Other Flows - Same State",62,105,1482
26,013,59,000,DS,"Other Flows - Diff State",59,88,1161
26,015,96,000,MI,"Barry County Tot Mig-US & For",1589,2880,54673
26,015,97,000,MI,"Barry County Tot Mig-US",1579,2869,54438
26,015,97,001,MI,"Barry County Tot Mig-Same St",1284,2351,42593
26,015,97,003,MI,"Barry County Tot Mig-Diff St",295,518,11845
26,015,98,000,MI,"Barry County Tot Mig-Foreign",10,11,234
26,015,26,015,MI,"Barry County Non-Migrants",21986,52019,1120334
26,015,26,081,MI,"Kent County",293,482,11173
26,015,26,025,MI,"Calhoun County",245,458,7781
26,015,26,077,MI,"Kalamazoo County",192,347,5392
26,015,26,005,MI,"Allegan County",113,208,3142
26,015,26,045,MI,"Eaton County",90,162,2481
26,015,26,067,MI,"Ionia County",80,169,3283
26,015,26,139,MI,"Ottawa County",37,77,1632
26,015,26,065,MI,"Ingham County",30,62,714
26,015,26,125,MI,"Oakland County",21,28,677
26,015,26,037,MI,"Clinton County",14,28,545
26,015,04,013,AZ,"Maricopa County",10,23,297
26,015,26,023,MI,"Branch County",10,26,257
26,015,26,099,MI,"Macomb County",10,18,376
26,015,26,107,MI,"Mecosta County",10,16,336
26,015,26,123,MI,"Newaygo County",10,19,288
26,015,58,000,SS,"Other Flows - Same State",129,251,4516
26,015,59,000,DS,"Other Flows - Diff State",285,495,11548
26,015,59,001,DS,"Other Flows - Northeast",25,42,887
26,015,59,003,DS,"Other Flows - Midwest",88,170,3726
26,015,59,005,DS,"Other Flows - South",123,210,4565
26,015,59,007,DS,"Other Flows - West",49,73,2370
26,015,57,009,FR,"Foreign - Other flows",10,11,234
26,017,96,000,MI,"Bay County Tot Mig-US & For",2277,4026,81664
26,017,97,000,MI,"Bay County Tot Mig-US",2264,4009,81401
26,017,97,001,MI,"Bay County Tot Mig-Same St",1739,3100,60890
26,017,97,003,MI,"Bay County Tot Mig-Diff St",525,909,20511
26,017,98,000,MI,"Bay County Tot Mig-Foreign",13,17,263
