"2000 - 2001 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Montana,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
30,000,96,000,MT,"Total Mig - US & For",27213,49872,782577
30,000,97,000,MT,"Total Mig - US",26763,49072,773364
30,000,97,001,MT,"Total Mig - US Same St",11086,20882,299662
30,000,97,003,MT,"Total Mig - US Diff St",15677,28190,473702
30,000,98,000,MT,"Total Mig - Foreign",450,800,9213
30,001,96,000,MT,"Beaverhead Coun Tot Mig-US & For",314,591,9466
30,001,97,000,MT,"Beaverhead Coun Tot Mig-US",314,591,9466
30,001,97,001,MT,"Beaverhead Coun Tot Mig-Same St",161,300,5087
30,001,97,003,MT,"Beaverhead Coun Tot Mig-Diff St",153,291,4379
30,001,30,001,MT,"Beaverhead Coun Non-Migrants",2731,6219,99889
30,001,30,093,MT,"Silver Bow County",21,40,659
30,001,30,031,MT,"Gallatin County",20,35,580
30,001,30,049,MT,"Lewis And Clark Coun",19,30,414
30,001,30,057,MT,"Madison County",13,21,241
30,001,30,063,MT,"Missoula County",11,17,249
30,001,30,029,MT,"Flathead County",10,18,181
30,001,58,000,SS,"Other Flows - Same State",67,139,2763
30,001,59,000,DS,"Other Flows - Diff State",153,291,4379
30,003,96,000,MT,"Big Horn County Tot Mig-US & For",240,502,5440
30,003,97,000,MT,"Big Horn County Tot Mig-US",240,502,5440
30,003,97,001,MT,"Big Horn County Tot Mig-Same St",124,279,2378
30,003,97,003,MT,"Big Horn County Tot Mig-Diff St",116,223,3063
30,003,30,003,MT,"Big Horn County Non-Migrants",3493,8974,100278
30,003,30,111,MT,"Yellowstone County",68,151,1242
30,003,30,087,MT,"Rosebud County",14,29,250
30,003,56,033,WY,"Sheridan County",14,21,424
30,003,30,031,MT,"Gallatin County",12,27,191
30,003,58,000,SS,"Other Flows - Same State",30,72,695
30,003,59,000,DS,"Other Flows - Diff State",102,202,2638
30,005,96,000,MT,"Blaine County Tot Mig-US & For",169,379,3863
30,005,97,000,MT,"Blaine County Tot Mig-US",169,379,3863
30,005,97,001,MT,"Blaine County Tot Mig-Same St",120,267,2578
30,005,97,003,MT,"Blaine County Tot Mig-Diff St",49,112,1285
30,005,30,005,MT,"Blaine County Non-Migrants",2065,4913,55652
30,005,30,041,MT,"Hill County",43,85,774
30,005,30,013,MT,"Cascade County",11,27,189
30,005,58,000,SS,"Other Flows - Same State",66,155,1614
30,005,59,000,DS,"Other Flows - Diff State",49,112,1285
30,007,96,000,MT,"Broadwater Coun Tot Mig-US & For",128,233,4979
30,007,97,000,MT,"Broadwater Coun Tot Mig-US",128,233,4979
30,007,97,001,MT,"Broadwater Coun Tot Mig-Same St",78,131,3558
30,007,97,003,MT,"Broadwater Coun Tot Mig-Diff St",50,102,1420
30,007,30,007,MT,"Broadwater Coun Non-Migrants",1351,3108,48414
30,007,30,049,MT,"Lewis And Clark Coun",29,50,2416
30,007,30,031,MT,"Gallatin County",10,14,222
30,007,58,000,SS,"Other Flows - Same State",39,67,920
30,007,59,000,DS,"Other Flows - Diff State",50,102,1420
30,009,96,000,MT,"Carbon County Tot Mig-US & For",319,567,9385
30,009,97,000,MT,"Carbon County Tot Mig-US",319,567,9385
30,009,97,001,MT,"Carbon County Tot Mig-Same St",169,306,5696
30,009,97,003,MT,"Carbon County Tot Mig-Diff St",150,261,3690
30,009,30,009,MT,"Carbon County Non-Migrants",3181,7049,127400
30,009,30,111,MT,"Yellowstone County",102,183,3535
30,009,30,031,MT,"Gallatin County",13,22,380
30,009,30,095,MT,"Stillwater County",11,18,455
30,009,56,029,WY,"Park County",11,20,300
30,009,58,000,SS,"Other Flows - Same State",43,83,1326
30,009,59,000,DS,"Other Flows - Diff State",139,241,3390
30,011,96,000,MT,"Carter County Tot Mig-US & For",31,54,653
30,011,97,000,MT,"Carter County Tot Mig-US",31,54,653
