"2000 - 2001 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Ohio,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
39,000,96,000,OH,"Total Mig - US & For",261225,468827,11013764
39,000,97,000,OH,"Total Mig - US",258799,464695,10928884
39,000,97,001,OH,"Total Mig - US Same St",160789,285506,6006051
39,000,97,003,OH,"Total Mig - US Diff St",98010,179189,4922833
39,000,98,000,OH,"Total Mig - Foreign",2426,4132,84880
39,001,96,000,OH,"Adams County Tot Mig-US & For",638,1312,15277
39,001,97,000,OH,"Adams County Tot Mig-US",638,1312,15277
39,001,97,001,OH,"Adams County Tot Mig-Same St",476,976,11429
39,001,97,003,OH,"Adams County Tot Mig-Diff St",162,336,3849
39,001,39,001,OH,"Adams County Non-Migrants",11244,25430,357521
39,001,39,071,OH,"Highland County",78,151,1632
39,001,39,015,OH,"Brown County",76,156,2001
39,001,39,025,OH,"Clermont County",73,152,2037
39,001,39,145,OH,"Scioto County",59,136,1195
39,001,39,131,OH,"Pike County",36,84,603
39,001,39,061,OH,"Hamilton County",31,52,814
39,001,39,049,OH,"Franklin County",18,28,363
39,001,39,027,OH,"Clinton County",17,35,549
39,001,39,017,OH,"Butler County",15,33,435
39,001,39,113,OH,"Montgomery County",15,27,371
39,001,21,161,KY,"Mason County",14,32,354
39,001,39,141,OH,"Ross County",10,27,267
39,001,58,000,SS,"Other Flows - Same State",48,95,1162
39,001,59,000,DS,"Other Flows - Diff State",148,304,3494
39,003,96,000,OH,"Allen County Tot Mig-US & For",2267,3981,74057
39,003,97,000,OH,"Allen County Tot Mig-US",2251,3958,73628
39,003,97,001,OH,"Allen County Tot Mig-Same St",1411,2415,41710
39,003,97,003,OH,"Allen County Tot Mig-Diff St",840,1543,31919
39,003,98,000,OH,"Allen County Tot Mig-Foreign",16,23,429
39,003,39,003,OH,"Allen County Non-Migrants",42210,90727,1810479
39,003,39,011,OH,"Auglaize County",227,428,6923
39,003,39,049,OH,"Franklin County",190,267,4649
39,003,39,137,OH,"Putnam County",120,203,3411
39,003,39,065,OH,"Hardin County",115,211,3081
39,003,39,063,OH,"Hancock County",110,176,3065
39,003,39,161,OH,"Van Wert County",70,129,1683
39,003,39,095,OH,"Lucas County",68,119,2485
39,003,39,113,OH,"Montgomery County",52,79,1639
39,003,39,091,OH,"Logan County",44,81,1700
39,003,39,149,OH,"Shelby County",37,69,945
39,003,39,061,OH,"Hamilton County",36,53,1704
39,003,18,003,IN,"Allen County",28,48,770
39,003,39,173,OH,"Wood County",25,35,876
39,003,39,035,OH,"Cuyahoga County",23,28,531
39,003,39,107,OH,"Mercer County",22,38,577
39,003,39,109,OH,"Miami County",18,40,737
39,003,12,071,FL,"Lee County",17,30,891
39,003,39,041,OH,"Delaware County",17,27,399
39,003,17,031,IL,"Cook County",16,24,633
39,003,26,163,MI,"Wayne County",16,34,718
39,003,18,097,IN,"Marion County",14,22,302
39,003,39,147,OH,"Seneca County",13,21,208
39,003,04,013,AZ,"Maricopa County",12,22,560
39,003,06,037,CA,"Los Angeles County",12,20,276
39,003,39,045,OH,"Fairfield County",12,23,419
39,003,39,057,OH,"Greene County",11,23,266
39,003,39,017,OH,"Butler County",10,32,529
39,003,39,025,OH,"Clermont County",10,21,477
39,003,39,039,OH,"Defiance County",10,20,344
39,003,39,093,OH,"Lorain County",10,17,439
39,003,39,153,OH,"Summit County",10,16,225
39,003,39,159,OH,"Union County",10,12,275
39,003,58,000,SS,"Other Flows - Same State",141,247,4123
39,003,59,000,DS,"Other Flows - Diff State",725,1343,27769
39,003,59,001,DS,"Other Flows - Northeast",65,110,1853
39,003,59,003,DS,"Other Flows - Midwest",192,358,7875
39,003,59,005,DS,"Other Flows - South",369,703,13585
39,003,59,007,DS,"Other Flows - West",99,172,4456
39,003,57,009,FR,"Foreign - Other flows",16,23,429
39,005,96,000,OH,"Ashland County Tot Mig-US & For",1262,2307,41790
39,005,97,000,OH,"Ashland County Tot Mig-US",1250,2286,41605
39,005,97,001,OH,"Ashland County Tot Mig-Same St",924,1678,29783
39,005,97,003,OH,"Ashland County Tot Mig-Diff St",326,608,11822
39,005,98,000,OH,"Ashland County Tot Mig-Foreign",12,21,185
39,005,39,005,OH,"Ashland County Non-Migrants",20912,45098,872873
39,005,39,139,OH,"Richland County",289,523,9464
39,005,39,169,OH,"Wayne County",100,197,2960
39,005,39,049,OH,"Franklin County",67,99,3095
39,005,39,077,OH,"Huron County",54,83,1215
39,005,39,103,OH,"Medina County",53,101,1791
39,005,39,035,OH,"Cuyahoga County",41,69,1390
39,005,39,083,OH,"Knox County",35,88,1076
39,005,39,075,OH,"Holmes County",34,77,1070
39,005,39,093,OH,"Lorain County",34,64,933
39,005,39,033,OH,"Crawford County",26,45,638
39,005,39,153,OH,"Summit County",24,40,781
39,005,39,151,OH,"Stark County",16,33,476
39,005,39,041,OH,"Delaware County",13,19,552
39,005,58,000,SS,"Other Flows - Same State",138,240,4341
39,005,59,000,DS,"Other Flows - Diff State",326,608,11822
39,005,59,001,DS,"Other Flows - Northeast",23,42,671
39,005,59,003,DS,"Other Flows - Midwest",73,162,2383
39,005,59,005,DS,"Other Flows - South",180,320,7256
39,005,59,007,DS,"Other Flows - West",50,84,1512
39,005,57,009,FR,"Foreign - Other flows",12,21,185
39,007,96,000,OH,"Ashtabula Count Tot Mig-US & For",1994,3593,56940
39,007,97,000,OH,"Ashtabula Count Tot Mig-US",1969,3553,56586
39,007,97,001,OH,"Ashtabula Count Tot Mig-Same St",1069,1876,30954
39,007,97,003,OH,"Ashtabula Count Tot Mig-Diff St",900,1677,25632
39,007,98,000,OH,"Ashtabula Count Tot Mig-Foreign",25,40,355
39,007,39,007,OH,"Ashtabula Count Non-Migrants",39199,84725,1422368
39,007,39,085,OH,"Lake County",354,611,10410
