"2001 - 2002 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Maryland,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
24,000,96,000,MD,"Total Mig - US & For",164497,300379,7432925
24,000,97,000,MD,"Total Mig - US",158402,289992,7283821
24,000,97,001,MD,"Total Mig - US Same St",80755,149740,3622151
24,000,97,003,MD,"Total Mig - US Diff St",77647,140252,3661670
24,000,98,000,MD,"Total Mig - Foreign",6095,10387,149104
24,001,96,000,MD,"Allegany County Tot Mig-US & For",1029,1916,30916
24,001,97,000,MD,"Allegany County Tot Mig-US",1017,1900,30735
24,001,97,001,MD,"Allegany County Tot Mig-Same St",301,527,9518
24,001,97,003,MD,"Allegany County Tot Mig-Diff St",716,1373,21217
24,001,98,000,MD,"Allegany County Tot Mig-Foreign",12,16,182
24,001,24,001,MD,"Allegany County Non-Migrants",24953,52880,951370
24,001,54,057,WV,"Mineral County",133,256,3249
24,001,24,023,MD,"Garrett County",73,134,2548
24,001,42,009,PA,"Bedford County",48,78,1240
24,001,24,043,MD,"Washington County",46,84,1355
24,001,24,005,MD,"Baltimore County",27,47,701
24,001,24,031,MD,"Montgomery County",26,32,1145
24,001,24,021,MD,"Frederick County",25,40,896
24,001,42,111,PA,"Somerset County",25,45,513
24,001,24,003,MD,"Anne Arundel County",24,44,757
24,001,54,027,WV,"Hampshire County",20,45,347
24,001,24,033,MD,"Prince George's Coun",19,34,514
24,001,54,003,WV,"Berkeley County",16,34,612
24,001,24,510,MD,Baltimore,11,20,130
24,001,54,061,WV,"Monongalia County",10,17,358
24,001,58,000,SS,"Other Flows - Same State",50,92,1472
24,001,59,000,DS,"Other Flows - Diff State",464,898,14900
24,001,59,001,DS,"Other Flows - Northeast",112,201,3751
24,001,59,003,DS,"Other Flows - Midwest",53,114,1471
24,001,59,005,DS,"Other Flows - South",241,472,7517
24,001,59,007,DS,"Other Flows - West",58,111,2161
24,001,57,009,FR,"Foreign - Other flows",12,16,182
24,003,96,000,MD,"Anne Arundel Co Tot Mig-US & For",17169,31381,872369
24,003,97,000,MD,"Anne Arundel Co Tot Mig-US",16502,29788,843906
24,003,97,001,MD,"Anne Arundel Co Tot Mig-Same St",8607,15430,438648
24,003,97,003,MD,"Anne Arundel Co Tot Mig-Diff St",7895,14358,405259
24,003,98,000,MD,"Anne Arundel Co Tot Mig-Foreign",667,1593,28462
24,003,24,003,MD,"Anne Arundel Co Non-Migrants",185498,398448,12056068
24,003,24,033,MD,"Prince George's Coun",2402,4579,128951
24,003,24,005,MD,"Baltimore County",1528,2670,71028
24,003,24,510,MD,Baltimore,1259,2348,52944
24,003,24,027,MD,"Howard County",1093,1874,60380
24,003,24,031,MD,"Montgomery County",808,1361,53831
24,003,57,005,FR,"Foreign - APO/FPO ZIPs",587,1441,24295
24,003,51,059,VA,"Fairfax County",353,638,34415
24,003,24,009,MD,"Calvert County",293,515,14397
24,003,11,001,DC,"District Of Columbia",253,396,18073
24,003,24,035,MD,"Queen Anne's County",206,367,10037
24,003,24,017,MD,"Charles County",175,291,8731
24,003,24,025,MD,"Harford County",167,310,8029
24,003,24,013,MD,"Carroll County",144,239,7944
24,003,06,073,CA,"San Diego County",137,289,6309
24,003,15,003,HI,"Honolulu County",130,371,5986
24,003,51,013,VA,"Arlington County",99,143,6713
24,003,24,021,MD,"Frederick County",94,167,4945
24,003,06,037,CA,"Los Angeles County",93,156,5516
24,003,51,510,VA,Alexandria,90,129,6891
24,003,12,033,FL,"Escambia County",84,139,1889
24,003,51,810,VA,"Virginia Beach",75,172,3768
24,003,06,053,CA,"Monterey County",72,163,2586
24,003,24,041,MD,"Talbot County",72,126,2976
24,003,51,153,VA,"Prince William Count",71,139,3474
24,003,24,045,MD,"Wicomico County",70,107,2154
24,003,48,029,TX,"Bexar County",64,172,3195
24,003,17,031,IL,"Cook County",59,94,5055
24,003,04,013,AZ,"Maricopa County",58,93,3192
24,003,37,133,NC,"Onslow County",58,142,1941
24,003,42,003,PA,"Allegheny County",58,96,2630
24,003,12,011,FL,"Broward County",55,101,3512
24,003,24,011,MD,"Caroline County",55,96,1709
24,003,36,061,NY,"New York County",55,74,2702
24,003,48,201,TX,"Harris County",55,87,3054
24,003,24,047,MD,"Worcester County",54,86,2055
24,003,42,133,PA,"York County",53,70,2401
