"2001 - 2002 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Mississippi,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
28,000,96,000,MS,"Total Mig - US & For",66714,137309,2013993
28,000,97,000,MS,"Total Mig - US",65205,134718,1984091
28,000,97,001,MS,"Total Mig - US Same St",36965,76854,1028919
28,000,97,003,MS,"Total Mig - US Diff St",28240,57864,955172
28,000,98,000,MS,"Total Mig - Foreign",1509,2591,29902
28,001,96,000,MS,"Adams County Tot Mig-US & For",537,1082,15515
28,001,97,000,MS,"Adams County Tot Mig-US",537,1082,15515
28,001,97,001,MS,"Adams County Tot Mig-Same St",202,395,5581
28,001,97,003,MS,"Adams County Tot Mig-Diff St",335,687,9934
28,001,28,001,MS,"Adams County Non-Migrants",10755,24131,382222
28,001,22,029,LA,"Concordia Parish",90,200,2167
28,001,28,063,MS,"Jefferson County",24,50,555
28,001,28,049,MS,"Hinds County",21,41,611
28,001,28,037,MS,"Franklin County",18,39,530
28,001,22,033,LA,"East Baton Rouge Par",11,22,353
28,001,28,089,MS,"Madison County",11,18,350
28,001,28,121,MS,"Rankin County",11,15,395
28,001,28,005,MS,"Amite County",10,27,329
28,001,28,149,MS,"Warren County",10,19,382
28,001,58,000,SS,"Other Flows - Same State",97,186,2429
28,001,59,000,DS,"Other Flows - Diff State",234,465,7414
28,003,96,000,MS,"Alcorn County Tot Mig-US & For",616,1308,17377
28,003,97,000,MS,"Alcorn County Tot Mig-US",616,1308,17377
28,003,97,001,MS,"Alcorn County Tot Mig-Same St",302,654,8589
28,003,97,003,MS,"Alcorn County Tot Mig-Diff St",314,654,8788
28,003,28,003,MS,"Alcorn County Non-Migrants",11560,26602,418834
28,003,28,117,MS,"Prentiss County",81,185,2125
28,003,28,141,MS,"Tishomingo County",60,119,1278
28,003,47,109,TN,"Mcnairy County",48,100,1095
28,003,28,139,MS,"Tippah County",39,92,749
28,003,28,081,MS,"Lee County",34,75,1277
28,003,47,157,TN,"Shelby County",24,43,684
28,003,47,071,TN,"Hardin County",11,20,216
28,003,47,069,TN,"Hardeman County",10,21,182
28,003,47,113,TN,"Madison County",10,22,260
28,003,58,000,SS,"Other Flows - Same State",88,183,3160
