"2001 - 2002 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Montana,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
30,000,96,000,MT,"Total Mig - US & For",27155,50977,872339
30,000,97,000,MT,"Total Mig - US",26627,50088,861856
30,000,97,001,MT,"Total Mig - US Same St",11394,21349,297610
30,000,97,003,MT,"Total Mig - US Diff St",15233,28739,564245
30,000,98,000,MT,"Total Mig - Foreign",528,889,10484
30,001,96,000,MT,"Beaverhead Coun Tot Mig-US & For",276,542,7943
30,001,97,000,MT,"Beaverhead Coun Tot Mig-US",276,542,7943
30,001,97,001,MT,"Beaverhead Coun Tot Mig-Same St",121,221,2957
30,001,97,003,MT,"Beaverhead Coun Tot Mig-Diff St",155,321,4986
30,001,30,001,MT,"Beaverhead Coun Non-Migrants",2754,6075,103085
30,001,30,031,MT,"Gallatin County",15,34,468
30,001,30,093,MT,"Silver Bow County",15,35,371
30,001,30,057,MT,"Madison County",11,12,144
30,001,30,111,MT,"Yellowstone County",10,16,402
30,001,58,000,SS,"Other Flows - Same State",70,124,1572
30,001,59,000,DS,"Other Flows - Diff State",155,321,4986
30,003,96,000,MT,"Big Horn County Tot Mig-US & For",231,520,6177
30,003,97,000,MT,"Big Horn County Tot Mig-US",231,520,6177
30,003,97,001,MT,"Big Horn County Tot Mig-Same St",134,304,3378
30,003,97,003,MT,"Big Horn County Tot Mig-Diff St",97,216,2798
30,003,30,003,MT,"Big Horn County Non-Migrants",3531,9010,101636
30,003,30,111,MT,"Yellowstone County",73,158,1695
30,003,30,087,MT,"Rosebud County",19,38,551
30,003,58,000,SS,"Other Flows - Same State",42,108,1132
30,003,59,000,DS,"Other Flows - Diff State",97,216,2798
30,005,96,000,MT,"Blaine County Tot Mig-US & For",154,329,3274
30,005,97,000,MT,"Blaine County Tot Mig-US",154,329,3274
30,005,97,001,MT,"Blaine County Tot Mig-Same St",97,216,1933
30,005,97,003,MT,"Blaine County Tot Mig-Diff St",57,113,1341
30,005,30,005,MT,"Blaine County Non-Migrants",2092,4915,55549
30,005,30,041,MT,"Hill County",33,84,605
30,005,58,000,SS,"Other Flows - Same State",64,132,1328
30,005,59,000,DS,"Other Flows - Diff State",57,113,1341
30,007,96,000,MT,"Broadwater Coun Tot Mig-US & For",134,270,4840
30,007,97,000,MT,"Broadwater Coun Tot Mig-US",134,270,4840
30,007,97,001,MT,"Broadwater Coun Tot Mig-Same St",78,162,2921
30,007,97,003,MT,"Broadwater Coun Tot Mig-Diff St",56,108,1919
30,007,30,007,MT,"Broadwater Coun Non-Migrants",1354,3062,46376
30,007,30,049,MT,"Lewis And Clark Coun",22,45,715
30,007,30,031,MT,"Gallatin County",14,35,1291
30,007,58,000,SS,"Other Flows - Same State",42,82,915
30,007,59,000,DS,"Other Flows - Diff State",56,108,1919
30,009,96,000,MT,"Carbon County Tot Mig-US & For",353,689,15022
30,009,97,000,MT,"Carbon County Tot Mig-US",353,689,15022
30,009,97,001,MT,"Carbon County Tot Mig-Same St",167,325,7006
30,009,97,003,MT,"Carbon County Tot Mig-Diff St",186,364,8016
30,009,30,009,MT,"Carbon County Non-Migrants",3184,7056,122323
30,009,30,111,MT,"Yellowstone County",100,201,4865
30,009,30,095,MT,"Stillwater County",12,23,310
30,009,56,029,WY,"Park County",11,20,346
30,009,58,000,SS,"Other Flows - Same State",55,101,1831
30,009,59,000,DS,"Other Flows - Diff State",175,344,7670
30,009,59,001,DS,"Other Flows - Northeast",11,20,464
30,009,59,003,DS,"Other Flows - Midwest",33,66,724
30,009,59,005,DS,"Other Flows - South",30,59,1398
30,009,59,007,DS,"Other Flows - West",101,199,5083
30,011,96,000,MT,"Carter County Tot Mig-US & For",24,55,674
30,011,97,000,MT,"Carter County Tot Mig-US",24,55,674
30,011,97,001,MT,"Carter County Tot Mig-Same St",13,32,408
