"2001 - 2002 County to County Migration Inflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
NewMexico,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
35,000,96,000,NM,"Total Mig - US & For",50028,100837,1648816
35,000,97,000,NM,"Total Mig - US",48547,97954,1611831
35,000,97,001,NM,"Total Mig - US Same St",18960,38753,521637
35,000,97,003,NM,"Total Mig - US Diff St",29587,59201,1090194
35,000,98,000,NM,"Total Mig - Foreign",1481,2883,36985
35,001,96,000,NM,"Bernalillo Coun Tot Mig-US & For",14967,27980,554284
35,001,97,000,NM,"Bernalillo Coun Tot Mig-US",14516,27133,542562
35,001,97,001,NM,"Bernalillo Coun Tot Mig-Same St",5388,10022,156919
35,001,97,003,NM,"Bernalillo Coun Tot Mig-Diff St",9128,17111,385643
35,001,98,000,NM,"Bernalillo Coun Tot Mig-Foreign",451,847,11722
35,001,35,001,NM,"Bernalillo Coun Non-Migrants",178643,366139,7759840
35,001,35,043,NM,"Sandoval County",1421,2758,48602
35,001,35,061,NM,"Valencia County",826,1715,26587
35,001,35,049,NM,"Santa Fe County",649,1161,20250
35,001,04,013,AZ,"Maricopa County",464,898,26195
35,001,35,013,NM,"Dona Ana County",348,649,9246
35,001,35,031,NM,"Mckinley County",293,537,5990
35,001,48,141,TX,"El Paso County",277,627,7579
35,001,57,005,FR,"Foreign - APO/FPO ZIPs",221,536,7913
35,001,06,037,CA,"Los Angeles County",220,396,7389
35,001,57,001,FR,"Foreign - Overseas",220,285,3319
35,001,35,045,NM,"San Juan County",215,363,5374
35,001,32,003,NV,"Clark County",196,383,8224
35,001,35,006,NM,"Cibola County",183,356,4529
35,001,06,073,CA,"San Diego County",175,345,7075
35,001,35,057,NM,"Torrance County",167,320,4092
35,001,08,041,CO,"El Paso County",150,317,5826
35,001,35,005,NM,"Chaves County",143,269,3606
35,001,35,053,NM,"Socorro County",134,214,3315
35,001,17,031,IL,"Cook County",131,220,5068
35,001,35,039,NM,"Rio Arriba County",131,191,2982
35,001,35,055,NM,"Taos County",129,201,3075
35,001,48,201,TX,"Harris County",128,222,5328
35,001,35,047,NM,"San Miguel County",124,192,2700
35,001,48,113,TX,"Dallas County",121,216,6089
35,001,48,029,TX,"Bexar County",115,233,5393
35,001,04,019,AZ,"Pima County",112,199,4835
35,001,53,033,WA,"King County",105,153,3387
35,001,06,059,CA,"Orange County",98,174,3474
35,001,48,439,TX,"Tarrant County",96,182,4103
35,001,48,453,TX,"Travis County",92,141,4421
35,001,08,031,CO,"Denver County",90,140,2822
35,001,06,001,CA,"Alameda County",82,142,4171
35,001,06,085,CA,"Santa Clara County",82,127,4770
35,001,08,005,CO,"Arapahoe County",77,145,2943
35,001,35,035,NM,"Otero County",77,134,1906
35,001,51,059,VA,"Fairfax County",76,174,7610
35,001,08,059,CO,"Jefferson County",75,137,3263
35,001,35,009,NM,"Curry County",72,135,1691
35,001,35,015,NM,"Eddy County",67,121,1614
35,001,35,028,NM,"Los Alamos County",62,97,3114
35,001,06,075,CA,"San Francisco County",58,71,4697
35,001,49,035,UT,"Salt Lake County",55,113,2638
35,001,06,071,CA,"San Bernardino Count",54,118,2075
35,001,08,001,CO,"Adams County",54,118,1847
35,001,08,013,CO,"Boulder County",52,82,2058
35,001,48,303,TX,"Lubbock County",52,106,2024
35,001,35,017,NM,"Grant County",50,79,1354
35,001,15,003,HI,"Honolulu County",49,108,1725
35,001,35,027,NM,"Lincoln County",49,81,1053
35,001,41,067,OR,"Washington County",49,97,3630
35,001,06,065,CA,"Riverside County",48,102,1952
35,001,40,109,OK,"Oklahoma County",48,97,1809
35,001,04,001,AZ,"Apache County",44,86,932
35,001,06,013,CA,"Contra Costa County",43,86,3459
35,001,06,081,CA,"San Mateo County",43,83,2948
35,001,08,069,CO,"Larimer County",43,65,1587
35,001,12,086,FL,"Miami Dade County",43,75,1068
35,001,41,051,OR,"Multnomah County",42,70,1588
35,001,48,375,TX,"Potter County",42,73,1354
35,001,25,017,MA,"Middlesex County",41,57,1850
35,001,36,061,NY,"New York County",40,56,2710
35,001,48,085,TX,"Collin County",39,80,2225
35,001,12,011,FL,"Broward County",38,62,1238
35,001,27,053,MN,"Hennepin County",38,63,2159
35,001,35,007,NM,"Colfax County",37,68,1001
35,001,35,025,NM,"Lea County",37,68,854
35,001,12,091,FL,"Okaloosa County",35,82,1391
35,001,12,057,FL,"Hillsborough County",34,58,1326
35,001,02,020,AK,"Anchorage Borough",32,70,1280
35,001,39,113,OH,"Montgomery County",32,77,2005
35,001,40,143,OK,"Tulsa County",32,55,1062
35,001,06,067,CA,"Sacramento County",31,55,1127
35,001,26,125,MI,"Oakland County",31,60,2641
35,001,48,121,TX,"Denton County",31,59,1654
35,001,48,027,TX,"Bell County",30,51,638
