"2001 - 2002 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Arizona,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
04,000,96,000,AZ,"Total Mig - US & For",104833,201560,4017434
04,000,97,000,AZ,"Total Mig - US",102399,197071,3943296
04,000,97,001,AZ,"Total Mig - US Same St",30312,60786,1008605
04,000,97,003,AZ,"Total Mig - US Diff St",72087,136285,2934691
04,000,98,000,AZ,"Total Mig - Foreign",2434,4489,74138
04,001,96,000,AZ,"Apache County Tot Mig-US & For",2352,5817,58078
04,001,97,000,AZ,"Apache County Tot Mig-US",2337,5799,57894
04,001,97,001,AZ,"Apache County Tot Mig-Same St",955,2305,23753
04,001,97,003,AZ,"Apache County Tot Mig-Diff St",1382,3494,34140
04,001,98,000,AZ,"Apache County Tot Mig-Foreign",15,18,185
04,001,04,001,AZ,"Apache County Non-Migrants",14402,41866,433129
04,001,35,045,NM,"San Juan County",480,1359,10067
04,001,35,031,NM,"Mckinley County",411,1109,7536
04,001,04,013,AZ,"Maricopa County",398,816,9518
04,001,04,017,AZ,"Navajo County",287,840,6723
04,001,04,005,AZ,"Coconino County",141,363,3425
04,001,04,019,AZ,"Pima County",52,101,1693
04,001,35,001,NM,"Bernalillo County",44,86,932
04,001,49,035,UT,"Salt Lake County",23,64,360
04,001,49,037,UT,"San Juan County",23,61,500
04,001,04,015,AZ,"Mohave County",13,31,426
04,001,08,083,CO,"Montezuma County",13,29,261
04,001,04,003,AZ,"Cochise County",12,34,312
04,001,04,021,AZ,"Pinal County",12,30,349
04,001,04,025,AZ,"Yavapai County",11,25,251
04,001,04,009,AZ,"Graham County",10,30,506
04,001,06,073,CA,"San Diego County",10,15,275
04,001,58,000,SS,"Other Flows - Same State",19,35,550
04,001,59,000,DS,"Other Flows - Diff State",378,771,14209
04,001,59,001,DS,"Other Flows - Northeast",15,22,596
04,001,59,003,DS,"Other Flows - Midwest",68,145,1950
04,001,59,005,DS,"Other Flows - South",87,184,2849
04,001,59,007,DS,"Other Flows - West",208,420,8814
04,001,57,009,FR,"Foreign - Other flows",15,18,185
04,003,96,000,AZ,"Cochise County Tot Mig-US & For",4381,9023,132868
04,003,97,000,AZ,"Cochise County Tot Mig-US",3950,8151,119956
04,003,97,001,AZ,"Cochise County Tot Mig-Same St",1290,2570,37441
04,003,97,003,AZ,"Cochise County Tot Mig-Diff St",2660,5581,82515
04,003,98,000,AZ,"Cochise County Tot Mig-Foreign",431,872,12912
04,003,04,003,AZ,"Cochise County Non-Migrants",34003,78944,1297112
04,003,04,019,AZ,"Pima County",682,1310,19290
04,003,57,005,FR,"Foreign - APO/FPO ZIPs",404,803,11936
04,003,04,013,AZ,"Maricopa County",366,738,10402
04,003,48,027,TX,"Bell County",93,164,2341
04,003,37,051,NC,"Cumberland County",91,182,2695
04,003,15,003,HI,"Honolulu County",83,176,2395
04,003,06,073,CA,"San Diego County",52,80,1299
04,003,13,245,GA,"Richmond County",51,99,1131
04,003,24,003,MD,"Anne Arundel County",48,112,1642
04,003,48,141,TX,"El Paso County",48,122,1791
04,003,08,041,CO,"El Paso County",42,116,1572
04,003,53,053,WA,"Pierce County",40,85,1244
04,003,32,003,NV,"Clark County",38,70,952
04,003,48,029,TX,"Bexar County",38,75,1233
04,003,04,021,AZ,"Pinal County",37,78,1216
04,003,04,005,AZ,"Coconino County",36,75,1071
04,003,06,037,CA,"Los Angeles County",35,58,726
04,003,06,071,CA,"San Bernardino Count",34,74,878
04,003,04,023,AZ,"Santa Cruz County",31,61,1213
04,003,04,009,AZ,"Graham County",30,69,669
04,003,06,053,CA,"Monterey County",28,58,836
04,003,04,027,AZ,"Yuma County",23,53,803
04,003,13,051,GA,"Chatham County",23,33,613
04,003,22,115,LA,"Vernon Parish",22,59,536
04,003,36,045,NY,"Jefferson County",22,58,687
04,003,06,065,CA,"Riverside County",21,43,610
04,003,13,073,GA,"Columbia County",20,59,775
04,003,13,179,GA,"Liberty County",20,53,502
04,003,51,059,VA,"Fairfax County",20,49,1307
04,003,04,025,AZ,"Yavapai County",19,43,477
04,003,04,007,AZ,"Gila County",18,38,656
04,003,04,015,AZ,"Mohave County",18,37,610
04,003,02,090,AK,"Fairbanks North Star",17,39,581
04,003,47,125,TN,"Montgomery County",17,41,606
04,003,48,099,TX,"Coryell County",17,54,731
04,003,51,153,VA,"Prince William Count",17,34,656
04,003,21,047,KY,"Christian County",16,43,462
04,003,48,439,TX,"Tarrant County",16,36,723
04,003,06,059,CA,"Orange County",15,31,455
04,003,12,113,FL,"Santa Rosa County",15,47,855
04,003,35,001,NM,"Bernalillo County",15,32,546
04,003,35,013,NM,"Dona Ana County",14,29,441
04,003,57,003,FR,"Foreign - Puerto Rico",14,35,629
04,003,40,031,OK,"Comanche County",13,28,444
04,003,48,113,TX,"Dallas County",13,25,339
04,003,48,337,TX,"Montague County",13,34,265
