"2001 - 2002 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Colorado,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
08,000,96,000,CO,"Total Mig - US & For",186637,341243,8063012
08,000,97,000,CO,"Total Mig - US",183789,335961,7972281
08,000,97,001,CO,"Total Mig - US Same St",110054,198067,4697811
08,000,97,003,CO,"Total Mig - US Diff St",73735,137894,3274470
08,000,98,000,CO,"Total Mig - Foreign",2848,5282,90731
08,001,96,000,CO,"Adams County Tot Mig-US & For",16195,32290,621959
08,001,97,000,CO,"Adams County Tot Mig-US",16135,32194,619815
08,001,97,001,CO,"Adams County Tot Mig-Same St",11415,22565,435392
08,001,97,003,CO,"Adams County Tot Mig-Diff St",4720,9629,184423
08,001,98,000,CO,"Adams County Tot Mig-Foreign",60,96,2144
08,001,08,001,CO,"Adams County Non-Migrants",123763,276526,5979492
08,001,08,059,CO,"Jefferson County",2992,5495,115159
08,001,08,031,CO,"Denver County",2656,5179,80641
08,001,08,005,CO,"Arapahoe County",2152,4433,77495
08,001,08,013,CO,"Boulder County",961,1683,43291
08,001,08,123,CO,"Weld County",934,2253,43668
08,001,08,035,CO,"Douglas County",336,709,19272
08,001,08,069,CO,"Larimer County",313,589,13666
08,001,08,041,CO,"El Paso County",224,444,8795
08,001,04,013,AZ,"Maricopa County",218,429,8623
08,001,08,101,CO,"Pueblo County",110,236,3889
08,001,06,037,CA,"Los Angeles County",107,226,3932
08,001,32,003,NV,"Clark County",106,224,4498
08,001,08,077,CO,"Mesa County",77,140,2863
08,001,06,073,CA,"San Diego County",73,147,2990
08,001,08,087,CO,"Morgan County",70,177,2600
08,001,48,141,TX,"El Paso County",58,154,911
08,001,35,001,NM,"Bernalillo County",54,118,1847
08,001,48,201,TX,"Harris County",54,130,2498
08,001,06,059,CA,"Orange County",48,97,1793
08,001,56,021,WY,"Laramie County",47,94,1619
08,001,06,071,CA,"San Bernardino Count",45,85,1145
08,001,06,065,CA,"Riverside County",42,84,1412
08,001,12,057,FL,"Hillsborough County",42,83,1572
