"2001 - 2002 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Florida,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
12,000,96,000,FL,"Total Mig - US & For",426162,774387,16555317
12,000,97,000,FL,"Total Mig - US",417293,758920,16301554
12,000,97,001,FL,"Total Mig - US Same St",234655,426828,8958325
12,000,97,003,FL,"Total Mig - US Diff St",182638,332092,7343229
12,000,98,000,FL,"Total Mig - Foreign",8869,15467,253763
12,001,96,000,FL,"Alachua County Tot Mig-US & For",7889,12880,269107
12,001,97,000,FL,"Alachua County Tot Mig-US",7792,12731,267095
12,001,97,001,FL,"Alachua County Tot Mig-Same St",4654,7540,146714
12,001,97,003,FL,"Alachua County Tot Mig-Diff St",3138,5191,120381
12,001,98,000,FL,"Alachua County Tot Mig-Foreign",97,149,2012
12,001,12,001,FL,"Alachua County Non-Migrants",68646,138401,3122014
12,001,12,031,FL,"Duval County",346,484,10827
12,001,12,095,FL,"Orange County",343,493,9494
12,001,12,083,FL,"Marion County",341,630,15298
12,001,12,057,FL,"Hillsborough County",338,488,9363
12,001,12,011,FL,"Broward County",293,415,7603
12,001,12,103,FL,"Pinellas County",203,298,6961
12,001,12,075,FL,"Levy County",199,406,5182
12,001,12,086,FL,"Miami Dade County",198,282,6197
12,001,12,099,FL,"Palm Beach County",196,284,6314
12,001,12,023,FL,"Columbia County",155,295,4285
12,001,12,019,FL,"Clay County",146,276,4946
12,001,12,117,FL,"Seminole County",130,185,3851
12,001,12,073,FL,"Leon County",126,189,3833
12,001,12,009,FL,"Brevard County",123,207,3557
12,001,12,107,FL,"Putnam County",123,256,3394
12,001,12,041,FL,"Gilchrist County",111,234,2810
12,001,12,127,FL,"Volusia County",110,153,3353
12,001,12,109,FL,"St Johns County",95,153,4510
12,001,13,121,GA,"Fulton County",93,125,2652
12,001,12,007,FL,"Bradford County",78,146,2326
12,001,12,071,FL,"Lee County",75,122,2805
12,001,12,125,FL,"Union County",72,140,2022
12,001,12,115,FL,"Sarasota County",66,85,1431
12,001,13,089,GA,"De Kalb County",60,81,2150
12,001,12,105,FL,"Polk County",59,86,2041
12,001,12,069,FL,"Lake County",57,94,2321
12,001,12,081,FL,"Manatee County",55,86,1727
12,001,12,101,FL,"Pasco County",54,96,1296
12,001,13,067,GA,"Cobb County",50,79,1605
12,001,12,017,FL,"Citrus County",49,90,3333
12,001,12,021,FL,"Collier County",49,78,1568
12,001,17,031,IL,"Cook County",48,63,1629
12,001,12,033,FL,"Escambia County",45,70,1413
12,001,06,073,CA,"San Diego County",40,67,1286
12,001,06,037,CA,"Los Angeles County",39,59,1375
12,001,37,119,NC,"Mecklenburg County",35,53,1574
12,001,13,135,GA,"Gwinnett County",34,66,1247
12,001,12,091,FL,"Okaloosa County",33,50,712
12,001,12,111,FL,"St Lucie County",32,53,1092
12,001,36,061,NY,"New York County",32,36,1349
12,001,37,183,NC,"Wake County",31,40,1155
12,001,57,005,FR,"Foreign - APO/FPO ZIPs",31,53,723
12,001,48,201,TX,"Harris County",30,53,1269
12,001,25,017,MA,"Middlesex County",29,41,899
12,001,12,035,FL,"Flagler County",27,56,1408
12,001,24,031,MD,"Montgomery County",27,35,1129
12,001,06,085,CA,"Santa Clara County",26,39,1087
12,001,12,005,FL,"Bay County",26,39,748
12,001,48,029,TX,"Bexar County",26,49,1357
12,001,48,453,TX,"Travis County",26,33,608
12,001,12,121,FL,"Suwannee County",25,53,661
12,001,53,033,WA,"King County",25,28,968
12,001,47,037,TN,"Davidson County",24,33,752
12,001,48,113,TX,"Dallas County",24,37,882
12,001,04,013,AZ,"Maricopa County",23,41,811
12,001,12,015,FL,"Charlotte County",23,36,664
12,001,12,097,FL,"Osceola County",23,38,465
12,001,51,059,VA,"Fairfax County",23,33,967
12,001,06,001,CA,"Alameda County",22,29,500
12,001,12,029,FL,"Dixie County",22,44,684
12,001,12,053,FL,"Hernando County",22,35,834
12,001,12,087,FL,"Monroe County",22,31,610
12,001,12,085,FL,"Martin County",21,37,754
12,001,35,001,NM,"Bernalillo County",21,29,653
12,001,39,049,OH,"Franklin County",20,34,911
12,001,11,001,DC,"District Of Columbia",19,22,1045
12,001,13,215,GA,"Muscogee County",19,29,548
12,001,45,019,SC,"Charleston County",19,27,491
12,001,48,439,TX,"Tarrant County",19,38,1088
12,001,12,061,FL,"Indian River County",18,30,532
12,001,06,075,CA,"San Francisco County",17,19,318
12,001,12,113,FL,"Santa Rosa County",17,25,663
12,001,13,051,GA,"Chatham County",17,28,764
12,001,08,005,CO,"Arapahoe County",16,22,484
12,001,48,085,TX,"Collin County",16,37,1270
12,001,09,009,CT,"New Haven County",15,21,305
12,001,12,089,FL,"Nassau County",15,22,467
12,001,21,111,KY,"Jefferson County",15,25,663
12,001,24,033,MD,"Prince George's Coun",15,20,270
12,001,37,021,NC,"Buncombe County",15,22,508
12,001,39,035,OH,"Cuyahoga County",15,28,967
12,001,45,045,SC,"Greenville County",15,19,293
12,001,06,059,CA,"Orange County",14,21,680
12,001,13,059,GA,"Clarke County",14,25,341
12,001,36,047,NY,"Kings County",14,15,230
12,001,42,003,PA,"Allegheny County",14,19,320
12,001,01,073,AL,"Jefferson County",13,25,683
12,001,06,067,CA,"Sacramento County",13,22,705
12,001,08,031,CO,"Denver County",13,14,242
12,001,08,041,CO,"El Paso County",13,20,383
12,001,24,005,MD,"Baltimore County",13,19,579
12,001,36,081,NY,"Queens County",13,20,361
12,001,37,063,NC,"Durham County",13,17,371
12,001,42,101,PA,"Philadelphia County",13,13,577
12,001,55,025,WI,"Dane County",13,26,818
12,001,04,019,AZ,"Pima County",12,24,1184
12,001,08,013,CO,"Boulder County",12,17,423
12,001,08,069,CO,"Larimer County",12,18,565
12,001,13,185,GA,"Lowndes County",12,27,601
12,001,25,025,MA,"Suffolk County",12,16,283
12,001,36,055,NY,"Monroe County",12,22,728
12,001,45,079,SC,"Richland County",12,24,572
12,001,47,065,TN,"Hamilton County",12,21,428
12,001,47,093,TN,"Knox County",12,16,358
12,001,48,121,TX,"Denton County",12,20,354
12,001,06,071,CA,"San Bernardino Count",11,15,277
12,001,09,003,CT,"Hartford County",11,15,247
12,001,12,055,FL,"Highlands County",11,21,335
12,001,15,003,HI,"Honolulu County",11,24,284
12,001,22,033,LA,"East Baton Rouge Par",11,17,183
12,001,26,125,MI,"Oakland County",11,16,540
12,001,32,003,NV,"Clark County",11,14,292
12,001,37,051,NC,"Cumberland County",11,23,330
12,001,51,107,VA,"Loudoun County",11,24,3283
12,001,51,510,VA,Alexandria,11,16,450
12,001,51,810,VA,"Virginia Beach",11,18,249
12,001,06,013,CA,"Contra Costa County",10,13,417
12,001,13,063,GA,"Clayton County",10,18,209
12,001,17,043,IL,"Du Page County",10,13,379
12,001,21,067,KY,"Fayette County",10,16,329
12,001,27,053,MN,"Hennepin County",10,17,348
12,001,39,061,OH,"Hamilton County",10,18,388
12,001,41,067,OR,"Washington County",10,12,506
12,001,47,157,TN,"Shelby County",10,13,227
12,001,51,760,VA,Richmond,10,11,170
12,001,58,000,SS,"Other Flows - Same State",82,149,2021
12,001,59,000,DS,"Other Flows - Diff State",1605,2877,61661
