"2001 - 2002 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Louisiana,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
22,000,96,000,LA,"Total Mig - US & For",100612,203354,3433391
22,000,97,000,LA,"Total Mig - US",98999,200316,3389824
22,000,97,001,LA,"Total Mig - US Same St",58128,118638,1829109
22,000,97,003,LA,"Total Mig - US Diff St",40871,81678,1560715
22,000,98,000,LA,"Total Mig - Foreign",1613,3038,43568
22,001,96,000,LA,"Acadia Parish Tot Mig-US & For",1079,2158,28337
22,001,97,000,LA,"Acadia Parish Tot Mig-US",1065,2139,28091
22,001,97,001,LA,"Acadia Parish Tot Mig-Same St",802,1635,20847
22,001,97,003,LA,"Acadia Parish Tot Mig-Diff St",263,504,7245
22,001,98,000,LA,"Acadia Parish Tot Mig-Foreign",14,19,246
22,001,22,001,LA,"Acadia Parish Non-Migrants",19460,47935,696840
22,001,22,055,LA,"Lafayette Parish",335,668,8238
22,001,22,053,LA,"Jefferson Davis Pari",85,193,2049
22,001,22,097,LA,"St Landry Parish",71,172,2383
22,001,22,019,LA,"Calcasieu Parish",61,129,1688
22,001,22,113,LA,"Vermilion Parish",58,117,1394
22,001,22,033,LA,"East Baton Rouge Par",50,72,1317
22,001,48,201,TX,"Harris County",44,81,1527
22,001,22,039,LA,"Evangeline Parish",32,74,772
22,001,22,045,LA,"Iberia Parish",15,32,513
22,001,22,051,LA,"Jefferson Parish",11,15,268
22,001,48,245,TX,"Jefferson County",11,20,138
22,001,22,003,LA,"Allen Parish",10,22,143
22,001,22,099,LA,"St Martin Parish",10,21,307
22,001,58,000,SS,"Other Flows - Same State",64,120,1775
22,001,59,000,DS,"Other Flows - Diff State",208,403,5580
22,001,57,009,FR,"Foreign - Other flows",14,19,246
22,003,96,000,LA,"Allen Parish Tot Mig-US & For",471,1058,13644
22,003,97,000,LA,"Allen Parish Tot Mig-US",471,1058,13644
22,003,97,001,LA,"Allen Parish Tot Mig-Same St",331,730,8868
22,003,97,003,LA,"Allen Parish Tot Mig-Diff St",140,328,4776
22,003,22,003,LA,"Allen Parish Non-Migrants",6842,16401,232373
22,003,22,019,LA,"Calcasieu Parish",122,271,3262
22,003,22,079,LA,"Rapides Parish",37,78,977
22,003,22,039,LA,"Evangeline Parish",32,73,651
22,003,22,011,LA,"Beauregard Parish",27,68,934
22,003,22,053,LA,"Jefferson Davis Pari",23,48,562
22,003,22,055,LA,"Lafayette Parish",18,35,350
22,003,48,201,TX,"Harris County",16,33,314
22,003,22,097,LA,"St Landry Parish",15,33,335
22,003,22,115,LA,"Vernon Parish",14,35,207
22,003,58,000,SS,"Other Flows - Same State",43,89,1589
22,003,59,000,DS,"Other Flows - Diff State",124,295,4462
22,005,96,000,LA,"Ascension Paris Tot Mig-US & For",1728,3595,64012
22,005,97,000,LA,"Ascension Paris Tot Mig-US",1713,3577,63731
22,005,97,001,LA,"Ascension Paris Tot Mig-Same St",1206,2440,42334
22,005,97,003,LA,"Ascension Paris Tot Mig-Diff St",507,1137,21397
22,005,98,000,LA,"Ascension Paris Tot Mig-Foreign",15,18,281
22,005,22,005,LA,"Ascension Paris Non-Migrants",25925,64054,1217455
22,005,22,033,LA,"East Baton Rouge Par",523,990,18984
22,005,22,063,LA,"Livingston Parish",191,418,6552
22,005,22,007,LA,"Assumption Parish",60,133,1865
22,005,22,047,LA,"Iberville Parish",53,113,1682
22,005,22,093,LA,"St James Parish",50,116,1528
22,005,48,201,TX,"Harris County",40,79,2279
