"2001 - 2002 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
NorthDakota,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
38,000,96,000,ND,"Total Mig - US & For",19362,34558,595736
38,000,97,000,ND,"Total Mig - US",18974,33834,586459
38,000,97,001,ND,"Total Mig - US Same St",8291,14324,222672
38,000,97,003,ND,"Total Mig - US Diff St",10683,19510,363787
38,000,98,000,ND,"Total Mig - Foreign",388,724,9278
38,001,96,000,ND,"Adams County Tot Mig-US & For",72,117,2126
38,001,97,000,ND,"Adams County Tot Mig-US",72,117,2126
38,001,97,001,ND,"Adams County Tot Mig-Same St",39,60,778
38,001,97,003,ND,"Adams County Tot Mig-Diff St",33,57,1348
38,001,38,001,ND,"Adams County Non-Migrants",847,1929,28355
38,001,58,000,SS,"Other Flows - Same State",39,60,778
38,001,59,000,DS,"Other Flows - Diff State",33,57,1348
38,003,96,000,ND,"Barnes County Tot Mig-US & For",302,505,7774
38,003,97,000,ND,"Barnes County Tot Mig-US",302,505,7774
38,003,97,001,ND,"Barnes County Tot Mig-Same St",196,327,4819
38,003,97,003,ND,"Barnes County Tot Mig-Diff St",106,178,2955
38,003,38,003,ND,"Barnes County Non-Migrants",4152,9057,163029
38,003,38,017,ND,"Cass County",72,121,1988
38,003,38,093,ND,"Stutsman County",34,72,886
38,003,38,015,ND,"Burleigh County",14,16,281
38,003,38,035,ND,"Grand Forks County",13,15,147
38,003,58,000,SS,"Other Flows - Same State",63,103,1516
38,003,59,000,DS,"Other Flows - Diff State",106,178,2955
38,005,96,000,ND,"Benson County Tot Mig-US & For",178,345,3496
38,005,97,000,ND,"Benson County Tot Mig-US",178,345,3496
38,005,97,001,ND,"Benson County Tot Mig-Same St",134,272,2548
38,005,97,003,ND,"Benson County Tot Mig-Diff St",44,73,948
38,005,38,005,ND,"Benson County Non-Migrants",2262,5427,60724
38,005,38,071,ND,"Ramsey County",41,86,736
38,005,38,015,ND,"Burleigh County",15,29,288
38,005,38,035,ND,"Grand Forks County",11,17,149
38,005,38,069,ND,"Pierce County",11,20,158
38,005,58,000,SS,"Other Flows - Same State",56,120,1218
38,005,59,000,DS,"Other Flows - Diff State",44,73,948
38,007,96,000,ND,"Billings County Tot Mig-US & For",27,42,822
38,007,97,000,ND,"Billings County Tot Mig-US",27,42,822
38,007,38,007,ND,"Billings County Non-Migrants",324,734,10532
38,009,96,000,ND,"Bottineau Count Tot Mig-US & For",200,330,5565
38,009,97,000,ND,"Bottineau Count Tot Mig-US",200,330,5565
38,009,97,001,ND,"Bottineau Count Tot Mig-Same St",132,211,3712
38,009,97,003,ND,"Bottineau Count Tot Mig-Diff St",68,119,1853
38,009,38,009,ND,"Bottineau Count Non-Migrants",2601,5661,92833
38,009,38,101,ND,"Ward County",59,90,1365
38,009,38,017,ND,"Cass County",13,17,257
38,009,58,000,SS,"Other Flows - Same State",60,104,2090
38,009,59,000,DS,"Other Flows - Diff State",68,119,1853
38,011,96,000,ND,"Bowman County Tot Mig-US & For",79,144,1703
38,011,97,000,ND,"Bowman County Tot Mig-US",79,144,1703
38,011,97,001,ND,"Bowman County Tot Mig-Same St",36,66,901
38,011,97,003,ND,"Bowman County Tot Mig-Diff St",43,78,801
38,011,38,011,ND,"Bowman County Non-Migrants",1269,2869,46815
38,011,38,089,ND,"Stark County",14,22,267
38,011,58,000,SS,"Other Flows - Same State",22,44,635
38,011,59,000,DS,"Other Flows - Diff State",43,78,801
38,013,96,000,ND,"Burke County Tot Mig-US & For",69,125,2147
38,013,97,000,ND,"Burke County Tot Mig-US",69,125,2147
38,013,97,001,ND,"Burke County Tot Mig-Same St",54,90,1524
38,013,97,003,ND,"Burke County Tot Mig-Diff St",15,35,623
38,013,38,013,ND,"Burke County Non-Migrants",953,2049,31440
38,013,38,101,ND,"Ward County",16,22,398
38,013,38,105,ND,"Williams County",10,12,357
38,013,58,000,SS,"Other Flows - Same State",28,56,769
38,013,59,000,DS,"Other Flows - Diff State",15,35,623
38,015,96,000,ND,"Burleigh County Tot Mig-US & For",1865,3205,58448
38,015,97,000,ND,"Burleigh County Tot Mig-US",1850,3187,58099
38,015,97,001,ND,"Burleigh County Tot Mig-Same St",996,1679,26776
38,015,97,003,ND,"Burleigh County Tot Mig-Diff St",854,1508,31323
38,015,98,000,ND,"Burleigh County Tot Mig-Foreign",15,18,349
38,015,38,015,ND,"Burleigh County Non-Migrants",25938,57149,1290323
38,015,38,059,ND,"Morton County",363,633,10060
38,015,38,017,ND,"Cass County",213,317,5628
38,015,27,053,MN,"Hennepin County",63,84,2059
38,015,38,035,ND,"Grand Forks County",54,89,1712
38,015,38,101,ND,"Ward County",45,79,1397
38,015,38,055,ND,"Mclean County",43,75,1223
38,015,38,089,ND,"Stark County",41,60,843
38,015,38,057,ND,"Mercer County",33,60,906
38,015,38,093,ND,"Stutsman County",26,45,713
38,015,04,013,AZ,"Maricopa County",24,38,800
38,015,38,085,ND,"Sioux County",22,48,280
38,015,46,103,SD,"Pennington County",18,40,650
38,015,38,105,ND,"Williams County",17,28,498
38,015,27,037,MN,"Dakota County",16,26,546
38,015,08,041,CO,"El Paso County",15,21,574
38,015,38,029,ND,"Emmons County",15,19,216
38,015,27,027,MN,"Clay County",14,26,489
38,015,08,059,CO,"Jefferson County",12,18,471
38,015,27,123,MN,"Ramsey County",12,16,307
38,015,38,061,ND,"Mountrail County",12,32,315
38,015,16,001,ID,"Ada County",10,15,279
38,015,30,111,MT,"Yellowstone County",10,20,484
38,015,38,077,ND,"Richland County",10,17,336
38,015,58,000,SS,"Other Flows - Same State",102,177,2648
38,015,59,000,DS,"Other Flows - Diff State",660,1204,24663
38,015,59,001,DS,"Other Flows - Northeast",27,42,667
38,015,59,003,DS,"Other Flows - Midwest",276,551,9829
38,015,59,005,DS,"Other Flows - South",106,171,5908
38,015,59,007,DS,"Other Flows - West",251,440,8258
38,015,57,009,FR,"Foreign - Other flows",15,18,349
38,017,96,000,ND,"Cass County Tot Mig-US & For",4051,6816,142855
38,017,97,000,ND,"Cass County Tot Mig-US",4020,6758,141802
38,017,97,001,ND,"Cass County Tot Mig-Same St",862,1404,23832
38,017,97,003,ND,"Cass County Tot Mig-Diff St",3158,5354,117970
38,017,98,000,ND,"Cass County Tot Mig-Foreign",31,58,1053
38,017,38,017,ND,"Cass County Non-Migrants",46241,97373,2341989
38,017,27,027,MN,"Clay County",620,1098,19568
38,017,27,053,MN,"Hennepin County",255,331,7363
38,017,38,035,ND,"Grand Forks County",123,192,3375
38,017,38,015,ND,"Burleigh County",116,187,4425
38,017,27,005,MN,"Becker County",107,183,4974
38,017,38,077,ND,"Richland County",103,195,3545
38,017,27,111,MN,"Otter Tail County",94,169,6175
38,017,04,013,AZ,"Maricopa County",91,157,5420
38,017,27,123,MN,"Ramsey County",78,96,2260
38,017,27,037,MN,"Dakota County",68,99,2156
38,017,38,101,ND,"Ward County",60,96,1476
38,017,38,003,ND,"Barnes County",49,80,1188
38,017,38,093,ND,"Stutsman County",49,73,1057
38,017,27,003,MN,"Anoka County",37,63,1573
38,017,27,145,MN,"Stearns County",36,52,1098
38,017,38,097,ND,"Traill County",36,62,1176
38,017,27,107,MN,"Norman County",35,68,1084
38,017,38,059,ND,"Morton County",35,56,982
38,017,46,099,SD,"Minnehaha County",35,65,1301
38,017,38,073,ND,"Ransom County",32,57,721
38,017,27,109,MN,"Olmsted County",28,52,1166
38,017,27,119,MN,"Polk County",26,47,592
38,017,53,033,WA,"King County",25,31,895
38,017,08,069,CO,"Larimer County",24,36,785
38,017,27,163,MN,"Washington County",24,41,864
38,017,27,167,MN,"Wilkin County",22,47,1091
38,017,32,003,NV,"Clark County",21,45,1906
38,017,38,071,ND,"Ramsey County",20,22,412
38,017,38,079,ND,"Rolette County",20,34,255
38,017,17,031,IL,"Cook County",19,28,649
38,017,27,137,MN,"St Louis County",19,26,341
38,017,38,105,ND,"Williams County",19,35,510
38,017,06,037,CA,"Los Angeles County",18,21,697
38,017,27,041,MN,"Douglas County",16,20,551
38,017,27,135,MN,"Roseau County",16,20,274
38,017,08,005,CO,"Arapahoe County",15,18,447
38,017,08,031,CO,"Denver County",15,15,309
38,017,08,041,CO,"El Paso County",15,28,497
38,017,27,007,MN,"Beltrami County",15,24,426
38,017,27,019,MN,"Carver County",15,26,498
38,017,30,111,MT,"Yellowstone County",15,28,796
38,017,31,055,NE,"Douglas County",15,28,682
38,017,38,081,ND,"Sargent County",15,19,291
38,017,04,019,AZ,"Pima County",14,18,283
38,017,06,073,CA,"San Diego County",14,21,410
38,017,19,153,IA,"Polk County",14,23,599
38,017,27,171,MN,"Wright County",14,30,526
38,017,38,089,ND,"Stark County",13,18,321
38,017,27,067,MN,"Kandiyohi County",12,16,348
38,017,30,031,MT,"Gallatin County",12,18,304
38,017,38,099,ND,"Walsh County",12,19,209
38,017,46,029,SD,"Codington County",12,19,253
38,017,46,103,SD,"Pennington County",12,25,354
38,017,12,103,FL,"Pinellas County",11,30,353
38,017,16,001,ID,"Ada County",11,24,430
38,017,27,057,MN,"Hubbard County",11,16,235
38,017,27,139,MN,"Scott County",11,24,536
38,017,46,013,SD,"Brown County",11,26,424
38,017,08,059,CO,"Jefferson County",10,12,361
38,017,38,055,ND,"Mclean County",10,17,286
38,017,38,067,ND,"Pembina County",10,13,249
38,017,38,091,ND,"Steele County",10,13,214
38,017,41,051,OR,"Multnomah County",10,12,178
38,017,58,000,SS,"Other Flows - Same State",130,216,3140
38,017,59,000,DS,"Other Flows - Diff State",1160,2078,45940
38,017,59,001,DS,"Other Flows - Northeast",73,120,3603
38,017,59,003,DS,"Other Flows - Midwest",512,938,20533
38,017,59,005,DS,"Other Flows - South",250,472,9388
38,017,59,007,DS,"Other Flows - West",325,548,12416
38,017,57,009,FR,"Foreign - Other flows",31,58,1053
38,019,96,000,ND,"Cavalier County Tot Mig-US & For",106,189,2915
38,019,97,000,ND,"Cavalier County Tot Mig-US",106,189,2915
38,019,97,001,ND,"Cavalier County Tot Mig-Same St",62,111,1802
38,019,97,003,ND,"Cavalier County Tot Mig-Diff St",44,78,1113
38,019,38,019,ND,"Cavalier County Non-Migrants",1859,4154,72981
38,019,38,017,ND,"Cass County",16,19,370
38,019,38,035,ND,"Grand Forks County",15,30,305
38,019,38,067,ND,"Pembina County",10,20,214
38,019,58,000,SS,"Other Flows - Same State",21,42,913
38,019,59,000,DS,"Other Flows - Diff State",44,78,1113
38,021,96,000,ND,"Dickey County Tot Mig-US & For",172,343,4703
38,021,97,000,ND,"Dickey County Tot Mig-US",172,343,4703
38,021,97,001,ND,"Dickey County Tot Mig-Same St",68,127,2220
38,021,97,003,ND,"Dickey County Tot Mig-Diff St",104,216,2483
38,021,38,021,ND,"Dickey County Non-Migrants",1982,4522,70513
38,021,38,017,ND,"Cass County",24,29,612
38,021,46,013,SD,"Brown County",20,35,342
38,021,58,000,SS,"Other Flows - Same State",44,98,1608
38,021,59,000,DS,"Other Flows - Diff State",84,181,2141
38,023,96,000,ND,"Divide County Tot Mig-US & For",51,76,1565
38,023,97,000,ND,"Divide County Tot Mig-US",51,76,1565
38,023,97,001,ND,"Divide County Tot Mig-Same St",29,38,870
38,023,97,003,ND,"Divide County Tot Mig-Diff St",22,38,695
38,023,38,023,ND,"Divide County Non-Migrants",848,1807,27876
38,023,58,000,SS,"Other Flows - Same State",29,38,870
38,023,59,000,DS,"Other Flows - Diff State",22,38,695
38,025,96,000,ND,"Dunn County Tot Mig-US & For",84,147,2196
38,025,97,000,ND,"Dunn County Tot Mig-US",84,147,2196
38,025,97,001,ND,"Dunn County Tot Mig-Same St",65,123,1802
38,025,97,003,ND,"Dunn County Tot Mig-Diff St",19,24,394
38,025,38,025,ND,"Dunn County Non-Migrants",1161,2781,32882
38,025,38,089,ND,"Stark County",23,49,662
38,025,38,057,ND,"Mercer County",10,17,296
38,025,58,000,SS,"Other Flows - Same State",32,57,843
38,025,59,000,DS,"Other Flows - Diff State",19,24,394
38,027,96,000,ND,"Eddy County Tot Mig-US & For",77,129,2122
38,027,97,000,ND,"Eddy County Tot Mig-US",77,129,2122
38,027,97,001,ND,"Eddy County Tot Mig-Same St",53,93,1311
38,027,97,003,ND,"Eddy County Tot Mig-Diff St",24,36,811
38,027,38,027,ND,"Eddy County Non-Migrants",899,1999,29711
38,027,38,017,ND,"Cass County",11,15,291
38,027,58,000,SS,"Other Flows - Same State",42,78,1020
38,027,59,000,DS,"Other Flows - Diff State",24,36,811
38,029,96,000,ND,"Emmons County Tot Mig-US & For",82,160,2383
38,029,97,000,ND,"Emmons County Tot Mig-US",82,160,2383
38,029,97,001,ND,"Emmons County Tot Mig-Same St",60,117,1877
38,029,97,003,ND,"Emmons County Tot Mig-Diff St",22,43,505
38,029,38,029,ND,"Emmons County Non-Migrants",1458,3348,40718
38,029,38,015,ND,"Burleigh County",20,27,554
38,029,38,017,ND,"Cass County",10,16,197
38,029,58,000,SS,"Other Flows - Same State",30,74,1127
38,029,59,000,DS,"Other Flows - Diff State",22,43,505
38,031,96,000,ND,"Foster County Tot Mig-US & For",97,181,2805
38,031,97,000,ND,"Foster County Tot Mig-US",97,181,2805
38,031,97,001,ND,"Foster County Tot Mig-Same St",67,123,1664
38,031,97,003,ND,"Foster County Tot Mig-Diff St",30,58,1141
38,031,38,031,ND,"Foster County Non-Migrants",1303,2998,50025
38,031,38,017,ND,"Cass County",13,21,287
38,031,38,015,ND,"Burleigh County",11,17,445
38,031,38,093,ND,"Stutsman County",11,20,150
38,031,58,000,SS,"Other Flows - Same State",32,65,783
38,031,59,000,DS,"Other Flows - Diff State",30,58,1141
38,033,96,000,ND,"Golden Valley C Tot Mig-US & For",47,83,1113
38,033,97,000,ND,"Golden Valley C Tot Mig-US",47,83,1113
38,033,97,001,ND,"Golden Valley C Tot Mig-Same St",22,40,459
38,033,97,003,ND,"Golden Valley C Tot Mig-Diff St",25,43,654
38,033,38,033,ND,"Golden Valley C Non-Migrants",664,1511,20026
38,033,58,000,SS,"Other Flows - Same State",22,40,459
38,033,59,000,DS,"Other Flows - Diff State",25,43,654
38,035,96,000,ND,"Grand Forks Cou Tot Mig-US & For",2609,4861,83677
38,035,97,000,ND,"Grand Forks Cou Tot Mig-US",2512,4666,81425
38,035,97,001,ND,"Grand Forks Cou Tot Mig-Same St",581,1014,19318
38,035,97,003,ND,"Grand Forks Cou Tot Mig-Diff St",1931,3652,62108
38,035,98,000,ND,"Grand Forks Cou Tot Mig-Foreign",97,195,2252
38,035,38,035,ND,"Grand Forks Cou Non-Migrants",22016,47399,968941
38,035,38,017,ND,"Cass County",210,342,9860
38,035,27,119,MN,"Polk County",186,361,5481
38,035,27,053,MN,"Hennepin County",100,136,2967
38,035,38,015,ND,"Burleigh County",55,102,1940
38,035,38,099,ND,"Walsh County",52,82,1378
38,035,04,013,AZ,"Maricopa County",42,59,842
38,035,27,037,MN,"Dakota County",38,56,934
38,035,38,097,ND,"Traill County",38,70,946
38,035,38,101,ND,"Ward County",36,77,925
38,035,27,089,MN,"Marshall County",34,69,855
