"2001 - 2002 County to County Migration Outflow",,,,,,,,
"(Aggregate money amounts are in thousands of dollars)",,,,,,,,
,,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Wyoming,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
56,000,96,000,WY,"Total Mig - US & For",16423,31258,559853
56,000,97,000,WY,"Total Mig - US",16168,30835,553437
56,000,97,001,WY,"Total Mig - US Same St",5081,10007,169628
56,000,97,003,WY,"Total Mig - US Diff St",11087,20828,383809
56,000,98,000,WY,"Total Mig - Foreign",255,423,6416
56,001,96,000,WY,"Albany County Tot Mig-US & For",1636,2843,46229
56,001,97,000,WY,"Albany County Tot Mig-US",1608,2806,45616
56,001,97,001,WY,"Albany County Tot Mig-Same St",493,900,14401
56,001,97,003,WY,"Albany County Tot Mig-Diff St",1115,1906,31215
56,001,98,000,WY,"Albany County Tot Mig-Foreign",28,37,613
56,001,56,001,WY,"Albany County Non-Migrants",9906,19844,442562
56,001,56,021,WY,"Laramie County",155,277,5148
56,001,08,069,CO,"Larimer County",71,122,1828
56,001,56,025,WY,"Natrona County",59,103,1615
56,001,56,037,WY,"Sweetwater County",38,65,1047
56,001,56,033,WY,"Sheridan County",32,58,837
56,001,04,013,AZ,"Maricopa County",30,50,835
56,001,08,031,CO,"Denver County",28,35,424
56,001,56,007,WY,"Carbon County",28,51,687
56,001,56,013,WY,"Fremont County",24,40,434
56,001,56,029,WY,"Park County",23,44,658
56,001,08,059,CO,"Jefferson County",22,31,729
56,001,08,123,CO,"Weld County",21,39,539
56,001,56,005,WY,"Campbell County",21,37,573
56,001,32,003,NV,"Clark County",20,30,789
56,001,08,001,CO,"Adams County",17,27,437
56,001,08,005,CO,"Arapahoe County",16,24,593
56,001,49,035,UT,"Salt Lake County",16,31,586
56,001,08,013,CO,"Boulder County",15,22,357
56,001,08,041,CO,"El Paso County",15,25,485
56,001,56,015,WY,"Goshen County",15,24,333
56,001,56,023,WY,"Lincoln County",15,41,461
56,001,04,019,AZ,"Pima County",13,24,500
56,001,53,033,WA,"King County",13,16,409
56,001,06,073,CA,"San Diego County",12,23,272
56,001,16,001,ID,"Ada County",12,21,525
56,001,56,041,WY,"Uinta County",11,27,420
56,001,56,031,WY,"Platte County",10,22,367
56,001,56,039,WY,"Teton County",10,14,392
56,001,58,000,SS,"Other Flows - Same State",52,97,1429
56,001,59,000,DS,"Other Flows - Diff State",794,1386,21906
56,001,59,001,DS,"Other Flows - Northeast",62,104,1760
56,001,59,003,DS,"Other Flows - Midwest",222,375,6339
56,001,59,005,DS,"Other Flows - South",207,357,5820
56,001,59,007,DS,"Other Flows - West",303,550,7987
56,001,57,009,FR,"Foreign - Other flows",28,37,613
56,003,96,000,WY,"Big Horn County Tot Mig-US & For",288,570,7850
56,003,97,000,WY,"Big Horn County Tot Mig-US",288,570,7850
56,003,97,001,WY,"Big Horn County Tot Mig-Same St",147,318,3858
56,003,97,003,WY,"Big Horn County Tot Mig-Diff St",141,252,3992
56,003,56,003,WY,"Big Horn County Non-Migrants",3330,8224,120459
56,003,56,029,WY,"Park County",57,116,1428
56,003,56,001,WY,"Albany County",17,30,308
56,003,30,111,MT,"Yellowstone County",13,17,238
56,003,56,033,WY,"Sheridan County",13,30,339
56,003,56,043,WY,"Washakie County",12,28,368
56,003,58,000,SS,"Other Flows - Same State",48,114,1415
56,003,59,000,DS,"Other Flows - Diff State",128,235,3754
56,005,96,000,WY,"Campbell County Tot Mig-US & For",1045,2052,37360
56,005,97,000,WY,"Campbell County Tot Mig-US",1033,2033,36963
56,005,97,001,WY,"Campbell County Tot Mig-Same St",329,692,13916
56,005,97,003,WY,"Campbell County Tot Mig-Diff St",704,1341,23047
56,005,98,000,WY,"Campbell County Tot Mig-Foreign",12,19,398
56,005,56,005,WY,"Campbell County Non-Migrants",12001,28737,690973
56,005,56,025,WY,"Natrona County",52,113,1848
56,005,56,033,WY,"Sheridan County",47,85,1793
56,005,56,011,WY,"Crook County",36,78,1475
56,005,56,001,WY,"Albany County",30,40,666
56,005,56,019,WY,"Johnson County",24,52,1558
56,005,56,045,WY,"Weston County",24,61,995
56,005,46,081,SD,"Lawrence County",22,42,597
56,005,56,009,WY,"Converse County",22,52,1913
56,005,46,103,SD,"Pennington County",20,33,716
56,005,30,111,MT,"Yellowstone County",19,27,600
56,005,04,013,AZ,"Maricopa County",17,30,554
56,005,56,021,WY,"Laramie County",17,39,734
56,005,08,041,CO,"El Paso County",15,22,389
56,005,56,013,WY,"Fremont County",14,28,450
56,005,56,029,WY,"Park County",14,28,665
56,005,08,069,CO,"Larimer County",13,21,558
56,005,56,037,WY,"Sweetwater County",11,23,434
56,005,08,031,CO,"Denver County",10,12,297
56,005,58,000,SS,"Other Flows - Same State",38,93,1386
56,005,59,000,DS,"Other Flows - Diff State",588,1154,19334
56,005,57,009,FR,"Foreign - Other flows",12,19,398
56,007,96,000,WY,"Carbon County Tot Mig-US & For",580,1135,19239
56,007,97,000,WY,"Carbon County Tot Mig-US",580,1135,19239
56,007,97,001,WY,"Carbon County Tot Mig-Same St",265,503,8199
