"2002-2003 County To County Migration  Inflows",,,,,,Alaska,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Alaska,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
02,000,96,000,AK,"Total Mig - US & For",21482,42196,770774
02,000,97,000,AK,"Total Mig - US",20808,40769,750664
02,000,97,001,AK,"Total Mig - US Same St",6709,13122,280530
02,000,97,003,AK,"Total Mig - US Diff St",14099,27647,470134
02,000,98,000,AK,"Total Mig - Foreign",674,1427,20110
02,013,96,000,AK,"Aleutians East Tot Mig-US & For",123,180,2881
02,013,97,000,AK,"Aleutians East Tot Mig-US",123,180,2881
02,013,97,001,AK,"Aleutians East Tot Mig-Same St",23,35,771
02,013,97,003,AK,"Aleutians East Tot Mig-Diff St",100,145,2111
02,013,02,013,AK,"Aleutians East Non-Migrants",541,1063,19756
02,013,06,073,CA,"San Diego County",19,22,456
02,013,15,003,HI,"Honolulu County",10,17,196
02,013,53,033,WA,"King County",10,15,150
02,013,58,000,SS,"Other Flows - Same State",23,35,771
02,013,59,000,DS,"Other Flows - Diff State",61,91,1308
02,016,96,000,AK,"Aleutians West Tot Mig-US & For",278,469,9024
02,016,97,000,AK,"Aleutians West Tot Mig-US",278,469,9024
02,016,97,001,AK,"Aleutians West Tot Mig-Same St",60,94,2378
02,016,97,003,AK,"Aleutians West Tot Mig-Diff St",218,375,6645
02,016,02,016,AK,"Aleutians West Non-Migrants",1355,2755,63157
02,016,02,020,AK,"Anchorage Borough",27,39,776
02,016,15,003,HI,"Honolulu County",25,39,494
02,016,53,033,WA,"King County",17,36,595
02,016,06,037,CA,"Los Angeles County",11,14,212
02,016,06,073,CA,"San Diego County",11,13,187
02,016,06,029,CA,"Kern County",10,20,288
02,016,58,000,SS,"Other Flows - Same State",33,55,1602
02,016,59,000,DS,"Other Flows - Diff State",144,253,4870
02,020,96,000,AK,"Anchorage Borou Tot Mig-US & For",8769,16968,318725
02,020,97,000,AK,"Anchorage Borou Tot Mig-US",8417,16205,306951
02,020,97,001,AK,"Anchorage Borou Tot Mig-Same St",2255,4136,89221
02,020,97,003,AK,"Anchorage Borou Tot Mig-Diff St",6162,12069,217730
02,020,98,000,AK,"Anchorage Borou Tot Mig-Foreign",352,763,11774
02,020,02,020,AK,"Anchorage Borou Non-Migrants",91403,194887,5433363
02,020,02,170,AK,"Matanuska Susitna Bo",529,911,19582
02,020,02,122,AK,"Kenai Peninsula Boro",361,622,13649
02,020,02,090,AK,"Fairbanks North Star",348,697,17294
02,020,57,005,FR,"Foreign - APO/FPO ZIPs",256,612,9575
02,020,53,033,WA,"King County",186,325,7074
02,020,02,150,AK,"Kodiak Island Boroug",136,245,4050
02,020,02,261,AK,"Valdez Cordova Censu",129,245,7381
02,020,04,013,AZ,"Maricopa County",115,227,4428
02,020,02,050,AK,"Bethel Census Area",105,225,3998
02,020,32,003,NV,"Clark County",104,207,3871
02,020,02,110,AK,"Juneau Borough",101,189,4743
02,020,15,003,HI,"Honolulu County",89,231,2391
02,020,53,053,WA,"Pierce County",86,180,3342
02,020,06,037,CA,"Los Angeles County",85,165,2376
02,020,06,073,CA,"San Diego County",73,120,1791
02,020,08,041,CO,"El Paso County",72,155,2467
02,020,48,029,TX,"Bexar County",69,168,2937
02,020,02,180,AK,"Nome Census Area",68,139,2326
02,020,12,091,FL,"Okaloosa County",64,173,2318
02,020,37,051,NC,"Cumberland County",58,154,2171
02,020,02,188,AK,"Northwest Arctic Bor",56,103,1843
02,020,02,070,AK,"Dillingham Census Ar",53,116,1964
02,020,49,035,UT,"Salt Lake County",52,101,2229
02,020,53,063,WA,"Spokane County",52,101,1766
02,020,53,061,WA,"Snohomish County",50,111,2260
02,020,04,019,AZ,"Pima County",49,102,1659
02,020,02,185,AK,"North Slope Borough",48,92,2175
02,020,48,201,TX,"Harris County",47,119,4739
02,020,41,051,OR,"Multnomah County",45,55,1358
02,020,06,059,CA,"Orange County",43,84,1515
02,020,48,485,TX,"Wichita County",43,81,1239
02,020,02,270,AK,"Wade Hampton Census",41,80,716
02,020,06,067,CA,"Sacramento County",40,101,819
02,020,02,016,AK,"Aleutians West Censu",39,64,1369
02,020,35,001,NM,"Bernalillo County",39,87,1902
02,020,41,005,OR,"Clackamas County",37,72,1125
02,020,53,011,WA,"Clark County",37,69,1550
02,020,27,053,MN,"Hennepin County",36,65,934
02,020,37,191,NC,"Wayne County",36,96,1455
02,020,13,215,GA,"Muscogee County",35,84,1098
02,020,17,031,IL,"Cook County",35,55,1334
02,020,41,039,OR,"Lane County",35,44,900
02,020,02,130,AK,"Ketchikan Gateway Bo",34,69,1448
02,020,02,220,AK,"Sitka Borough",34,52,1069
02,020,12,057,FL,"Hillsborough County",34,74,1229
02,020,40,109,OK,"Oklahoma County",34,83,1202
