"2002-2003 County To County Migration  Inflows",,,,,,Idaho,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Idaho,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
16,000,96,000,ID,"Total Mig - US & For",39249,82452,1288157
16,000,97,000,ID,"Total Mig - US",38497,81178,1275275
16,000,97,001,ID,"Total Mig - US Same St",16960,35807,479358
16,000,97,003,ID,"Total Mig - US Diff St",21537,45371,795917
16,000,98,000,ID,"Total Mig - Foreign",752,1274,12882
16,001,96,000,ID,"Ada County Tot Mig-US & For",8877,17605,354543
16,001,97,000,ID,"Ada County Tot Mig-US",8769,17406,351961
16,001,97,001,ID,"Ada County Tot Mig-Same St",3387,6238,103001
16,001,97,003,ID,"Ada County Tot Mig-Diff St",5382,11168,248960
16,001,98,000,ID,"Ada County Tot Mig-Foreign",108,199,2582
16,001,16,001,ID,"Ada County Non-Migrants",109688,246846,5971163
16,001,16,027,ID,"Canyon County",1258,2400,38937
16,001,16,083,ID,"Twin Falls County",245,383,6544
16,001,16,039,ID,"Elmore County",227,449,5991
16,001,53,033,WA,"King County",218,395,10709
16,001,16,019,ID,"Bonneville County",172,314,6039
16,001,16,005,ID,"Bannock County",169,352,5292
16,001,04,013,AZ,"Maricopa County",166,341,8070
16,001,16,045,ID,"Gem County",153,291,4024
16,001,49,035,UT,"Salt Lake County",148,295,7100
16,001,06,037,CA,"Los Angeles County",147,282,7381
16,001,16,015,ID,"Boise County",114,233,4475
16,001,16,057,ID,"Latah County",113,179,2856
16,001,06,085,CA,"Santa Clara County",103,221,9576
16,001,16,055,ID,"Kootenai County",96,170,2584
16,001,06,073,CA,"San Diego County",95,205,3349
16,001,32,003,NV,"Clark County",95,174,3887
16,001,06,059,CA,"Orange County",88,219,5949
16,001,49,049,UT,"Utah County",83,201,2612
16,001,16,075,ID,"Payette County",78,152,2450
16,001,41,051,OR,"Multnomah County",77,156,4005
16,001,41,045,OR,"Malheur County",74,134,2565
16,001,53,063,WA,"Spokane County",72,153,2846
16,001,16,013,ID,"Blaine County",70,109,4467
16,001,16,085,ID,"Valley County",70,118,2245
16,001,41,067,OR,"Washington County",63,133,2863
16,001,53,061,WA,"Snohomish County",62,130,3034
16,001,53,011,WA,"Clark County",61,141,2994
16,001,16,031,ID,"Cassia County",60,118,1786
16,001,16,069,ID,"Nez Perce County",58,100,1775
16,001,06,067,CA,"Sacramento County",56,121,2930
16,001,16,011,ID,"Bingham County",52,89,1070
16,001,16,073,ID,"Owyhee County",52,100,1838
16,001,53,053,WA,"Pierce County",49,137,2308
16,001,06,001,CA,"Alameda County",47,99,2421
16,001,16,087,ID,"Washington County",47,80,1087
16,001,08,041,CO,"El Paso County",46,101,2213
16,001,41,005,OR,"Clackamas County",46,86,2506
16,001,57,005,FR,"Foreign - APO/FPO ZIPs",46,100,1371
16,001,32,031,NV,"Washoe County",43,77,1522
16,001,41,047,OR,"Marion County",42,75,1886
16,001,16,047,ID,"Gooding County",41,59,1197
16,001,04,019,AZ,"Pima County",40,85,1897
16,001,32,007,NV,"Elko County",40,80,1308
16,001,49,011,UT,"Davis County",40,115,1978
