"2002-2003 County To County Migration  Inflows",,,,,,"New Mexico",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
"New Mexico",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
35,000,96,000,NM,"Total Mig - US & For",50793,100998,1659949
35,000,97,000,NM,"Total Mig - US",49331,98184,1622724
35,000,97,001,NM,"Total Mig - US Same St",20035,40350,565393
35,000,97,003,NM,"Total Mig - US Diff St",29296,57834,1057331
35,000,98,000,NM,"Total Mig - Foreign",1462,2814,37225
35,001,96,000,NM,"Bernalillo Coun Tot Mig-US & For",15080,27694,531397
35,001,97,000,NM,"Bernalillo Coun Tot Mig-US",14577,26802,518973
35,001,97,001,NM,"Bernalillo Coun Tot Mig-Same St",5759,10671,168176
35,001,97,003,NM,"Bernalillo Coun Tot Mig-Diff St",8818,16131,350797
35,001,98,000,NM,"Bernalillo Coun Tot Mig-Foreign",503,892,12425
35,001,35,001,NM,"Bernalillo Coun Non-Migrants",199412,411277,9159020
35,001,35,043,NM,"Sandoval County",1593,2996,54515
35,001,35,061,NM,"Valencia County",836,1704,22972
35,001,35,049,NM,"Santa Fe County",777,1356,25556
35,001,04,013,AZ,"Maricopa County",477,879,19219
35,001,35,013,NM,"Dona Ana County",321,537,8410
35,001,35,031,NM,"Mckinley County",316,634,7372
35,001,35,045,NM,"San Juan County",281,500,8462
35,001,48,141,TX,"El Paso County",272,556,7710
35,001,06,037,CA,"Los Angeles County",221,389,8632
35,001,57,005,FR,"Foreign - APO/FPO ZIPs",207,511,8661
35,001,06,073,CA,"San Diego County",202,358,6999
35,001,35,057,NM,"Torrance County",184,354,3718
35,001,32,003,NV,"Clark County",177,316,6465
35,001,35,006,NM,"Cibola County",158,325,3910
35,001,35,047,NM,"San Miguel County",144,264,3150
35,001,35,005,NM,"Chaves County",143,242,3580
35,001,35,055,NM,"Taos County",130,211,2713
35,001,04,019,AZ,"Pima County",126,216,5280
35,001,35,039,NM,"Rio Arriba County",126,218,3039
35,001,17,031,IL,"Cook County",124,199,4062
35,001,48,029,TX,"Bexar County",123,240,4975
35,001,53,033,WA,"King County",122,180,5019
35,001,08,041,CO,"El Paso County",114,219,4637
35,001,48,201,TX,"Harris County",113,200,4676
35,001,35,053,NM,"Socorro County",110,205,2600
35,001,48,453,TX,"Travis County",110,169,3654
35,001,48,113,TX,"Dallas County",105,191,4247
35,001,08,031,CO,"Denver County",90,146,3028
35,001,35,028,NM,"Los Alamos County",90,143,4500
35,001,06,059,CA,"Orange County",87,150,3472
35,001,35,035,NM,"Otero County",87,165,2368
35,001,48,439,TX,"Tarrant County",83,164,3341
35,001,08,005,CO,"Arapahoe County",82,134,2987
35,001,35,009,NM,"Curry County",77,134,1902
35,001,51,059,VA,"Fairfax County",74,159,5592
35,001,06,001,CA,"Alameda County",72,121,3678
35,001,06,085,CA,"Santa Clara County",69,131,5408
35,001,08,059,CO,"Jefferson County",69,132,2589
35,001,06,071,CA,"San Bernardino Count",56,120,1815
35,001,35,015,NM,"Eddy County",56,101,1574
35,001,49,035,UT,"Salt Lake County",52,113,1714
35,001,08,001,CO,"Adams County",51,122,1627
35,001,15,003,HI,"Honolulu County",49,124,2122
35,001,35,017,NM,"Grant County",49,83,1045
35,001,41,051,OR,"Multnomah County",48,63,1499
35,001,41,067,OR,"Washington County",48,99,2744
35,001,02,020,AK,"Anchorage Borough",47,97,1684
35,001,27,053,MN,"Hennepin County",45,73,1846
35,001,40,109,OK,"Oklahoma County",45,79,1645
35,001,35,007,NM,"Colfax County",44,77,1077
35,001,06,013,CA,"Contra Costa County",43,85,2277
35,001,04,001,AZ,"Apache County",40,76,691
35,001,06,065,CA,"Riverside County",38,61,1210
35,001,04,005,AZ,"Coconino County",37,68,1404
35,001,35,025,NM,"Lea County",37,66,981
35,001,35,041,NM,"Roosevelt County",37,64,832
35,001,48,303,TX,"Lubbock County",37,64,1204
35,001,25,017,MA,"Middlesex County",36,57,1808
35,001,08,013,CO,"Boulder County",35,67,1541
35,001,40,143,OK,"Tulsa County",33,73,1643
35,001,48,121,TX,"Denton County",33,57,1058
35,001,08,067,CO,"La Plata County",32,51,2338
35,001,48,085,TX,"Collin County",32,71,2398
35,001,06,067,CA,"Sacramento County",31,47,1073
35,001,08,069,CO,"Larimer County",31,49,1009
35,001,11,001,DC,"District Of Columbia",31,45,1690
35,001,12,091,FL,"Okaloosa County",31,62,1162
35,001,35,027,NM,"Lincoln County",31,45,710
35,001,36,061,NY,"New York County",31,54,3213
35,001,12,103,FL,"Pinellas County",30,45,1662
35,001,37,051,NC,"Cumberland County",30,54,784
35,001,49,049,UT,"Utah County",30,80,955
35,001,53,053,WA,"Pierce County",30,65,500
35,001,48,441,TX,"Taylor County",29,68,891
35,001,47,157,TN,"Shelby County",28,52,1108
