"2002-2003 County To County Migration  Inflows",,,,,,Utah,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Utah,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
49,000,96,000,UT,"Total Mig - US & For",52357,113572,1817832
49,000,97,000,UT,"Total Mig - US",50843,111232,1791675
49,000,97,001,UT,"Total Mig - US Same St",26346,58454,848659
49,000,97,003,UT,"Total Mig - US Diff St",24497,52778,943015
49,000,98,000,UT,"Total Mig - Foreign",1514,2340,26157
49,001,96,000,UT,"Beaver County Tot Mig-US & For",105,267,2561
49,001,97,000,UT,"Beaver County Tot Mig-US",105,267,2561
49,001,97,001,UT,"Beaver County Tot Mig-Same St",68,181,1693
49,001,97,003,UT,"Beaver County Tot Mig-Diff St",37,86,868
49,001,49,001,UT,"Beaver County Non-Migrants",1703,4854,61213
49,001,49,021,UT,"Iron County",14,41,445
49,001,49,035,UT,"Salt Lake County",14,35,344
49,001,49,053,UT,"Washington County",13,36,350
49,001,58,000,SS,"Other Flows - Same State",27,69,553
49,001,59,000,DS,"Other Flows - Diff State",37,86,868
49,003,96,000,UT,"Box Elder Count Tot Mig-US & For",887,2207,28008
49,003,97,000,UT,"Box Elder Count Tot Mig-US",887,2207,28008
49,003,97,001,UT,"Box Elder Count Tot Mig-Same St",583,1423,18289
49,003,97,003,UT,"Box Elder Count Tot Mig-Diff St",304,784,9718
49,003,49,003,UT,"Box Elder Count Non-Migrants",13463,37509,588667
49,003,49,057,UT,"Weber County",225,558,7443
49,003,49,005,UT,"Cache County",114,260,2890
49,003,49,035,UT,"Salt Lake County",90,229,2637
49,003,49,011,UT,"Davis County",87,227,3530
49,003,49,049,UT,"Utah County",29,58,730
49,003,32,003,NV,"Clark County",13,24,599
49,003,16,071,ID,"Oneida County",11,29,368
49,003,58,000,SS,"Other Flows - Same State",38,91,1059
49,003,59,000,DS,"Other Flows - Diff State",280,731,8751
49,003,59,001,DS,"Other Flows - Northeast",12,26,248
49,003,59,003,DS,"Other Flows - Midwest",27,88,1265
49,003,59,005,DS,"Other Flows - South",50,159,1649
49,003,59,007,DS,"Other Flows - West",191,458,5590
49,005,96,000,UT,"Cache County Tot Mig-US & For",2445,5099,63206
49,005,97,000,UT,"Cache County Tot Mig-US",2303,4946,62624
49,005,97,001,UT,"Cache County Tot Mig-Same St",1155,2427,28096
49,005,97,003,UT,"Cache County Tot Mig-Diff St",1148,2519,34528
49,005,98,000,UT,"Cache County Tot Mig-Foreign",142,153,582
49,005,49,005,UT,"Cache County Non-Migrants",26414,71898,1168532
49,005,49,035,UT,"Salt Lake County",298,608,7772
49,005,49,049,UT,"Utah County",207,437,4551
49,005,49,003,UT,"Box Elder County",162,351,4182
49,005,49,011,UT,"Davis County",134,290,3603
49,005,49,057,UT,"Weber County",100,254,2924
49,005,16,041,ID,"Franklin County",89,213,2047
49,005,49,053,UT,"Washington County",56,97,1083
49,005,16,005,ID,"Bannock County",37,76,845
49,005,04,013,AZ,"Maricopa County",32,82,1204
49,005,16,019,ID,"Bonneville County",31,53,521
49,005,49,039,UT,"Sanpete County",28,55,355
49,005,06,037,CA,"Los Angeles County",26,71,949
49,005,16,065,ID,"Madison County",25,46,371
49,005,16,001,ID,"Ada County",24,50,668
49,005,32,003,NV,"Clark County",22,42,492
49,005,16,031,ID,"Cassia County",18,31,677
49,005,49,021,UT,"Iron County",18,44,319
49,005,56,023,WY,"Lincoln County",18,27,430
49,005,49,047,UT,"Uintah County",16,23,296
49,005,49,051,UT,"Wasatch County",16,27,275
49,005,49,007,UT,"Carbon County",15,24,235
49,005,16,011,ID,"Bingham County",14,32,340
49,005,49,043,UT,"Summit County",14,29,288
49,005,16,007,ID,"Bear Lake County",13,26,233
49,005,49,013,UT,"Duchesne County",13,19,214
49,005,49,041,UT,"Sevier County",13,36,261
49,005,53,033,WA,"King County",13,32,383
49,005,06,059,CA,"Orange County",12,34,556
49,005,06,073,CA,"San Diego County",12,30,398
49,005,16,029,ID,"Caribou County",12,19,457
49,005,16,071,ID,"Oneida County",12,24,310
49,005,49,045,UT,"Tooele County",12,24,312
49,005,16,043,ID,"Fremont County",11,20,150
49,005,16,083,ID,"Twin Falls County",11,28,325
49,005,56,041,WY,"Uinta County",11,29,479
49,005,48,201,TX,"Harris County",10,25,335
49,005,49,027,UT,"Millard County",10,17,204
49,005,58,000,SS,"Other Flows - Same State",43,92,1222
49,005,59,000,DS,"Other Flows - Diff State",695,1529,22359
49,005,59,001,DS,"Other Flows - Northeast",51,115,1757
49,005,59,003,DS,"Other Flows - Midwest",128,307,4654
49,005,59,005,DS,"Other Flows - South",132,267,4570
49,005,59,007,DS,"Other Flows - West",384,840,11379
49,005,57,009,FR,"Foreign - Other flows",142,153,582
49,007,96,000,UT,"Carbon County Tot Mig-US & For",444,1006,11961
49,007,97,000,UT,"Carbon County Tot Mig-US",444,1006,11961
49,007,97,001,UT,"Carbon County Tot Mig-Same St",295,661,6983
49,007,97,003,UT,"Carbon County Tot Mig-Diff St",149,345,4979
49,007,49,007,UT,"Carbon County Non-Migrants",6199,15335,257905
49,007,49,035,UT,"Salt Lake County",91,190,2199
49,007,49,015,UT,"Emery County",64,134,1625
49,007,49,049,UT,"Utah County",47,119,1088
49,007,49,011,UT,"Davis County",15,32,548
49,007,49,047,UT,"Uintah County",15,43,349
49,007,32,003,NV,"Clark County",11,19,262
49,007,58,000,SS,"Other Flows - Same State",63,143,1174
49,007,59,000,DS,"Other Flows - Diff State",138,326,4717
49,009,96,000,UT,"Daggett County Tot Mig-US & For",29,65,957
49,009,97,000,UT,"Daggett County Tot Mig-US",29,65,957
49,009,97,001,UT,"Daggett County Tot Mig-Same St",18,40,476
49,009,97,003,UT,"Daggett County Tot Mig-Diff St",11,25,481
49,009,49,009,UT,"Daggett County Non-Migrants",251,595,10120
49,009,58,000,SS,"Other Flows - Same State",18,40,476
49,009,59,000,DS,"Other Flows - Diff State",11,25,481
49,011,96,000,UT,"Davis County Tot Mig-US & For",7677,18063,290055
49,011,97,000,UT,"Davis County Tot Mig-US",7449,17510,282292
49,011,97,001,UT,"Davis County Tot Mig-Same St",4707,11047,172489
49,011,97,003,UT,"Davis County Tot Mig-Diff St",2742,6463,109803
49,011,98,000,UT,"Davis County Tot Mig-Foreign",228,553,7763
49,011,49,011,UT,"Davis County Non-Migrants",76371,208031,4223443
49,011,49,035,UT,"Salt Lake County",1948,4510,73889
49,011,49,057,UT,"Weber County",1921,4558,66242
49,011,49,049,UT,"Utah County",284,708,9387
49,011,57,005,FR,"Foreign - APO/FPO ZIPs",217,526,7347
49,011,49,005,UT,"Cache County",185,441,11597
49,011,04,013,AZ,"Maricopa County",111,282,4270
49,011,49,003,UT,"Box Elder County",85,189,2594
49,011,49,053,UT,"Washington County",75,164,2082
49,011,06,037,CA,"Los Angeles County",71,217,4191
49,011,32,003,NV,"Clark County",69,165,2273
49,011,06,073,CA,"San Diego County",53,139,2055
49,011,48,485,TX,"Wichita County",48,81,1125
49,011,49,045,UT,"Tooele County",47,113,1574
49,011,48,029,TX,"Bexar County",44,102,1498
49,011,08,041,CO,"El Paso County",42,108,1647
49,011,49,029,UT,"Morgan County",38,81,1175
49,011,06,067,CA,"Sacramento County",34,75,1313
49,011,53,033,WA,"King County",31,91,1683
49,011,06,071,CA,"San Bernardino Count",30,78,1308
49,011,02,020,AK,"Anchorage Borough",27,68,1209
49,011,16,001,ID,"Ada County",27,78,1197
49,011,04,019,AZ,"Pima County",26,65,926
49,011,16,005,ID,"Bannock County",26,56,919
49,011,53,053,WA,"Pierce County",26,59,947
49,011,06,059,CA,"Orange County",24,60,1039
49,011,56,041,WY,"Uinta County",24,57,953
49,011,12,091,FL,"Okaloosa County",22,45,782
49,011,06,001,CA,"Alameda County",21,43,1065
49,011,15,003,HI,"Honolulu County",20,41,1200
49,011,49,043,UT,"Summit County",20,50,730
49,011,53,061,WA,"Snohomish County",20,54,1077
49,011,48,439,TX,"Tarrant County",19,39,678
49,011,53,063,WA,"Spokane County",19,47,649
49,011,02,090,AK,"Fairbanks North Star",18,55,632
49,011,06,065,CA,"Riverside County",18,40,780
49,011,30,013,MT,"Cascade County",18,37,721
49,011,41,067,OR,"Washington County",16,46,591
49,011,49,021,UT,"Iron County",16,31,525
49,011,06,083,CA,"Santa Barbara County",15,35,448
49,011,06,095,CA,"Solano County",15,40,733
49,011,08,001,CO,"Adams County",15,28,375
49,011,16,019,ID,"Bonneville County",15,43,501
49,011,49,013,UT,"Duchesne County",15,32,345
49,011,53,011,WA,"Clark County",15,36,532
49,011,08,005,CO,"Arapahoe County",14,42,745
49,011,16,011,ID,"Bingham County",14,26,466
49,011,32,007,NV,"Elko County",14,39,669
49,011,56,021,WY,"Laramie County",14,37,657
49,011,06,085,CA,"Santa Clara County",13,26,931
49,011,08,059,CO,"Jefferson County",13,33,334
49,011,25,017,MA,"Middlesex County",13,25,438
49,011,35,001,NM,"Bernalillo County",13,36,720
49,011,49,047,UT,"Uintah County",13,28,621
49,011,51,059,VA,"Fairfax County",13,40,1437
49,011,06,111,CA,"Ventura County",12,23,55
49,011,16,083,ID,"Twin Falls County",12,30,428
49,011,28,047,MS,"Harrison County",12,20,311
49,011,41,051,OR,"Multnomah County",12,38,394
49,011,48,201,TX,"Harris County",12,26,654
49,011,56,037,WY,"Sweetwater County",12,19,395
49,011,06,029,CA,"Kern County",11,24,397
49,011,08,031,CO,"Denver County",11,18,413
49,011,12,057,FL,"Hillsborough County",11,19,281
49,011,30,063,MT,"Missoula County",11,19,352
49,011,37,051,NC,"Cumberland County",11,25,360
49,011,06,013,CA,"Contra Costa County",10,30,674
49,011,16,027,ID,"Canyon County",10,20,349
49,011,17,031,IL,"Cook County",10,21,331
49,011,20,173,KS,"Sedgwick County",10,29,555
49,011,40,109,OK,"Oklahoma County",10,29,509
49,011,49,007,UT,"Carbon County",10,30,391
49,011,49,041,UT,"Sevier County",10,21,276
49,011,58,000,SS,"Other Flows - Same State",40,91,1060
49,011,59,000,DS,"Other Flows - Diff State",1465,3359,57636
49,011,59,001,DS,"Other Flows - Northeast",161,350,5912
49,011,59,003,DS,"Other Flows - Midwest",298,696,13390
49,011,59,005,DS,"Other Flows - South",573,1306,23413
49,011,59,007,DS,"Other Flows - West",433,1007,14921
49,011,57,009,FR,"Foreign - Other flows",11,27,416
49,013,96,000,UT,"Duchesne County Tot Mig-US & For",322,808,8592
49,013,97,000,UT,"Duchesne County Tot Mig-US",322,808,8592
49,013,97,001,UT,"Duchesne County Tot Mig-Same St",224,577,6133
49,013,97,003,UT,"Duchesne County Tot Mig-Diff St",98,231,2460
49,013,49,013,UT,"Duchesne County Non-Migrants",4260,12216,154968
49,013,49,035,UT,"Salt Lake County",73,171,2065
49,013,49,047,UT,"Uintah County",57,148,1595
49,013,49,049,UT,"Utah County",30,92,849
49,013,49,057,UT,"Weber County",10,33,313
49,013,58,000,SS,"Other Flows - Same State",54,133,1310
49,013,59,000,DS,"Other Flows - Diff State",98,231,2460
49,015,96,000,UT,"Emery County Tot Mig-US & For",194,517,5226
49,015,97,000,UT,"Emery County Tot Mig-US",194,517,5226
49,015,97,001,UT,"Emery County Tot Mig-Same St",124,337,3222
49,015,97,003,UT,"Emery County Tot Mig-Diff St",70,180,2004
49,015,49,015,UT,"Emery County Non-Migrants",2983,8591,126548
49,015,49,007,UT,"Carbon County",41,119,1411
49,015,49,035,UT,"Salt Lake County",23,63,528
49,015,49,049,UT,"Utah County",18,43,371
49,015,58,000,SS,"Other Flows - Same State",42,112,911
49,015,59,000,DS,"Other Flows - Diff State",70,180,2004
49,017,96,000,UT,"Garfield County Tot Mig-US & For",116,240,3302
49,017,97,000,UT,"Garfield County Tot Mig-US",116,240,3302
