"2002-2003 County To County Migration  Outflows",,,,,,Connecticut,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
Connecticut,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
09,000,96,000,CT,"Total Mig - US & For",70159,120852,3980798
09,000,97,000,CT,"Total Mig - US",68527,117850,3874862
09,000,97,001,CT,"Total Mig - US Same St",29033,49536,1421548
09,000,97,003,CT,"Total Mig - US Diff St",39494,68314,2453314
09,000,98,000,CT,"Total Mig - Foreign",1632,3002,105936
09,001,96,000,CT,"Fairfield Count Tot Mig-US & For",18338,32851,1495118
09,001,97,000,CT,"Fairfield Count Tot Mig-US",17858,31826,1422882
09,001,97,001,CT,"Fairfield Count Tot Mig-Same St",5592,10211,295894
09,001,97,003,CT,"Fairfield Count Tot Mig-Diff St",12266,21615,1126987
09,001,98,000,CT,"Fairfield Count Tot Mig-Foreign",480,1025,72237
09,001,09,001,CT,"Fairfield Count Non-Migrants",313132,676358,31123441
09,001,09,009,CT,"New Haven County",3926,7208,197811
09,001,36,061,NY,"New York County",1040,1348,152206
09,001,09,005,CT,"Litchfield County",778,1486,45092
09,001,36,119,NY,"Westchester County",774,1279,80027
09,001,09,003,CT,"Hartford County",500,842,29173
09,001,12,099,FL,"Palm Beach County",279,514,27790
09,001,25,025,MA,"Suffolk County",214,256,13814
09,001,25,017,MA,"Middlesex County",212,304,14949
09,001,12,011,FL,"Broward County",211,388,14584
09,001,36,081,NY,"Queens County",207,311,8102
09,001,36,047,NY,"Kings County",197,254,7553
09,001,06,037,CA,"Los Angeles County",189,281,16190
09,001,09,007,CT,"Middlesex County",173,321,12278
09,001,17,031,IL,"Cook County",150,228,14831
09,001,36,005,NY,"Bronx County",138,219,4829
09,001,04,013,AZ,"Maricopa County",136,251,19029
09,001,36,027,NY,"Dutchess County",122,212,7262
09,001,12,095,FL,"Orange County",120,257,4749
09,001,36,103,NY,"Suffolk County",119,192,12264
09,001,09,011,CT,"New London County",115,190,7472
09,001,34,017,NJ,"Hudson County",107,148,6928
09,001,36,059,NY,"Nassau County",103,169,8878
09,001,36,079,NY,"Putnam County",100,166,6177
09,001,12,086,FL,"Miami Dade County",94,180,7081
09,001,06,073,CA,"San Diego County",93,137,5106
09,001,12,057,FL,"Hillsborough County",93,186,4334
09,001,25,021,MA,"Norfolk County",90,150,8253
09,001,48,201,TX,"Harris County",89,175,9116
09,001,37,119,NC,"Mecklenburg County",84,193,8416
09,001,25,001,MA,"Barnstable County",81,139,10458
09,001,11,001,DC,"District Of Columbia",78,87,4129
09,001,12,021,FL,"Collier County",77,149,12222
09,001,12,115,FL,"Sarasota County",77,145,6119
09,001,12,071,FL,"Lee County",76,154,7093
09,001,34,003,NJ,"Bergen County",76,148,8920
09,001,24,031,MD,"Montgomery County",74,138,8276
09,001,44,007,RI,"Providence County",74,106,3512
09,001,12,103,FL,"Pinellas County",73,121,4770
09,001,51,059,VA,"Fairfax County",73,145,7337
09,001,06,075,CA,"San Francisco County",69,93,6047
09,001,42,101,PA,"Philadelphia County",69,91,3413
09,001,13,121,GA,"Fulton County",67,147,12975
09,001,36,087,NY,"Rockland County",66,124,5963
09,001,09,013,CT,"Tolland County",63,101,2893
09,001,34,023,NJ,"Middlesex County",63,122,3669
09,001,06,059,CA,"Orange County",59,96,9340
09,001,34,027,NJ,"Morris County",59,112,6327
09,001,32,003,NV,"Clark County",58,92,3895
09,001,13,067,GA,"Cobb County",56,117,5590
09,001,57,003,FR,"Foreign - Puerto Rico",56,143,1975
09,001,44,009,RI,"Washington County",55,105,4922
09,001,37,183,NC,"Wake County",54,116,3429
09,001,12,009,FL,"Brevard County",52,100,2062
09,001,25,013,MA,"Hampden County",52,94,2686
09,001,12,127,FL,"Volusia County",51,100,2753
09,001,42,029,PA,"Chester County",51,120,6412
09,001,12,083,FL,"Marion County",47,87,2181
09,001,53,033,WA,"King County",47,86,5636
09,001,34,025,NJ,"Monmouth County",46,89,6751
09,001,42,091,PA,"Montgomery County",46,85,3696
09,001,45,013,SC,"Beaufort County",46,87,6997
09,001,12,081,FL,"Manatee County",45,95,3540
09,001,25,027,MA,"Worcester County",45,82,3423
09,001,51,013,VA,"Arlington County",45,50,1975
09,001,25,009,MA,"Essex County",44,75,3357
09,001,12,111,FL,"St Lucie County",43,74,1804
09,001,34,013,NJ,"Essex County",42,89,2708
09,001,50,007,VT,"Chittenden County",42,78,2570
09,001,12,117,FL,"Seminole County",41,82,2022
09,001,23,005,ME,"Cumberland County",41,73,4904
09,001,42,017,PA,"Bucks County",41,99,3881
09,001,48,113,TX,"Dallas County",41,81,4912
09,001,57,005,FR,"Foreign - APO/FPO ZIPs",41,51,964
09,001,12,061,FL,"Indian River County",40,78,11173
09,001,13,089,GA,"De Kalb County",40,75,1451
09,001,34,021,NJ,"Mercer County",40,80,4197
09,001,25,023,MA,"Plymouth County",39,66,4671
09,001,42,003,PA,"Allegheny County",39,70,4533
09,001,06,085,CA,"Santa Clara County",38,80,4582
09,001,12,031,FL,"Duval County",38,81,2843
09,001,12,035,FL,"Flagler County",38,81,3402
09,001,12,097,FL,"Osceola County",38,93,1358
09,001,33,011,NH,"Hillsborough County",37,68,3178
09,001,26,125,MI,"Oakland County",36,88,5045
09,001,39,165,OH,"Warren County",36,82,3303
09,001,45,019,SC,"Charleston County",36,62,5187
09,001,06,001,CA,"Alameda County",35,55,4124
09,001,17,043,IL,"Du Page County",35,88,4287
09,001,44,005,RI,"Newport County",35,57,2349
09,001,24,005,MD,"Baltimore County",34,57,2456
09,001,36,055,NY,"Monroe County",34,60,3150
